District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,724.0,7.0,51.0,782.0,1448.0,
Aligarh,650.0,4.0,27.0,1.0,682.0,1300.0
Ambedkar Nagar,171.0,3.0,22.0,1.0,197.0,342.0
Amethi,86.0,4.0,8.0,98.0,172.0,
Amroha,450.0,0.0,24.0,1.0,475.0,900.0
Auraiya,127.0,2.0,8.0,1.0,138.0,254.0
Ayodhya,388.0,15.0,33.0,436.0,776.0,
Azamgarh,219.0,3.0,25.0,247.0,438.0,
Baghpat,177.0,0.0,5.0,182.0,354.0,
Bahraich,275.0,6.0,23.0,1.0,305.0,550.0
Ballia,205.0,1.0,6.0,1.0,213.0,410.0
Balrampur,78.0,1.0,3.0,82.0,156.0,
Banda,183.0,5.0,27.0,1.0,216.0,366.0
Barabanki,617.0,5.0,49.0,1.0,672.0,1234.0
Bareilly,797.0,28.0,72.0,1.0,898.0,1594.0
Bhadohi,153.0,2.0,15.0,170.0,306.0,
Bijnor,395.0,8.0,21.0,3.0,427.0,790.0
Budaun,231.0,6.0,12.0,2.0,251.0,462.0
Bulandshahr,381.0,4.0,33.0,4.0,422.0,762.0
Chandauli,141.0,1.0,5.0,1.0,148.0,282.0
Chitrakoot,37.0,0.0,7.0,44.0,74.0,
Deoria,168.0,2.0,6.0,1.0,177.0,336.0
Etah,471.0,2.0,25.0,498.0,942.0,
Etawah,117.0,2.0,10.0,129.0,234.0,
Farrukhabad,429.0,1.0,26.0,1.0,457.0,858.0
Fatehpur,192.0,14.0,24.0,230.0,384.0,
Firozabad,188.0,2.0,9.0,2.0,201.0,376.0
Gautam Buddha Nagar,298.0,2.0,12.0,2.0,314.0,596.0
Ghaziabad,669.0,3.0,19.0,3.0,694.0,1338.0
Ghazipur,232.0,2.0,11.0,245.0,464.0,
Gonda,174.0,8.0,19.0,1.0,202.0,348.0
Gorakhpur,361.0,5.0,10.0,3.0,379.0,722.0
Hamirpur,69.0,8.0,9.0,86.0,138.0,
Hapur,146.0,3.0,5.0,154.0,292.0,
Hardoi,377.0,3.0,25.0,405.0,754.0,
Hathras,79.0,1.0,5.0,85.0,158.0,
Jalaun,175.0,1.0,18.0,194.0,350.0,
Jaunpur,211.0,4.0,9.0,2.0,226.0,422.0
Jhansi,152.0,1.0,6.0,2.0,161.0,304.0
Kannauj,162.0,2.0,12.0,176.0,324.0,
Kanpur Dehat,137.0,5.0,18.0,160.0,274.0,
Kanpur Nagar,599.0,12.0,38.0,649.0,1198.0,
Kaushambi,97.0,3.0,9.0,109.0,194.0,
Kheri,593.0,47.0,58.0,698.0,1186.0,
Kushi Nagar,156.0,1.0,4.0,1.0,162.0,312.0
Lalitpur,43.0,0.0,1.0,44.0,86.0,
Lucknow,922.0,8.0,26.0,5.0,961.0,1844.0
Mahoba,132.0,4.0,20.0,156.0,264.0,
Mainpuri,216.0,0.0,27.0,243.0,432.0,
Mathura,352.0,1.0,16.0,369.0,704.0,
Mau,113.0,0.0,3.0,116.0,226.0,
Meerut,730.0,8.0,26.0,764.0,1460.0,
Mirzapur,248.0,6.0,23.0,2.0,279.0,496.0
Moradabad,796.0,3.0,34.0,3.0,836.0,1592.0
Muzaffarnagar,464.0,5.0,24.0,1.0,494.0,928.0
Pilibhit,275.0,14.0,19.0,2.0,310.0,550.0
Pratapgarh,332.0,11.0,29.0,2.0,374.0,664.0
Prayagraj,634.0,9.0,55.0,1.0,699.0,1268.0
Rae Bareli,456.0,15.0,28.0,499.0,912.0,
Rampur,410.0,9.0,32.0,451.0,820.0,
Saharanpur,505.0,8.0,27.0,3.0,543.0,1010.0
Sambhal,313.0,11.0,19.0,343.0,626.0,
Sant Kabeer Nagar,51.0,0.0,1.0,52.0,102.0,
Shahjahanpur,406.0,18.0,46.0,2.0,472.0,812.0
Shamli,152.0,6.0,10.0,168.0,304.0,
Shravasti,53.0,0.0,9.0,62.0,106.0,
Siddharth Nagar,57.0,0.0,2.0,59.0,114.0,
Sitapur,461.0,5.0,38.0,504.0,922.0,
Sonbhadra,125.0,7.0,19.0,151.0,250.0,
Sultanpur,315.0,17.0,32.0,364.0,630.0,
Unnao,360.0,2.0,31.0,393.0,720.0,
Varanasi,360.0,1.0,14.0,1.0,376.0,720.0
