District,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Ambedkar Nagar,178471.13,128602.65,72.06,,,,,,,,,
Amethi,230.0,202.08,195.0,110.56,84.78,54.71,,,,,,
Ayodhya,193.0,169.49,234.0,104.74,121.24,61.8,,,,,,
Azamgarh,288002.0,133753.43,46.44,,,,,,,,,
Baghpat,1133.0,995.73,346.0,225.2,30.54,22.62,,,,,,
Ballia,304.0,267.27,261.0,61.72,85.86,23.09,,,,,,
Balrampur,1011.0,2.83,2.51,1357.0,31.06,29.21,347.0,29.04,27.31,2715.0,62.92,59.03
Banda,18925.0,49.68,49.52,1137.0,28.66,27.2,281.0,23.17,22.45,20343.0,101.51,99.17
Barabanki,1103.0,969.65,240.0,153.08,21.76,15.79,,,,,,
Bhadohi,102.0,89.63,15.0,23.96,14.71,26.73,,,,,,
Budaun,15441.0,46.34,46.0,2060.0,38.97,34.78,429.0,34.69,31.48,17930.0,120.0,112.26
Bulandshahr,63344.0,211.77,210.61,6733.0,92.29,85.33,938.0,76.97,68.65,71015.0,381.03,364.59
Chitrakoot,727.0,638.83,10.0,6.52,1.38,1.02,,,,,,
Etah,5849.0,13.78,13.52,1381.0,29.6,26.47,367.0,31.09,29.17,7597.0,74.46,69.16
Etawah,28344.0,18.47,17.8,1176.0,33.36,29.67,358.0,28.52,26.37,29878.0,80.34,73.85
Farrukhabad,1645.0,2.2,2.06,1483.0,34.37,31.17,333.0,27.36,26.12,3461.0,63.93,59.35
Fatehpur,12732.0,40.86,40.43,4364.0,83.17,77.25,533.0,41.2,39.64,17629.0,165.24,157.32
Firozabad,156.0,136.89,46.0,50.99,29.49,37.25,,,,,,
Gautam Buddha Nagar,127616.0,357.46,356.67,4035.0,110.97,102.21,3292.0,192.53,182.89,134943.0,660.96,641.77
Ghaziabad,78.0,68.45,206.0,91.4,264.1,133.53,,,,,,
Ghazipur,286.0,250.97,20.0,24.51,6.99,9.77,,,,,,
Gonda,3507.0,8.83,8.34,2025.0,48.78,46.39,576.0,45.98,45.0,6108.0,103.59,99.74
Gorakhpur,251446.0,765.18,761.81,17997.0,227.29,217.2,2546.0,206.4,189.18,271989.0,1198.86,1168.19
Hapur,49331.0,154.71,152.57,3416.0,45.22,41.34,394.0,30.21,27.96,53141.0,230.14,221.87
Hathras,18705.0,55.53,55.02,2371.0,35.19,32.14,366.0,31.51,29.47,21442.0,122.23,116.63
Jalaun,2827.0,6.39,6.15,811.0,19.91,18.41,224.0,17.64,16.49,3862.0,43.94,41.05
Jaunpur,378.0,332.45,293.0,85.73,77.51,25.79,,,,,,
Kannauj,9076.0,25.36,24.77,2732.0,47.93,41.9,347.0,28.18,24.99,12155.0,101.47,91.66
Kanpur Dehat,5229.0,13.31,12.98,2384.0,51.4,46.66,397.0,32.25,30.35,8010.0,96.97,89.99
Kanpur Nagar,27611.0,74.96,73.15,10524.0,248.33,237.55,3248.0,254.0,240.73,41383.0,577.3,551.43
Kaushambi,139.0,122.23,240.0,125.24,172.66,102.46,,,,,,
Kushi Nagar,202914.0,581.72,580.1,7648.0,81.5,77.08,532.0,44.3,40.78,211094.0,707.51,697.97
Lucknow,113907.0,333.67,331.29,19710.0,356.48,339.4,5480.0,403.78,384.13,139097.0,1093.93,1054.82
Maharajganj,211.0,185.78,204.0,44.08,96.68,23.73,,,,,,
Mahoba,1872.0,5.65,5.58,563.0,10.45,9.71,72.0,5.89,5.81,2507.0,21.99,21.1
Mathura,56620.0,169.44,168.47,7292.0,106.44,99.49,1133.0,92.92,86.93,65045.0,368.8,354.9
Mau,64963.0,194.03,193.39,5901.0,77.21,74.63,434.0,35.67,32.84,71298.0,306.91,300.86
Meerut,47655.0,143.45,140.96,6758.0,131.3,118.27,2065.0,165.11,146.7,56478.0,439.86,405.93
Moradabad,22501.0,65.5,64.9,4892.0,112.22,100.4,1276.0,98.52,85.85,28669.0,276.24,251.15
Muzaffarnagar,156.0,136.89,406.0,184.13,260.26,134.51,,,,,,
Pratapgarh,649.0,570.39,234.0,72.06,36.06,12.63,,,,,,
Prayagraj,147204.0,465.14,461.75,13483.0,228.32,207.2,2167.0,169.39,159.45,162854.0,862.85,828.4
Rae Bareli,323.0,283.56,1532.0,565.88,474.3,199.56,,,,,,
Rampur,10219.0,33.24,32.72,4093.0,57.27,54.08,393.0,32.7,30.61,14705.0,123.21,117.41
Saharanpur,87681.0,264.2,262.24,8855.0,112.17,104.83,1085.0,88.1,82.33,97621.0,464.47,449.4
Sambhal,11816.0,39.83,39.58,1284.0,24.54,23.03,194.0,15.85,14.85,13294.0,80.22,77.46
Sant Kabeer Nagar,156.0,136.89,150.0,26.3,96.15,19.21,,,,,,
Shahjahanpur,16584.0,46.02,45.79,2274.0,45.73,42.69,600.0,50.13,47.76,19458.0,141.88,136.24
Shravasti,185.0,162.97,34.0,9.14,18.38,5.61,,,,,,
Siddharth Nagar,1038.0,912.62,49.0,4.14,4.72,0.45,,,,,,
Sitapur,20052.0,55.11,54.73,1886.0,43.23,41.61,569.0,46.08,44.61,22507.0,144.42,140.96
Sonbhadra,116335.0,338.87,338.2,4455.0,57.52,53.39,524.0,42.47,39.56,121314.0,438.86,431.15
Sultanpur,33416.0,94.34,93.03,4105.0,75.6,64.51,654.0,56.37,52.09,38175.0,226.31,209.64
Unnao,15441.0,42.17,41.27,3850.0,73.83,68.0,527.0,43.42,39.0,19818.0,159.42,148.28
