District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,1181.0,8064.79,519.0,76.19
Aligarh,659.0,3307.14,338.0,45.51
Ambedkar Nagar,329.0,1057.8,64.0,6.91
Amethi,149.0,670.94,,
Amroha,234.0,882.15,42.0,5.0
Auraiya,78.0,302.46,,
Ayodhya,668.0,2442.76,147.0,19.04
Azamgarh,1933.0,5465.72,72.0,8.3
Bahraich,74.0,408.34,,
Ballia,312.0,1316.44,,
Balrampur,158.0,436.97,18.0,1.95
Banda,99.0,316.83,28.0,3.75
Barabanki,397.0,2357.08,,
Bareilly,1598.0,6438.73,256.0,29.67
Basti,181.0,778.1,,
Bhadohi,664.0,1573.85,,
Bijnor,524.0,2220.77,,
Budaun,356.0,910.78,106.0,5.93
Bulandshahr,165.0,745.81,214.0,19.32
Chandauli,648.0,2282.13,,
Chitrakoot,56.0,164.83,,
Deoria,336.0,1693.74,73.0,10.17
Etah,94.0,590.99,62.0,7.15
Etawah,96.0,495.2,59.0,7.95
Farrukhabad,146.0,658.42,72.0,9.37
Fatehpur,818.0,2645.84,55.0,7.01
Firozabad,243.0,1468.91,,
Gautam Buddha Nagar,882.0,13469.57,276.0,49.54
Ghaziabad,964.0,10391.24,,
Ghazipur,1290.0,3603.42,51.0,7.68
Gonda,193.0,630.79,48.0,5.02
Gorakhpur,1071.0,5787.28,242.0,36.76
Hamirpur,97.0,369.48,15.0,2.19
Hapur,112.0,541.66,28.0,6.35
Hardoi,491.0,1726.99,,
Hathras,87.0,565.44,65.0,8.12
Jalaun,96.0,341.78,41.0,4.88
Jaunpur,1677.0,4290.37,54.0,5.63
Jhansi,468.0,1808.96,,
Kannauj,168.0,774.77,22.0,2.89
Kanpur Dehat,225.0,799.47,39.0,5.96
Kanpur Nagar,1936.0,12276.53,505.0,73.07
Kasganj,20.0,88.8,14.0,0.91
Kaushambi,230.0,583.88,,
Kheri,178.0,790.1,,
Kushi Nagar,132.0,582.5,35.0,5.88
Lalitpur,58.0,410.78,,
Lucknow,3291.0,21345.68,,
Maharajganj,187.0,744.24,,
Mahoba,28.0,91.71,24.0,4.12
Mainpuri,125.0,566.86,,
Mathura,467.0,2275.58,185.0,26.56
Mau,540.0,1545.61,59.0,9.62
Meerut,979.0,5733.32,417.0,72.61
Mirzapur,265.0,1277.63,,
Moradabad,975.0,3821.91,198.0,26.56
Muzaffarnagar,515.0,2350.67,154.0,21.95
Pratapgarh,241.0,967.55,98.0,10.93
Prayagraj,1460.0,6109.68,275.0,38.98
Rae Bareli,376.0,1857.2,,
Rampur,207.0,766.68,60.0,5.14
Saharanpur,445.0,2311.14,183.0,21.11
Sambhal,76.0,271.63,20.0,1.74
Sant Kabeer Nagar,139.0,590.2,33.0,5.13
Shahjahanpur,552.0,1138.61,83.0,8.8
Shravasti,24.0,63.9,,
Siddharth Nagar,165.0,513.95,34.0,3.62
Sitapur,208.0,855.1,39.0,5.16
Sonbhadra,266.0,1262.96,40.0,5.89
Sultanpur,693.0,2210.46,121.0,14.51
Unnao,276.0,1270.87,90.0,8.14
Varanasi,1850.0,10092.97,,
