District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Aligarh,84.0,4.0,64.0,0.0,152.0,112.0
Ambedkar Nagar,28.0,0.0,3.0,0.0,31.0,46.0
Amethi,34.0,0.0,6.0,0.0,40.0,61.0
Amroha,37.0,5.0,0.0,42.0,24.0,
Auraiya,21.0,0.0,5.0,0.0,26.0,35.0
Ayodhya,71.0,2.0,16.0,0.0,89.0,77.0
Azamgarh,56.0,0.0,11.0,0.0,67.0,110.0
Baghpat,65.0,0.0,9.0,0.0,74.0,82.0
Bahraich,44.0,0.0,25.0,0.0,69.0,76.0
Ballia,23.0,0.0,5.0,0.0,28.0,34.0
Balrampur,3.0,0.0,0.0,0.0,3.0,6.0
Banda,37.0,0.0,23.0,0.0,60.0,60.0
Barabanki,54.0,3.0,36.0,0.0,93.0,95.0
Bareilly,122.0,3.0,20.0,2.0,147.0,99.0
Basti,10.0,0.0,0.0,0.0,10.0,12.0
Bhadohi,12.0,0.0,6.0,0.0,18.0,22.0
Bijnor,98.0,3.0,25.0,1.0,127.0,120.0
Budaun,31.0,2.0,8.0,0.0,41.0,42.0
Bulandshahr,104.0,9.0,33.0,4.0,150.0,152.0
Chandauli,27.0,3.0,5.0,0.0,35.0,46.0
Chitrakoot,9.0,1.0,6.0,0.0,16.0,14.0
Deoria,19.0,1.0,2.0,0.0,22.0,28.0
Etah,35.0,5.0,17.0,0.0,57.0,46.0
Etawah,45.0,1.0,6.0,0.0,52.0,48.0
Farrukhabad,37.0,8.0,18.0,0.0,63.0,64.0
Fatehpur,46.0,2.0,10.0,0.0,58.0,62.0
Firozabad,41.0,3.0,11.0,0.0,55.0,62.0
Gautam Buddha Nagar,78.0,19.0,1.0,98.0,96.0,
Ghaziabad,141.0,2.0,41.0,0.0,184.0,221.0
Ghazipur,41.0,1.0,4.0,0.0,46.0,82.0
Gonda,21.0,3.0,10.0,0.0,34.0,34.0
Gorakhpur,46.0,2.0,13.0,2.0,63.0,78.0
Hamirpur,14.0,5.0,3.0,2.0,24.0,24.0
Hapur,31.0,3.0,8.0,0.0,42.0,61.0
Hardoi,53.0,7.0,33.0,1.0,94.0,89.0
Hathras,23.0,1.0,33.0,0.0,57.0,32.0
Jalaun,52.0,2.0,25.0,1.0,80.0,95.0
Jaunpur,41.0,2.0,11.0,0.0,54.0,80.0
Jhansi,31.0,3.0,13.0,0.0,47.0,46.0
Kannauj,31.0,3.0,25.0,0.0,59.0,58.0
Kanpur Dehat,36.0,1.0,0.0,37.0,40.0,
Kanpur Nagar,182.0,4.0,39.0,1.0,226.0,257.0
Kaushambi,18.0,5.0,0.0,23.0,22.0,
Kheri,85.0,2.0,25.0,1.0,113.0,139.0
Kushi Nagar,9.0,6.0,0.0,15.0,18.0,
Lalitpur,15.0,2.0,0.0,17.0,27.0,
Lucknow,223.0,10.0,84.0,2.0,319.0,353.0
Mahoba,25.0,25.0,0.0,50.0,48.0,
Mainpuri,82.0,11.0,0.0,93.0,59.0,
Mathura,99.0,2.0,26.0,0.0,127.0,164.0
Mau,11.0,0.0,5.0,0.0,22.0,34.0
Meerut,159.0,2.0,31.0,0.0,192.0,245.0
Mirzapur,2500.0,2225.0,741.0,0.0,92.0,118.0
Moradabad,68.0,3.0,10.0,0.0,81.0,103.0
Muzaffarnagar,109.0,3.0,22.0,1.0,135.0,152.0
Pilibhit,58.0,5.0,12.0,0.0,75.0,82.0
Pratapgarh,36.0,1.0,3.0,1.0,41.0,51.0
Prayagraj,59.0,2.0,25.0,1.0,87.0,112.0
Rae Bareli,121619.0,531588.0,653207.0,,,
Rampur,51.0,1.0,6.0,0.0,58.0,62.0
Saharanpur,87.0,6.0,22.0,1.0,111.0,136.0
Sambhal,8.0,0.0,2.0,1.0,11.0,16.0
Sant Kabeer Nagar,4.0,1.0,1.0,0.0,6.0,4.0
Shahjahanpur,63.0,0.0,11.0,1.0,75.0,68.0
Shamli,30.0,2.0,16.0,1.0,49.0,58.0
Shravasti,37292.0,127411.0,164703.0,,,
Siddharth Nagar,34501.0,209343.0,243844.0,,,
Sitapur,148474.0,529174.0,677648.0,,,
Sonbhadra,55838.0,222715.0,278553.0,,,
Sultanpur,114006.0,364812.0,478818.0,,,
Unnao,110638.0,414321.0,524959.0,,,
Varanasi,117953.0,528720.0,646673.0,,,
