District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,161,278767,,55.37
Arwal,,58192,,29.17
Aurangabad,,291405,,35.34
Begusarai,,528372,,57.36
Bhagalpur,,523801,,37.43
Buxar,,2001018,620808,
Gaya,,1624750,635133,
Gopalganj,,778078,267225,34.34
Jamui,,427964,190806,44.58
Jehanabad,,104358,,29.07
Kaimur (Bhabua),,230544,,55.39
Katihar,,328155,,53.15
Khagaria,,187201,,55.48
Kishanganj,,192000,,61.71
Lakhisarai,,118434,,36.51
Madhepura,,199298,,51.86
Nalanda,,,,33.10
Pashchim Champaran,,745433,388702,52.14
Purbi Champaran,,948085,540812,57.04
Saharsa,,,,44.89
Samastipur,,1014591,,48.67
Saran,,,,30.50
Sheikhpura,,,,37.73
Sheohar,,,,56.49
Sitamarhi,,,,44.75
Siwan,,10108,,35.10
Vaishali,,957013,546955,57.15
