District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,82,76,3,161,15,70,10,95,1563796,727
Arwal,40,19,1,60,21,9,30,423488,251,
Aurangabad,120,28,185,53,54,31,138,1760402,713,
Banka,36,41,4,81,799448,333,,,,
Begusarai,83,102,41,90,186,1554391,1477,,,
Bhagalpur,104,40,106,147,293,1558829,2139,,,
Bhojpur,128,51,68,89,195,1660659,1527,,,
Buxar,37,28,25,32,35,92,1126443,711,,
Gopalganj,115,182,51,72,135,1861202,,,,
Khagaria,53,60,4,117,22,47,10,79,695538,
Kishanganj,62,23,109,10,39,18,67,1127318,,
Muzaffarpur,184,84,110,378,78,100,219,397,2961069,
Nalanda,147,63,40,250,25,83,63,171,1680896,
Nawada,72,64,3,139,49,6,63,1383669,,
Patna,220,159,550,929,105,169,1243,1517,5757763,
Rohtas,134,44,48,226,21,76,64,161,1976913,
Saharsa,47,28,27,102,11,44,44,99,1241061,
Samastipur,166,119,1,286,51,133,27,211,2533058,
