District,ATMs Previous,Opened During Quarter,Closed During Quarter,Total ATMs,ATM Cards
Araria,3,95,,,
Arwal,2,,,,
Aurangabad,1,2,138,,
Begusarai,3,186,,,
Bhagalpur,3,293,,,
Bhojpur,5,1,,,
Buxar,2,1,,,
Darbhanga,5,4,204,2446007,
Gaya,5,1,320,2909573,
Gopalganj,3,2,135,1861202,
Jamui,3,986741,,,
Jehanabad,2,691941,14750,,
Kaimur (Bhabua),1,63,1089775,54157,
Katihar,0,11,116,1733135,40993
Khagaria,0,2,79,695538,12810
Kishanganj,1,5,67,1127318,30632
Lakhisarai,3,40,488135,10111,
Madhepura,0,3,78,1405677,40494
Madhubani,7,180,2506802,80661,
Munger,0,1,100,791801,5366
Muzaffarpur,9,6,397,2961069,117806
Nalanda,4,3,171,1680896,52834
Nawada,1,2,63,1383669,50481
Pashchim Champaran,180,2594804,111041,,
Patna,31,23,1517,5757763,50592
Purbi Champaran,9,6,203,3138927,
Purnia,5,172,2462991,64333,
Rohtas,2,161,1976913,57998,
Saharsa,1,2,99,1241061,39603
Samastipur,5,5,211,2533058,43554
Sheikhpura,345783,4464,,,
Sheohar,26,196685,10679,,
Sitamarhi,115,1734480,15391,,
Siwan,5,0,174,2069381,69797
Supaul,86,1511648,48090,,
Vaishali,220,2175712,86568,,
