District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6
Araria,708,1077845,61164,716025,282205,
Arwal,398,152031,260792892,166106,221580,
Aurangabad,1131,486194,651710029,682244,635934,
Banka,184,712942,243083048,436022,140260,
Begusarai,6,359,786939,480054139,547207,335293
Bhagalpur,376,615356,202272317,562878,303062,
Bhojpur,1651,974072,184695490,840550,1283597,
Buxar,749,547580,712308562,468595,537965,
Gopalganj,745,1400605,65019,1038753,113525,
Nalanda,1025,903688,126693864,784298,805160,
Nawada,626,608144,981328177,739263,526020,
Rohtas,938,779533,998031314,991272,1089322,
