district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1308.18,1096.48,564.9,65.47,336.8,1998.18
Bankura,6855.45,4102.28,3112.53,83.79,967.02,8181.82
Birbhum,7738.67,4299.73,3823.71,81.59,1361.85,9485.3
Cooch Behar,4129.71,3176.72,2450.74,62.21,1010.4,6637.86
Dakshin Dinajpur,5676.27,3323.59,2619.88,85.2,718.97,6662.44
Darjeeling,3394.65,887.42,1621.29,101.8,826.02,3334.73
Hooghly,7482.96,4305.55,4070.4,75.33,1557.68,9933.64
Howrah,10991.76,2014.6,9796.76,85.77,1004.2,12815.56
Jalpaiguri,4203.82,2008.79,2281.45,81.88,843.87,5134.11
Jhargram,3044.46,1819.76,1521.29,77.22,601.68,3942.73
Kalimpong,413.45,273.38,289.97,61.81,105.56,668.91
Kolkata,12731.08,574.94,12397.75,64.94,6632.44,19605.13
Malda,6629.66,4064.28,2549.35,68.69,3038.16,9651.79
Murshidabad,11892.52,6885.55,5224.48,86.45,1646.58,13756.61
Nadia,10694.72,5641.2,5018.05,88.0,1494.06,12153.31
Paschim Bardhaman,4706.81,248.41,4278.41,95.15,419.71,4946.53
Purba Bardhaman,7586.55,7681.73,3149.4,62.15,1376.68,12207.81
Purba Medinipur,9784.59,4710.25,4702.85,86.12,1949.1,11362.2
Purulia,5363.13,2639.87,2786.9,82.44,1078.48,6505.25
Uttar Dinajpur,2937.61,2588.93,747.16,69.03,919.51,4255.6
