district,handloom_cluster,kvib_cluster,msme_cluster
Alipurduar,44.0,0.0,0.0
Bankura,0.0,110.0,133.0
Birbhum,231.0,89.0,175.0
Cooch Behar,269.0,21.0,165.0
Dakshin Dinajpur,0.0,3.0,29.0
Darjeeling,0.0,4.0,114.0
Hooghly,1.0,0.0,7.0
Howrah,0.0,0.0,0.0
Jalpaiguri,0.0,132.0,3196.0
Jhargram,0.0,0.0,0.0
Kalimpong,0.0,0.0,39.0
Kolkata,0.0,0.0,0.0
Malda,50.0,0.0,110.0
Murshidabad,207.0,0.0,29.0
Nadia,2316.0,191.0,0.0
North 24 Parganas,17.0,0.0,86.0
Paschim Bardhaman,0.0,0.0,7.0
Paschim Medinipur,9.0,41.0,3251.0
Purba Bardhaman,0.0,0.0,29.0
Purba Medinipur,21.0,0.0,1962.0
Purulia,0.0,0.0,27.0
South 24 Parganas,0.0,6.0,22.0
Uttar Dinajpur,0.0,0.0,1568.0
