district,amount,disbursement_no,no_of_cases_sponsored,pending_with_bank_no,project_cost,sanctioned,subsidy_involved,subsidy_released_no
Alipurduar,0.0,198.0,0.0,0.0,0.0,0.0,0.0,198.0
Bankura,0.0,39.0,0.0,0.0,0.87,37.0,0.26,39.0
Birbhum,0.36,1009.0,0.0,65.0,0.0,0.0,0.0,1074.0
Cooch Behar,0.31,315.0,0.0,56.0,0.0,0.0,0.0,371.0
Dakshin Dinajpur,0.01,17.0,0.0,2.0,0.0,0.0,0.0,19.0
Darjeeling,0.0,9.0,23.0,0.0,0.0,0.0,0.0,9.0
Hooghly,0.24,781.0,0.0,43.0,0.0,0.0,0.0,824.0
Howrah,0.17,372.0,0.0,31.0,0.0,0.0,0.0,403.0
Jalpaiguri,0.0,446.0,0.0,0.0,0.0,0.0,0.0,446.0
Jhargram,0.04,70.0,0.0,8.0,0.13,6.0,0.04,78.0
Kalimpong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,0.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0
Malda,0.09,256.0,0.0,8.0,0.0,0.0,0.0,264.0
Murshidabad,0.54,591.0,0.0,98.0,0.0,0.0,0.0,689.0
Nadia,0.06,284.0,0.0,11.0,0.0,0.0,0.0,295.0
Paschim Bardhaman,0.03,98.0,0.0,6.0,0.0,0.0,0.0,104.0
Paschim Medinipur,0.0,745.0,0.0,0.0,0.0,0.0,0.0,745.0
Purba Bardhaman,2.14,635.0,0.0,158.0,3.26,102.0,0.98,793.0
Purba Medinipur,1.0,426.0,0.0,101.0,0.0,0.0,0.0,527.0
Purulia,0.32,362.0,0.0,58.0,0.0,0.0,0.0,420.0
Uttar Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
