district,amount,kcc_disbursement_during_01_04_2020_to_31_03_2021_fresh_renewal_no,kcc_outstanding_as_on_31_03_2021_no,of_achievement_no,target_no
Alipurduar,288.74,28580.0,45666.0,71.45,40000.0
Bankura,591.78,148212.0,168322.0,64.44,230000.0
Birbhum,868.24,179452.0,245964.0,85.05,211000.0
Cooch Behar,663.35,143251.0,113749.0,71.63,200000.0
Dakshin Dinajpur,755.91,85121.0,189722.0,70.93,120000.0
Darjeeling,116.0,13504.0,23090.0,67.52,20000.0
Hooghly,1208.07,290045.0,284684.0,128.91,225000.0
Howrah,152.33,70222.0,43711.0,70.22,100000.0
Jalpaiguri,571.56,30801.0,94099.0,61.6,50000.0
Jhargram,261.04,42840.0,73757.0,57.12,75000.0
Kalimpong,42.68,8229.0,10609.0,117.56,7000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,622.8,79801.0,118983.0,35.47,225000.0
Murshidabad,329.58,71458.0,78425.0,23.05,310000.0
Nadia,720.89,76225.0,161272.0,29.32,260000.0
North 24 Parganas,1195.94,170002.0,293053.0,54.84,310000.0
Paschim Bardhaman,68.2,19534.0,23491.0,78.14,25000.0
Paschim Medinipur,1435.29,183846.0,348897.0,37.91,485000.0
Purba Bardhaman,1903.97,210211.0,369093.0,72.49,290000.0
Purba Medinipur,1342.82,561806.0,443433.0,76.44,735000.0
Purulia,311.23,26712.0,94289.0,23.85,112000.0
South 24 Parganas,3136.65,127206.0,604670.0,33.92,375000.0
Uttar Dinajpur,1277.0,41454.0,284312.0,21.26,195000.0
