district,amount,disbursed_no,no_of_active_shgs,sanctioned_no,target_fy_20_21_no,total_pending,total_sponsored
Alipurduar,0.0,0.0,539.0,0.0,8.0,0.0,0.0
Bankura,0.0,0.0,2110.0,0.0,6.0,0.0,0.0
Birbhum,0.04,1.0,3378.0,4.0,17.0,0.0,6.0
Cooch Behar,0.0,0.0,1514.0,0.0,20.0,0.0,0.0
Dakshin Dinajpur,0.0,0.0,1560.0,0.0,12.0,0.0,0.0
Darjeeling,0.03,6.0,1830.0,6.0,8.0,0.0,10.0
Hooghly,0.03,2.0,5033.0,2.0,25.0,0.0,5.0
Howrah,0.0,0.0,1397.0,2.0,3.0,0.0,4.0
Jalpaiguri,0.35,11.0,1214.0,11.0,9.0,0.0,19.0
Jhargram,0.0,0.0,417.0,0.0,1.0,0.0,0.0
Kalimpong,0.0,0.0,71.0,0.0,1.0,0.0,0.0
Kolkata,0.0,0.0,1186.0,0.0,4.0,0.0,0.0
Malda,0.0,0.0,869.0,0.0,17.0,0.0,0.0
Murshidabad,0.08,9.0,4775.0,9.0,74.0,0.0,10.0
Nadia,0.03,1.0,5470.0,1.0,20.0,0.0,3.0
North 24 Parganas,0.21,19.0,14115.0,19.0,70.0,5.0,31.0
Paschim Bardhaman,0.0,0.0,2426.0,0.0,2.0,0.0,0.0
Paschim Medinipur,0.05,6.0,3362.0,6.0,12.0,1.0,11.0
Purba Bardhaman,0.06,9.0,2717.0,9.0,23.0,0.0,16.0
Purba Medinipur,0.2,13.0,3057.0,13.0,15.0,0.0,21.0
Purulia,0.04,4.0,1156.0,4.0,2.0,0.0,7.0
South 24 Parganas,0.01,3.0,2945.0,3.0,22.0,0.0,7.0
Uttar Dinajpur,0.0,0.0,1741.0,0.0,29.0,0.0,0.0
