district,Total Advance,Overall CD Ratio,cd_ratio_as_on_march,cd_ratio_as_on_march_2021_deposit
Alipurduar,2857.17,48.18,41.66,5930.09
Bankura,5582.0,45.01,43.16,12402.0
Birbhum,6689.9,41.09,40.26,16282.43
Cooch Behar,6873.23,77.36,69.95,8884.19
Dakshin Dinajpur,2974.53,62.21,57.44,4781.41
Darjeeling,12835.99,64.4,60.29,19931.75
Hooghly,12635.74,27.08,29.22,46667.63
Howrah,17505.85,41.86,41.6,41824.05
Jalpaiguri,5369.94,59.09,51.86,9087.37
Jhargram,1782.43,40.03,40.05,4453.11
Kalimpong,650.29,40.04,39.26,1624.12
Kolkata,244315.98,64.06,74.8,381363.2
Malda,6808.9,55.83,53.55,12195.3
Murshidabad,9179.27,42.62,53.75,21539.25
Nadia,15062.27,50.02,49.16,30112.5
Paschim Bardhaman,16508.09,41.59,40.29,39694.02
Paschim Medinipur,11110.03,43.37,47.3,25617.13
Purba Bardhaman,12801.17,45.58,44.01,28088.12
Purba Medinipur,11825.56,42.65,43.62,27727.39
Purulia,4652.07,54.58,43.94,8523.13
Uttar Dinajpur,4490.93,60.63,59.81,7406.61
