district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,620.96,26375.0,628.95,112389.0,792.0,139556.0
Bankura,374.06,14236.0,399.02,62589.0,1116.0,77941.0
Birbhum,1294.18,57310.0,1324.14,124335.0,1601.0,183246.0
Cooch Behar,659.7,27083.0,669.32,102241.0,1019.0,130343.0
Dakshin Dinajpur,452.81,19025.0,462.63,84827.0,478.0,104330.0
Howrah,1979.07,98321.0,2017.81,256187.0,2291.0,356799.0
Jalpaiguri,829.05,31679.0,853.21,167603.0,1216.0,200498.0
Jhargram,71.8,2875.0,87.98,10847.0,228.0,13950.0
Kalimpong,29.05,1458.0,29.28,1997.0,48.0,3503.0
Kolkata,2147.27,84674.0,2225.04,203827.0,8007.0,296508.0
Malda,1177.95,53122.0,1196.09,202042.0,1226.0,256390.0
Murshidabad,2473.26,121397.0,2516.56,431659.0,2167.0,555223.0
Nadia,1779.82,79858.0,1829.11,316525.0,2420.0,398803.0
North 24 Parganas,3120.06,163356.0,3226.81,444661.0,4889.0,612906.0
Paschim Medinipur,1126.28,51661.0,1195.53,142320.0,2498.0,196479.0
Purba Bardhaman,1799.69,69286.0,1832.71,191694.0,3832.0,264812.0
Purba Medinipur,959.38,38717.0,1011.77,169678.0,1620.0,210015.0
South 24 Parganas,2133.21,112164.0,2188.65,391750.0,2364.0,506278.0
Uttar Dinajpur,501.83,19156.0,516.99,111657.0,1010.0,131823.0
