district,block_affected,mouza_affected
Hooghly,18.0,1973.0
Howrah,6.0,89.0
Malda,11.0,948.0
North 24 Parganas,9.0,200.0
Paschim Medinipur,21.0,5593.0
Purba Bardhaman,6.0,404.0
Purba Medinipur,3.0,383.0
South 24 Parganas,17.0,604.0
