district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,0.0,13.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0
Birbhum,0.0,6.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0
Cooch Behar,61.54,10.0,20.0,32.0,24.41,52.0,52.0,213.0,0.0
Darjeeling,0.0,6.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0
Hooghly,0.0,6.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0
Howrah,28.77,28.0,52.0,21.0,10.61,73.0,77.0,726.0,4.0
Jalpaiguri,0.0,6.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
Malda,25.0,14.0,27.0,9.0,13.38,36.0,36.0,269.0,0.0
Nadia,0.0,8.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0
North 24 Parganas,47.37,14.0,10.0,9.0,7.06,19.0,19.0,269.0,0.0
Purba Bardhaman,0.0,15.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0
Purba Medinipur,53.33,11.0,7.0,8.0,5.75,15.0,15.0,261.0,0.0
Purulia,0.0,5.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0
South 24 Parganas,0.0,7.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0
Uttar Dinajpur,78.95,8.0,4.0,15.0,11.11,19.0,19.0,171.0,0.0
