district,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed
Alipurduar,0.0,51.0,0.0,0.0,
Bankura,142.0,191.0,9.0,4.0,12456.0
Birbhum,2191.0,212.0,68.0,68.0,12345.0
Cooch Behar,0.0,124.0,14.0,0.0,12345.0
Darjeeling,0.0,76.0,0.0,0.0,
Hooghly,0.0,237.0,47.0,0.0,12345.0
Howrah,1072.0,115.0,5.0,30.0,24.0
Jalpaiguri,280.0,79.0,24.0,10.0,1.0
Jhargram,76.0,82.0,3.0,3.0,4.0
Kalimpong,0.0,14.0,4.0,0.0,1234.0
Kolkata,0.0,0.0,0.0,0.0,
Malda,0.0,184.0,7.0,0.0,124.0
Murshidabad,0.0,334.0,128.0,0.0,123456.0
Nadia,415.0,230.0,5.0,5.0,124.0
North 24 Parganas,0.0,255.0,0.0,0.0,
Paschim Bardhaman,425.0,101.0,10.0,10.0,245.0
Paschim Medinipur,240.0,248.0,3.0,3.0,124.0
Purba Bardhaman,36.0,203.0,38.0,1.0,36.0
Purba Medinipur,0.0,177.0,8.0,0.0,1234.0
Purulia,168.0,158.0,4.0,4.0,4.0
South 24 Parganas,400.0,304.0,3.0,11.0,12456.0
Uttar Dinajpur,623.0,97.0,0.0,32.0,1246.0
