district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,0.0,2.0,2.0
Bankura,19.0,5.0,3.0,0.0,27.0
Birbhum,25.0,8.0,4.0,0.0,37.0
Cooch Behar,15.0,1.0,3.0,1.0,20.0
Dakshin Dinajpur,44.0,5.0,2.0,0.0,51.0
Darjeeling,26.0,5.0,10.0,2.0,43.0
Hooghly,85.0,21.0,8.0,19.0,133.0
Howrah,116.0,51.0,13.0,2.0,182.0
Jalpaiguri,15.0,1.0,0.0,1.0,17.0
Jhargram,3.0,0.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,183.0,9.0,1.0,2.0,195.0
Malda,79.0,14.0,0.0,18.0,111.0
Murshidabad,110.0,71.0,11.0,6.0,198.0
Nadia,64.0,9.0,0.0,2.0,75.0
North 24 Parganas,107.0,57.0,10.0,7.0,181.0
Paschim Bardhaman,43.0,24.0,7.0,13.0,87.0
Paschim Medinipur,38.0,9.0,0.0,1.0,48.0
Purba Bardhaman,60.0,10.0,4.0,25.0,99.0
Purba Medinipur,45.0,8.0,5.0,0.0,58.0
Purulia,16.0,3.0,0.0,2.0,21.0
South 24 Parganas,277.0,63.0,12.0,6.0,358.0
Uttar Dinajpur,33.0,1.0,0.0,11.0,45.0
