district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,11,108,22,38,7,50,10,29,27,141,66
Kiphire,1,2,0,13,0,13,2,1,0,3,3
Kohima,4,77,1,10,2,16,6,35,1,82,42
Longleng,2,0,0,6,4,10,1,0,0,2,1
Mokokchung,9,30,0,8,7,18,13,12,1,39,26
Mon,4,5,0,6,8,12,4,3,0,9,7
Peren,5,1,0,8,2,10,3,1,0,6,4
Phek,5,4,0,10,6,16,5,3,0,9,8
Tuensang,1,7,0,2,12,14,4,4,0,8,8
Wokha,2,13,0,0,2,4,5,7,0,15,12
Zunheboto,3,5,0,5,3,8,7,2,0,8,9
