district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,348,125714.16,2003,26892758.90,25788257,28067194.59,105923,89617682.46,6930751,66457548.87,1365,6532145.00
Kiphire,0,0.00,0,0.00,66890,1564.31,600,41.59,0,0.00,0,0.00
Kohima,154,156798.75,2642,36528821.00,6720690,36880385.57,41749,10033443.12,2235873,99057042.08,1535,5689723.00
Longleng,0,0.00,0,0.00,56904,1558.67,197,10.19,0,0.00,0,0.00
Mokokchung,136,113026.00,2658,15264782.00,2557157,15345981.70,15394,23565321.42,1015751,32360085.31,1652,5642980.00
Mon,0,0.00,0,0.00,196077,3572.58,868,41.65,0,0.00,0,0.00
Peren,0,0.00,0,0.00,74990,1268.42,193,10.18,0,0.00,0,0.00
Phek,0,0.00,0,0.00,118662,2358.00,1635,119.98,0,0.00,0,0.00
Tuensang,0,0.00,0,0.00,167321,3532.09,1961,118.83,0,0.00,0,0.00
Wokha,22,26530.00,568,685210.00,183180,688528.34,3494,653086.75,652,6532100.00,253,465230.00
Zunheboto,0,0.00,0,0.00,108944,2432.44,1697,79.92,0,0.00,0,0.00
