district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,151357,52885,1723766,77431,3742
Kiphire,13828,14256,479008,14256,0
Kohima,91954,14085,643629,22536,1565
Longleng,11540,15474,462435,15474,3
Mokokchung,60145,20229,681544,21419,1210
Mon,34143,37100,1143854,37104,8
Peren,16374,15830,400296,15830,6
Phek,31735,21778,961557,21792,23
Tuensang,24728,37139,887486,37140,0
Wokha,30469,11353,201366,13692,1637
Zunheboto,18954,12554,308924,13361,85
