district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,77.37,70,1471.85,904,1811.54,1245,48537.17,19137
Kohima,5.49,9,164.60,85,1766.20,632,18316.91,8437
Longleng,2.24,1,23.09,4,0.00,0,4.38,1
Mokokchung,9.98,4,126.32,28,232.43,227,6003.29,2752
Mon,1.60,1,49.53,13,284.71,52,309.33,64
Peren,0.00,0,9.86,1,0.00,0,31.01,7
Phek,52.00,5,66.68,11,51.76,7,116.54,18
Tuensang,0.44,1,13.26,4,10.29,2,30.13,8
Wokha,5.26,1,80.48,23,93.60,40,445.15,207
Zunheboto,6.60,3,39.94,15,27.48,162,74.14,178
