district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,19.41,14,1.17,3,0.00,0,0.00,29.14,26
Kiphire,0.25,1,1.15,1,0.80,1,19.28,4.15,11
Kohima,14.95,4,0.24,2,0.00,0,0.00,27.62,24
Longleng,0.00,0,0.00,0,1.29,2,40.19,3.21,7
Mokokchung,0.80,2,0.00,2,9.31,12,7.35,126.75,166
Mon,5.00,1,0.00,0,2.44,4,7.20,33.88,44
Peren,8.00,38,0.00,0,0.00,0,0.00,7.96,38
Phek,0.00,0,0.05,1,0.00,0,0.00,1.05,2
Tuensang,13.40,2,0.00,0,0.00,0,0.00,17.04,7
Wokha,3.80,2,0.00,0,3.41,4,11.78,28.94,34
Zunheboto,1.10,1,0.00,0,3.70,5,30.73,12.04,17
