district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,88.91,26,107.40,13,1352.79,424,40.91,3306.56,935
Kiphire,0.00,0,0.00,0,14.46,5,2.01,718.52,308
Kohima,79.13,32,179.79,33,933.12,340,44.47,2098.49,709
Longleng,0.00,0,0.00,0,27.09,18,6.47,418.96,235
Mokokchung,36.90,7,38.29,7,741.54,99,36.89,2009.92,508
Mon,0.00,0,0.00,0,37.77,22,10.12,373.36,195
Peren,0.00,0,0.00,0,118.40,46,28.37,417.39,172
Phek,0.00,0,0.00,0,287.39,83,34.25,839.18,300
Tuensang,0.00,0,0.00,0,29.54,29,6.21,475.32,305
Wokha,0.00,0,0.00,0,98.57,57,31.62,311.76,137
Zunheboto,0.00,0,0.00,0,121.92,60,19.12,637.58,312
