district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,22607.42,152214.53,86054.02,56.06,51.01,35.50,40329.51,298412.55,242430.65,44.89,260875.97,581172.71
Kiphire,2116.57,6103.17,0.00,53.63,91.77,,3946.49,6650.47,0.00,77.57,8219.74,10596.96
Kohima,9373.37,101436.17,986.76,60.39,19.47,77.52,15521.11,520994.42,1272.89,20.79,111796.30,537788.42
Longleng,5329.02,80.69,0.00,66.42,34.80,,8023.18,231.86,0.00,65.53,5409.71,8255.04
Mokokchung,11450.68,42686.20,0.00,75.53,60.61,,15161.27,70432.30,0.00,63.25,54136.88,85593.57
Mon,4755.76,12111.68,0.00,39.04,55.91,,12180.30,21663.54,0.00,49.84,16867.44,33843.84
Peren,10125.86,1531.28,0.00,104.26,97.32,,9711.73,1573.50,0.00,103.30,11657.14,11285.23
Phek,7204.27,9936.51,0.00,70.27,73.38,,10251.88,13541.11,0.00,72.04,17140.78,23792.99
Tuensang,3772.93,20393.47,0.00,71.29,106.16,,5292.71,19209.49,0.00,98.63,24166.40,24502.20
Wokha,3703.31,16824.49,0.00,63.81,65.79,,5803.48,25572.28,0.00,65.43,20527.80,31375.76
Zunheboto,6683.83,13230.57,0.00,53.40,109.02,,12516.83,12136.05,0.00,80.78,19914.40,24652.88
