district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,2553823.64,41994,36007,62793,71301,14665,55785,15673,78001,59196
Kiphire,311.76,7557,7320,7918,13248,1525,11260,5508,14877,9375
Kohima,4168171.09,10336,10257,18829,12933,5393,9847,10313,20593,7608
Longleng,271.37,8662,7720,8864,17700,1070,13959,16254,16382,129
Mokokchung,1240781.68,13611,13156,23545,25195,2538,17544,9998,26767,16276
Mon,16031.53,19943,19157,24112,37017,2267,34472,12340,39100,26770
Peren,405.10,8766,7002,7964,16141,117,12339,15749,15768,20
Phek,742.47,11805,10451,13430,20038,1943,17208,10667,22256,11593
Tuensang,701.04,16557,17710,10402,32727,2286,28647,9849,34267,24420
Wokha,58798.39,8233,5137,9284,12165,1086,19149,4574,13370,7828
Zunheboto,10854.28,8204,9616,9173,13246,3737,8001,13780,17820,4040
