district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,2102.03,843,27,75.00,102.22,306.58,193,17.66,1736.05,917,353.85,3205,500
Kiphire,77.08,51,1,0.80,26.86,15.86,12,31.91,49.70,54,121.15,1092,285
Kohima,250.31,132,6,14.00,121.33,84.06,65,32.40,259.48,173,357.55,3139,493
Longleng,13.48,13,0,0.00,38.75,22.17,31,25.22,87.91,104,57.23,289,126
Mokokchung,578.25,518,15,51.93,22.65,127.25,172,18.96,671.21,524,226.31,1663,406
Mon,139.80,146,2,7.00,25.19,40.03,49,28.31,141.41,149,128.86,2134,458
Peren,34.32,33,3,3.00,8.87,7.71,6,22.62,34.09,33,44.62,797,118
Phek,155.46,153,1,1.00,109.62,71.92,95,45.25,158.93,156,397.71,1872,570
Tuensang,123.94,92,0,0.00,67.92,35.39,46,27.91,126.80,98,118.10,1090,666
Wokha,160.47,153,8,35.80,16.28,8.96,10,5.43,165.00,120,100.20,892,241
Zunheboto,93.27,98,1,1.10,98.61,23.74,33,25.51,93.06,102,130.54,671,347
