district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,115.26,12,1791.79,1031,138.92,12,267.91,235,26.55,40,2340.43,1330,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,0.00,0,11.00,2,11.00,2,0.00,0
Kohima,4.83,14,1742.10,701,0.00,1,32.97,48,2.92,13,1782.82,777,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,0.00,4,0.00,0,0.00,4,0.00,0
Mokokchung,1.64,4,284.70,283,0.00,0,0.34,23,1.32,9,288.00,319,0.00,0
Mon,0.00,1,283.71,51,0.00,0,0.38,22,0.00,0,284.09,74,0.00,0
Peren,0.00,0,0.00,0,0.00,0,0.00,7,0.00,2,0.00,9,0.00,0
Phek,12.00,1,0.00,0,0.00,0,15.24,12,0.00,0,27.24,13,0.00,0
Tuensang,0.00,0,0.00,0,0.00,0,6.59,14,0.00,4,6.59,18,0.00,0
Wokha,0.00,0,25.39,36,0.00,0,35.98,16,5.26,5,66.63,57,0.00,0
Zunheboto,0.00,2,27.48,162,0.00,0,0.24,10,0.06,3,27.78,177,0.00,0
