District,onrB,Agri (Atl + Crop) Targetfor 2016-17,Achiv 2016- 17,%,Croploan (whichisincludedin Agri) Targetfor 2016-17,Msme Targetfor 2016-17,Services Sector Targetfor 2016-17,Total Priority Sector Targetfor 2016-17,Non Priority Sector Targetfor 2016-17
Aizawl,71,6506.00,,,2546.00,9610.00,34425.00,50541.00,30700.00
Champhai,15,1485.00,,,705.00,630.00,2175.00,4290.00,2105.00
Kolasib,9,2252.36,,,1150.00,886.75,1029.20,4168.31,764.00
Lawngtlai,8,863.00,,,425.00,270.00,1385.00,2518.00,600.00
Lunglei,16,990.00,,,285.00,440.00,1740.00,3170.00,1020.00
Mamit,10,1482.47,,,400.00,661.89,757.06,2901.42,970.00
Saiha,6,650.00,,,260.00,190.00,1746.00,2586.00,800.00
Serchhip,11,660.00,,,385.00,655.00,1000.00,2315.00,890.00
