District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bajali,34,"19,718","16,939.95","1,728","1,316.42",735,"1,010.37",16,0.90,"2,534","6,342.06","7,876","2,905.61","4,781","4,975.97",527,0.26,940,765.57,"38,855","34,257.11"
Baksa,35,"12,786","10,850.62",688,"1,202.26","4,291","7,368.72",9,0.30,"4,615","12,363.40","4,208","1,656.64","2,229","3,727.23",265,0.35,"1,051","1,314.51","30,142","38,484.03"
Barpeta,93,"55,533","53,222.00","4,148","3,510.10","1,208","2,469.94",79,10.45,"10,573","21,034.61","26,283","10,355.15","33,889","52,945.34",464,2.85,"5,218","8,635.67","137,395","152,186.11"
Biswanath,62,"30,443","27,039.67","3,416","3,427.01","5,284","4,314.77",13,1.14,"7,564","16,510.74","14,393","6,389.57","4,144","6,649.34",110,0.32,"3,726","3,715.55","69,093","68,048.11"
Bongaigaon,66,"28,018","30,187.17","3,063","3,672.98","1,769","6,621.80",15,4.18,"4,225","10,479.54","16,767","11,102.08","10,288","17,651.29",921,7.39,"4,798","6,029.66","69,864","85,756.09"
Cachar,169,"72,248","48,475.71","18,427","13,087.82","2,430","3,824.18",11,0.71,"6,665","10,606.93","77,980","34,367.86","33,876","54,331.00","1,744",12.26,"2,645","4,520.60","216,026","169,227.07"
Charaideo,37,"16,066","13,047.73",573,649.60,489,818.04,3,0.10,"3,539","9,705.77","10,578","5,890.80","1,934","3,218.81",128,0.08,879,"1,306.46","34,189","34,637.39"
Chirang,40,"17,207","15,985.14","1,276","1,171.99","9,428","12,599.33",7,0.61,"3,493","9,151.80","8,730","3,895.72","3,451","4,181.95",17,0.23,"1,798","2,391.62","45,407","49,378.39"
Darrang,70,"51,108","41,415.64","1,299","1,287.51",656,"1,056.42",17,1.62,"7,377","17,091.01","20,230","6,859.03","20,364","32,800.92",866,1.84,"3,648","4,781.33","105,565","105,295.32"
Dhemaji,50,"32,890","31,443.54","1,912","2,525.92","13,164","19,933.74",2,0.04,"6,221","16,398.18","14,091","6,922.08",193,502.59,148,0.67,"4,783","5,992.34","73,404","83,719.10"
Dhubri,89,"40,957","31,191.04","2,852","1,930.36","2,875","1,956.66",12,1.13,"6,660","10,958.58","27,741","9,104.63","23,825","32,440.84",643,1.24,"5,196","7,904.13","110,761","95,488.61"
Dibrugarh,187,"84,647","66,410.92","5,665","7,094.15","8,071","13,210.40",174,13.86,"6,011","18,073.28","48,128","27,651.36","4,003","14,228.79",535,2.39,"5,720","8,569.54","162,954","155,254.69"
Dima Hasao,33,"2,637","4,044.29",234,473.33,"3,174","9,367.50",6,0.49,"1,461","3,259.88","1,713","1,356.63","1,389","3,441.60",119,0.11,86,262.26,"10,819","22,206.09"
Goalpara,72,"29,642","24,850.01","1,568","1,747.16","6,623","6,314.73",14,1.49,"7,921","18,506.28","22,683","9,282.93","17,775","24,145.48",267,1.52,"3,143","3,944.39","89,636","88,793.99"
Golaghat,126,"75,862","55,603.19","6,156","5,344.69","8,274","8,535.48",18,1.24,"7,006","19,986.76","39,297","19,043.18","5,561","8,931.62","1,070",8.09,"3,736","6,836.27","146,980","124,290.52"
Hailakandi,48,"21,066","13,339.91","2,678","2,289.24",641,646.52,4,0.31,"2,838","4,644.48","14,118","6,326.28","16,148","16,717.20",90,1.21,796,"1,431.34","58,379","45,396.49"
Hojai,65,"26,890","20,948.46","4,377","4,720.56","1,760","2,143.64",16,1.11,"3,400","7,378.32","15,952","10,261.07","12,948","20,439.84",249,2.24,"2,226","2,339.30","67,818","68,234.54"
Jorhat,141,"55,554","35,378.67","6,414","6,304.41","9,487","10,097.45",53,5.20,"6,063","16,973.89","41,448","21,898.07","4,641","12,205.62",984,10.13,"3,666","5,799.57","128,310","108,673.01"
Kamrup Metro,175,"105,763","75,133.70","7,548","5,730.98","7,713","8,415.24",39,4.24,"10,413","26,429.73","49,949","20,357.04","20,037","33,371.52",499,1.49,"7,537","8,966.25","209,498","178,410.19"
Karbi Anglong,65,"19,419","17,112.17",607,"1,868.58","9,226","19,459.33",11,0.81,"7,640","23,361.13","13,895","5,691.95","1,741","2,826.04",458,20.06,"1,097",926.83,"54,094","71,266.90"
Kokrajhar,58,"26,162","27,252.57","1,663","1,921.58","12,219","21,114.54",4,0.33,"4,163","9,010.63","21,357","7,876.52","11,518","13,452.45",119,1.34,"4,859","8,129.09","82,064","88,759.05"
Lakhimpur,91,"76,675","63,589.58","5,159","6,630.59","16,476","23,719.37",9,0.61,"7,548","16,849.73","28,686","19,320.66","11,631","18,021.14",85,1.47,"7,311","6,639.24","153,580","154,772.39"
Majuli,16,"9,719","10,579.83",980,"1,676.34","3,584","7,173.27",5,0.50,"1,224","2,989.52","2,202","3,931.13",80,242.70,95,0.29,"1,003","1,383.69","18,892","27,977.27"
Morigaon,70,"50,909","112,664.71","5,391","4,968.49","10,047","9,143.32",76,8.15,"6,642","12,505.02","23,076","14,932.21","17,877","22,957.24","1,879",4.45,"2,550","2,512.63","118,447","179,696.22"
Nagaon,153,"99,507","73,276.66","9,464","8,596.12","5,671","5,471.45",67,4.32,"11,523","29,603.35","55,637","31,732.78","48,189","66,944.72","1,627",5.97,"5,444","9,585.32","237,129","225,220.69"
Nalbari,86,"46,128","36,543.91","2,891","3,535.44","1,467","2,228.80",32,11.59,"8,343","21,693.26","23,089","8,194.50","10,860","16,974.83",451,2.89,"3,290","4,953.28","96,551","94,138.50"
Sivasagar,102,"43,206","27,209.92","3,337","3,824.65","2,469","4,048.22",59,4.72,"4,138","10,548.18","31,309","16,045.93","6,122","15,793.47",972,8.40,"4,054","4,549.80","95,666","82,033.29"
Sonitpur,132,"49,675","38,341.07","4,992","5,392.21","5,870","7,304.78",23,1.71,"8,453","21,071.12","37,137","19,006.57","10,065","20,569.01",883,3.90,"7,310","12,005.09","124,408","123,695.46"
South Salmara,14,"2,396","1,428.69",21,59.98,34,36.95,8,0.64,952,"2,051.68",210,99.92,"2,524","5,944.20",17,0.07,558,"1,074.67","6,720","10,696.80"
Tamulpur,21,"8,111","8,006.82",738,938.43,"2,480","4,203.33",-,-,"2,742","7,744.52","3,650","1,218.70",799,"1,292.18",26,0.02,"1,345","1,465.42","19,891","24,869.42"
Tinsukia,153,"51,273","48,424.36","2,755","4,125.91","4,763","9,619.10",84,6.03,"7,010","21,652.29","29,733","20,042.25","2,476","11,025.39","1,320",3.58,"3,480","6,410.63","102,894","121,309.54"
Udalguri,55,"39,283","29,047.66","1,340","1,635.10","20,532","25,910.29",4,2.16,"5,728","13,337.67","11,904","4,932.93","7,586","11,768.80",85,2.07,"5,444","7,602.86","91,906","94,239.54"
West Karbi Anglong,22,"4,052","3,985.83",161,306.35,"2,666","5,582.13",0,0,"3,082","7,430.66","3,239","1,194.90",339,799.25,9,0.26,73,162.02,"13,621","19,461.40"
