District,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,34,393090,172816,75983
Baksa,35,600987,1026744,144730
Barpeta,94,1715173,9631155,431499
Biswanath,62,849020,7955680,146994
Bongaigaon,66,973924,8952748,207047
Cachar,172,2174688,2345741,457087
Charaideo,37,540504,1091805,89249
Chirang,40,607905,2829235,173519
Darrang,70,1177954,569117,217356
Dhemaji,51,1106980,3411309,224683
Dhubri,90,1838084,8521307,339409
Dibrugarh,189,1775249,8965445,374803
Dima Hasao,34,281668,123628,59279
Goalpara,72,1193996,1560225,224507
Golaghat,127,1600826,3853557,289794
Hailakandi,48,852797,434364,198344
Hojai,66,1068304,2399977,230665
Jorhat,142,1332283,601056,265351
Kamrup Metro,177,2220609,3627977,518868
Karbi Anglong,66,826972,4102421,187368
Kokrajhar,59,1050515,3353951,271439
Lakhimpur,92,1406555,8287960,258088
Majuli,17,257462,617698,52530
Morigaon,70,1246337,2589738,305381
Nagaon,153,2842030,3411259,699038
Nalbari,88,1125203,5218017,271524
Sivasagar,103,1016333,442222,170273
Sonitpur,133,1446011,33252245,417651
South Salmara,15,257576,499122,53012
Tamulpur,21,439217,819320,113934
Tinsukia,154,1428875,7006685,322825
Udalguri,55,1100218,7987950,239697
West Karbi Anglong,22,280417,116448,54272
