district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Bajali,34,8,51.12,0,0,0,0,2,21.89,195,"2,510.59",534,"2,006.88","4,841","20,994.93","5,580","25,585.41"
Baksa,35,1,3.00,0,0,0,0,2,21.74,86,"1,140.59",261,934.05,"2,460","11,630.95","2,810","13,730.33"
Barpeta,93,31,130.01,0,0,0,0,17,119.62,330,"4,734.42","1,916","6,565.19","15,891","54,000.25","18,185","65,549.49"
Biswanath,62,9,129.65,0,0,0,0,3,36.19,199,"1,942.11",472,"2,043.45","5,937","21,521.79","6,620","25,673.19"
Bongaigaon,66,4,21.81,64,4478.22,0,0,31,389.11,503,"5,805.68","1,807","6,800.23","12,275","47,663.20","14,684","65,158.25"
Cachar,169,10,53.4,44,895.73,0,0,25,811.72,572,"7,015.62","3,549","11,193.00","39,753","109,685.20","43,953","129,654.67"
Charaideo,37,0,0,0,0,0,0,1,6.49,57,706.26,192,783.97,"3,303","12,034.25","3,553","13,530.97"
Chirang,40,2,5,0,0,0,0,3,24.22,117,"1,048.26",425,"1,212.59","3,905","18,150.34","4,452","20,440.41"
Darrang,70,14,93.81,53,2164.49,0,0,18,357.36,293,"3,626.58","1,541","4,247.38","9,733","36,374.03","11,652","46,863.65"
Dhemaji,50,18,54.15,0,0,0,0,4,89.01,346,"3,161.21",740,"3,346.89","9,024","34,675.46","10,132","41,326.72"
Dhubri,89,32,158.19,0,0,0,0,3,15.08,289,"3,082.11","1,275","3,961.68","14,382","47,263.68","15,981","54,480.74"
Dibrugarh,187,41,473.73,55,1372.26,0,0,30,559.18,"1,040","15,337.04","4,006","20,265.27","35,870","237,698.79","41,042","275,706.27"
Dima Hasao,33,2,2.36,47,541.64,0,0,2,28.36,46,421.69,672,"3,888.76","3,201","13,857.21","3,970","18,740.02"
Goalpara,72,24,64.91,51,5369.44,0,0,13,129.5,135,"1,454.76",834,"2,810.68","9,037","36,250.96","10,094","46,080.25"
Golaghat,126,37,239.71,1,8.62,0,0,21,219.17,484,"5,303.63","1,633","6,842.40","19,783","77,956.78","21,959","90,570.31"
Hailakandi,48,5,10.80,1,292.99,0,0,2,146.07,91,910.16,832,"1,705.69","4,578","15,283.66","5,509","18,349.37"
Hojai,65,26,32.31,0,0,0,0,3,28.55,119,"1,229.33","1,035","3,454.12","9,927","31,404.67","11,110","36,148.98"
Jorhat,141,20,97.46,322,33940.62,0,0,78,1992.07,"1,381","12,343.44","2,814","11,716.56","26,025","96,715.34","30,640","156,805.49"
Kamrup Metro,175,57,132.27,15,141.2,0,0,25,346.75,"1,306","11,333.83","2,591","9,991.51","34,371","185,617.85","38,365","207,563.41"
Karbi Anglong,65,6,36.95,49,880.47,0,0,15,75.54,56,638.77,"1,223","6,273.72","8,578","33,451.25","9,927","41,356.70"
Kokrajhar,58,12,30.32,1,3.5,0,0,5,97.03,273,"3,221.99","1,141","4,482.16","12,382","52,377.44","13,814","60,212.44"
Lakhimpur,91,24,165.25,6,88.15,0,0,10,88.7,580,"5,849.67","1,724","7,845.78","15,250","62,321.68","17,594","76,359.23"
Majuli,16,-,-,0,0,0,0,0,0,69,700.02,236,"1,610.25","1,227","6,535.24","1,532","8,845.51"
Morigaon,70,22,170.54,4,58.54,0,0,4,36.47,199,"2,363.79","1,078","5,174.24","6,602","21,595.57","7,909","29,399.15"
Nagaon,153,356,611.16,3,70,0,0,18,286.81,894,"10,556.99","2,412","11,732.15","29,144","109,762.34","32,827","133,019.45"
Nalbari,86,9,33.87,75,2740.37,0,0,21,198.12,476,"6,486.93","1,794","7,967.88","11,880","40,727.62","14,255","58,154.79"
Sivasagar,102,6,68.79,37,713.6,0,0,16,297.43,394,"3,776.52","1,912","8,972.32","21,943","74,267.53","24,308","88,096.19"
Sonitpur,132,15,51.05,0,0,0,0,55,263.28,"1,005","13,179.63","2,180","8,811.48","22,122","88,394.49","25,377","110,699.93"
South Salmara,14,0,0,0,0,0,0,0,0,18,121.59,412,570.47,935,"4,189.62","1,365","4,881.68"
Tamulpur,21,0,0,0,0,0,0,0,0,42,309.75,144,274.38,"1,896","7,307.61","2,082","7,891.74"
Tinsukia,153,22,298.33,9,625.44,0,0,10,103.96,524,"7,509.17","2,315","11,055.15","19,561","77,481.69","22,441","97,073.74"
Udalguri,55,1,11.75,0,0,0,0,6,69.89,203,"2,049.13",540,"1,465.02","6,017","26,027.90","6,767","29,623.69"
West Karbi Anglong,22,0,0,0,0,0,0,0,0,7,24.23,155,"1,004.17","1,403","5,800.29","1,565","6,828.69"
