district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bajali,34,680,"4,211.10",328,"3,352.03",18,"2,045.88",18,"1,304.55",3,244.35,0,0,27,128.56,0,0,13,15.2,0,0,0,0,"1,087","11,301.67"
Baksa,35,610,"1,693.42",381,"2,568.88",23,397.41,28,"2,364.42",2,178.69,0,0,3,13.04,7,15.91,0,0,0,0,0,0,"1,054","7,231.77"
Barpeta,93,"2,626","15,113.07","1,757","18,907.74",118,"4,414.16",135,"9,720.05",9,989.81,13,3905.36,24,299.63,44,250.7,2,1.5,0,0,0,0,"4,728","53,602.02"
Biswanath,62,"1,412","8,249.39",913,"5,872.11",48,"1,649.88",31,764.51,5,173.83,0,0,3,12.34,9,38.8,13,16.8,0,0,0,0,"2,434","16,777.66"
Bongaigaon,66,"2,445","12,271.34","1,166","10,134.93",91,"7,519.03",82,"8,025.78",12,2175.31,5,1901.64,22,288.99,13,4.57,67,67.25,0,0,0,0,"3,903","42,388.84"
Cachar,169,"6,777","26,185.15","3,071","22,543.12",222,"14,997.58",201,"23,282.22",33,5677.97,20,9277.37,55,297.45,69,250.99,1,1.88,0,0,0,0,"10,449","102,513.73"
Charaideo,37,"1,013","4,802.89",550,"3,487.67",23,470.37,14,537.05,4,42.35,0,0,5,23.44,0,0,4,25,0,0,0,0,"1,613","9,388.77"
Chirang,40,"1,265","4,254.15",646,"2,868.46",23,"1,731.74",13,"1,019.41",2,956.25,1,318.75,4,11.73,7,21.64,0,0,0,0,0,0,"1,961","11,182.13"
Darrang,70,"2,033","11,487.10","1,176","9,571.63",68,"3,628.65",81,"6,462.43",7,162.91,1,5,25,27.68,10,44.77,2,2,0,0,0,0,"3,403","31,392.17"
Dhemaji,50,"1,564","5,142.41","1,454","8,636.14",36,"1,245.85",46,"3,225.43",1,49,4,362.5,7,43.46,1,0.96,125,203.73,0,0,0,0,"3,238","18,909.48"
Dhubri,89,"2,570","14,249.72","1,448","9,332.45",89,"7,221.01",56,"5,550.56",13,1214.58,3,1565,3,28.56,1,1.14,11,10.75,5,15.77,0,0,"4,199","39,189.54"
Dibrugarh,187,"5,451","38,976.16","3,263","32,670.93",273,"21,141.55",240,20771.73,50,5477.23,20,5826.85,41,78754.42,26,76.5,322,342.97,2,349.99,11,1493.29,"9,699","205,881.62"
Dima Hasao,33,"1,194","2,158.45",442,"1,398.83",2,40.20,3,86.50,2,63,2,28.89,2,3.12,4,7.92,0,0,0,0,0,0,"1,651","3,786.91"
Goalpara,72,"1,515","8,104.55","1,210","7,968.24",51,"2,185.78",63,"5,413.90",6,58.4,1,118.81,4,23.46,26,43.52,4,4.3,9,12,0,0,"2,889","23,932.96"
Golaghat,126,"2,834","12,420.96","1,617","10,646.00",81,"4,394.91",109,"5,593.65",14,515.49,1,0.09,23,253.22,10,26.48,19,18.41,0,0,0,0,"4,708","33,869.21"
Hailakandi,48,"1,340","3,510.47",743,"4,702.78",26,"1,363.10",29,"1,574.62",0,0,1,7.82,14,39.86,13,47.16,0,0,3,4.5,0,0,"2,169","11,250.31"
Hojai,65,"2,468","12,970.35","1,141","9,033.24",81,"3,567.81",93,"4,134.10",8,1151.35,2,170,6,25.01,3,7.5,0,0,0,0,0,0,"3,802","31,059.36"
Jorhat,141,"3,463","26,061.48","2,079","23,213.21",208,"13,426.92",210,"18,935.43",70,6663.84,10,4174.45,19,23.44,11,20.84,116,91.95,0,0,0,0,"6,186","92,611.56"
Kamrup Metro,175,"3,774","18,784.95","2,288","26,415.66",155,"3,744.21",216,"20,839.48",46,707.93,26,4737.55,135,346.83,42,116.76,6,6,1,39.5,0,0,"6,689","75,738.87"
Karbi Anglong,65,"2,442","7,057.42","1,109","4,147.68",19,675.23,23,"2,307.71",2,4.08,1,190,42,142.25,0,0,0,0,0,0,0,0,"3,638","14,524.37"
Kokrajhar,58,"1,466","7,932.64","1,018","6,708.92",44,"1,929.96",49,"4,035.52",3,30.42,1,50,16,56.51,6,20.61,209,200.5,0,0,2,60,"2,814","21,025.08"
Lakhimpur,91,"2,740","10,375.14","2,150","14,990.11",73,"4,107.62",152,"11,233.07",15,1482.17,13,4824.34,14,159.99,7,9.77,59,73.68,0,0,0,0,"5,223","47,255.89"
Majuli,16,287,"1,253.50",222,"1,252.02",12,193.81,7,169.74,1,3.3,0,0,4,18.24,0,0,1,0.02,0,0,0,0,534,"2,890.63"
Morigaon,70,"1,845","7,061.20","1,064","5,752.45",61,"1,268.05",40,882.47,12,83,5,111.92,2,5.41,3,3.95,32,75.7,0,0,0,0,"3,064","15,244.15"
Nagaon,153,"5,659","25,900.83","2,948","25,036.27",177,"10,040.34",198,"18,324.36",41,5138.15,12,4395.03,90,460.31,19,61.51,0,0,3,3,0,0,"9,147","89,359.80"
Nalbari,86,"2,199","10,668.68","1,459","11,987.52",59,"3,278.23",87,"8,137.06",6,48.31,12,2245.78,25,132.77,23,49.36,0,0,0,0,0,0,"3,870","36,547.71"
Sivasagar,102,"2,824","16,136.36","1,554","14,966.00",123,"6,473.03",174,"12,463.85",13,242.52,11,1964.5,9,23.47,3,23.21,34,34.56,0,0,0,0,"4,745","52,327.50"
Sonitpur,132,"3,653","27,312.24","2,098","21,466.39",154,"13,046.19",199,"15,836.97",30,4288.87,11,1974.99,32,60.86,64,287.79,154,174.1,0,0,0,0,"6,395","84,448.40"
South Salmara,14,292,"1,923.38",176,871.75,12,291.10,5,45.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,"3,132.19"
Tamulpur,21,505,"1,362.93",287,"1,448.17",12,221.64,3,70.45,0,0,1,43.61,1,0,0,0,2,14.8,0,0,0,0,811,"3,161.60"
Tinsukia,153,"4,712","40,652.47","3,376","37,070.75",279,"16,632.65",314,"26,863.46",22,4038.31,37,7999.04,18,90.05,35,233,191,205.94,1,25,20,2792.75,"9,005","136,603.42"
Udalguri,55,"1,342","4,072.84",758,"5,968.25",5,237.24,25,"2,881.69",1,0.02,0,0,1,1.95,8,11.4,15,22.7,0,0,3,124.9,"2,158","13,320.99"
West Karbi Anglong,22,552,585.94,196,316.71,1,19.93,1,2.48,3,36.83,1,5.63,0,0,0,0,0,0,0,0,0,0,754,967.52
