District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot NPS O/S No.,Tot NPS O/S Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt,NPS NPA Amt. %
Bajali,34,54,89.23,1,56.08,967,"8,602.73","3,050","5,362.59","19,477","58,208.00","23,549","72,318.63","1,336",609.28,0.84
Baksa,35,13,52.80,6,110.37,446,"3,955.18","1,576","3,411.75","9,117","32,677.05","11,158","40,207.15","1,454","1,307.53",3.25
Barpeta,93,148,324.35,18,525.34,"2,086","21,207.50","11,759","19,198.75","61,770","148,169.85","75,781","189,425.79","9,440","4,525.99",2.39
Biswanath,62,19,41.39,8,188.95,"1,283","9,909.28","4,309","6,354.74","23,371","62,383.08","28,990","78,877.44","9,516","2,966.90",3.76
Bongaigaon,66,114,110.12,27,397.04,"2,725","30,638.89","10,104","20,600.79","43,614","145,697.49","56,584","197,444.33","5,440","3,033.47",1.54
Cachar,169,47,57.30,32,634.25,"3,533","36,715.46","17,592","30,330.54","124,477","261,759.91","145,681","329,497.46","12,900","7,528.65",2.28
Charaideo,37,0,0.00,3,68.19,368,"3,145.98","2,052","3,020.95","11,407","34,777.91","13,830","41,013.03","1,762",528.37,1.29
Chirang,40,213,648.41,4,66.23,761,"5,997.49","2,461","3,599.84","13,630","48,905.54","17,069","59,217.51","1,161",391.87,0.66
Darrang,70,33,87.12,18,209.53,"1,850","14,076.00","7,532","12,088.12","40,928","92,471.63","50,361","118,932.40","8,997","3,030.99",2.55
Dhemaji,50,10,36.02,6,166.82,"2,034","11,462.98","5,725","12,282.81","27,077","94,906.05","34,852","118,854.68","5,253","2,040.48",1.72
Dhubri,89,139,401.59,5,122.83,"2,009","13,689.15","7,068","10,685.30","54,233","120,675.44","63,454","145,574.31","10,626","3,127.22",2.15
Dibrugarh,187,226,331.08,52,1557.71,"5,953","70,932.60","26,033","60,083.74","109,934","416,348.85","142,198","549,253.98","9,475","7,233.29",1.32
Dima Hasao,33,0,0.00,3,97.43,212,"2,323.82","3,852","13,249.63","9,984","38,270.59","14,051","53,941.47","1,564",823.82,1.53
Goalpara,72,12,41.98,6,201.07,"1,072","6,282.26","6,099","9,222.17","34,948","95,552.49","42,137","111,299.97","3,551","3,516.70",3.16
Golaghat,126,78,186.73,13,465.46,"3,100","28,098.64","9,459","20,093.66","66,469","221,393.30","79,119","270,237.79","6,824","3,007.73",1.11
Hailakandi,48,406,361.34,0,5.48,707,"4,469.84","3,828","5,794.06","17,073","43,723.60","22,014","54,354.32","2,918","1,642.69",3.02
Hojai,65,8,45.72,4,90.75,836,"8,152.32","7,640","11,302.86","34,760","78,482.32","43,248","98,073.97","4,368","2,082.00",2.12
Jorhat,141,70,293.50,49,1380.70,"8,065","76,270.33","17,675","36,106.93","87,275","273,841.66","113,134","387,893.12","5,081","4,958.39",1.28
Kamrup Metro,175,102,97.71,31,672.52,"4,983","53,268.61","15,905","28,391.11","89,663","263,453.86","110,684","345,883.81","10,290","6,345.48",1.83
Karbi Anglong,65,18,21.33,4,120.66,715,"4,361.83","7,326","23,986.65","26,071","88,138.65","34,134","116,629.12","4,971","2,271.44",1.95
Kokrajhar,58,739,2618.35,11,310.05,"1,528","17,672.16","6,214","11,923.28","36,655","130,444.11","45,147","162,967.95","3,098","1,870.15",1.15
Lakhimpur,91,24,84.41,9,254.53,"3,060","29,233.82","10,456","24,368.08","54,187","159,955.73","67,736","213,896.57","7,501","3,321.90",1.55
Majuli,16,1,19.80,1,26.39,220,"1,992.38","2,034","5,906.18","4,631","15,326.37","6,887","23,271.12","1,690",447.23,1.92
Morigaon,70,122,262.50,5,103.26,942,"8,329.60","5,946","16,370.34","26,231","53,632.09","33,246","78,697.79","3,908","1,907.62",2.42
Nagaon,153,156,419.67,32,811.94,"4,457","44,819.15","12,994","30,299.08","98,111","262,585.67","115,750","338,935.51","13,259","7,551.78",2.23
Nalbari,86,34,73.57,7,233.57,"3,157","28,255.89","8,323","22,258.76","44,495","122,101.31","56,016","172,923.10","8,437","3,830.99",2.22
Sivasagar,102,125,877.08,26,673.18,"3,252","30,074.37","12,760","26,308.88","72,334","205,158.17","88,497","263,091.68","3,078","3,190.32",1.21
Sonitpur,132,93,242.25,36,1010.24,"5,145","58,780.99","15,392","29,115.80","73,910","240,847.03","94,576","329,996.31","8,458","5,354.00",1.62
South Salmara,14,0,0.00,0,0.00,272,482.22,"1,651","1,343.54","3,972","11,830.69","5,895","13,656.45",431,471.95,3.46
Tamulpur,21,0,0.00,0,0.00,288,"1,258.49","1,226","1,627.55","6,725","20,988.65","8,239","23,874.69","1,904",624.85,2.62
Tinsukia,153,57,778.51,24,466.47,"3,337","40,190.71","15,410","31,117.99","68,411","200,682.64","87,239","273,236.32","6,239","5,104.87",1.87
Udalguri,55,7,19.12,7,181.16,"2,061","6,866.99","3,869","4,838.23","20,972","70,655.68","26,916","82,561.18","1,899","1,544.36",1.87
West Karbi Anglong,22,1,1.50,0,0.00,82,141.31,"1,167","4,253.27","4,095","14,943.83","5,345","19,339.91",133,158.28,0.82
