District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Bajali,34,23733,21103.28,4954,2844.70,13.48,4532,17087.61,1184,774.54,4.53,4865,19354.61,203,198.02,1.02,33130,57545.50,6341,3817.26,6.63
Baksa,35,17900,21036.12,4036,2459.62,11.69,5427,12730.83,1798,1613.24,12.67,1765,8421.55,198,139.69,1.66,25092,42188.50,6032,4212.55,9.99
Barpeta,93,78306,88169.80,23597,14530.63,16.48,17655,78643.71,5803,6282.65,7.99,18912,30126.13,1346,516.25,1.71,114873,196939.64,30746,21329.53,10.83
Biswanath,62,42090,51687.33,12242,6845.86,13.24,9734,28011.98,3403,2662.79,9.51,10188,18654.73,2110,698.26,3.74,62012,98354.04,17755,10206.91,10.38
Bongaigaon,66,36115,44379.09,5696,2940.43,6.63,12525,63891.95,2898,3992.32,6.25,13753,21811.33,1139,293.84,1.35,62393,130082.37,9733,7226.59,5.56
Cachar,169,92807,80630.04,28143,15337.72,19.02,29227,155384.55,7390,13341.84,8.59,59017,53808.10,2106,987.10,1.83,181051,289822.69,37639,29666.66,10.24
Charaideo,37,21350,23739.00,2648,1530.32,6.45,5464,16630.40,1254,1633.26,9.82,4915,7262.98,538,166.40,2.29,31729,47632.38,4440,3329.98,6.99
Chirang,40,25433,24824.67,9144,5147.71,20.74,7390,19758.81,3112,2476.92,12.54,6760,8059.43,1021,128.65,1.60,39583,52642.91,13277,7753.28,14.73
Darrang,70,65453,65849.90,17962,10288.66,15.62,13429,53945.04,5009,5324.37,9.87,11089,20893.66,1567,564.52,2.70,89971,140688.60,24538,16177.55,11.50
Dhemaji,50,43135,45419.49,14388,8651.18,19.05,12762,32766.06,3985,2660.45,8.12,8488,18086.92,527,285.38,1.58,64385,96272.47,18900,11597.01,12.05
Dhubri,89,55311,47794.90,23547,11013.16,23.04,14056,50740.82,5031,3484.19,6.87,20265,24776.72,1159,511.38,2.06,89632,123312.44,29737,15008.73,12.17
Dibrugarh,187,109236,129901.81,32123,19569.32,15.06,30458,202907.17,8760,15505.94,7.64,22915,51195.33,2209,1097.78,2.14,162609,384004.31,43092,36173.04,9.42
Dima Hasao,33,3750,4782.66,1512,646.34,13.51,4537,8948.81,730,569.28,6.36,475,4216.89,22,58.30,1.38,8762,17948.36,2264,1273.92,7.10
Goalpara,72,44740,46080.06,12432,6406.76,13.90,13452,42005.18,4535,4145.59,9.87,15373,19119.45,1684,675.70,3.53,73565,107204.69,18651,11228.05,10.47
Golaghat,126,99224,95985.35,26421,12773.80,13.31,18766,64732.90,4761,5473.82,8.46,18919,28402.38,1276,342.03,1.20,136909,189120.63,32458,18589.65,9.83
Hailakandi,48,27687,21930.59,10776,4904.45,22.36,7376,19895.10,2315,2387.77,12.00,9696,9938.76,213,329.79,3.32,44759,51764.45,13304,7622.01,14.72
Hojai,65,35862,34281.82,9602,5236.72,15.28,12660,49311.49,4021,4617.88,9.36,9602,14126.76,453,209.66,1.48,58124,97720.07,14076,10064.26,10.30
Jorhat,141,82229,97600.58,22512,10715.12,10.98,21201,152462.86,5086,11283.94,7.40,20962,51403.01,2538,854.47,1.66,124392,301466.45,30136,22853.53,7.58
Kamrup Metro,175,142030,119007.90,40367,21416.31,18.00,26264,109630.83,8508,7912.47,7.22,36754,60486.76,3698,696.41,1.15,205048,289125.49,52573,30025.19,10.38
