District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,34,23039,192559,18002,106444,299110,92559,16245,145728
Baksa,35,47966,233649,35988,156193,371487,133022,23182,227341
Barpeta,94,136256,933765,97176,541998,1510760,464603,79392,757646
Biswanath,62,68115,340086,46980,237292,539920,188227,47539,352946
Bongaigaon,66,63722,445646,49131,245894,650151,216969,32308,341924
Cachar,172,137659,1103763,98664,414808,1640317,355706,67605,620072
Charaideo,37,32683,232772,25520,131304,336437,113293,26047,190034
Chirang,40,49835,284812,40601,188361,454396,166318,21174,259370
Darrang,70,85830,617154,63809,323960,934036,275513,49202,458992
Dhemaji,51,83726,459839,55960,259525,739575,209083,62014,405265
Dhubri,90,120650,1032617,87046,511292,1565092,431321,78157,710099
Dibrugarh,189,136134,871922,91488,435840,1308949,350457,80871,652845
Dima Hasao,34,23261,110678,15282,58271,162221,50479,9043,90575
Goalpara,72,82295,589540,58193,339060,943686,292405,53473,474828
Golaghat,127,104296,625194,68802,342508,922391,255530,64254,511058
Hailakandi,48,46503,412535,31273,156807,625555,135571,29491,232801
Hojai,66,92678,628085,70607,284483,907136,231318,37640,414801
Jorhat,142,91036,709083,64457,309340,1014561,261891,52761,453137
Kamrup Metro,177,153783,1060295,108534,524185,1545656,408916,74517,752485
Karbi Anglong,66,59149,223702,47225,165419,348704,142516,48062,272630
Kokrajhar,59,78962,471739,61345,323790,840378,279049,33207,435959
Lakhimpur,92,106581,584185,76079,357179,905226,303445,62754,526514
Majuli,17,9756,142361,7823,41507,189797,36347,11652,62915
Morigaon,70,56150,763274,42544,228803,1023246,182344,40244,325197
Nagaon,153,172234,1182419,129823,681975,1921941,558913,103062,957271
Nalbari,88,74412,491307,52834,265671,750503,224283,32206,372289
Sivasagar,103,86962,459190,62502,251803,686727,205927,38673,377438
Sonitpur,133,109356,791875,81886,377324,1153361,310528,67294,553974
South Salmara,15,9999,144047,7284,60928,246774,51423,8826,79753
Tamulpur,21,32670,172089,25315,112327,285251,91470,15842,160839
Tinsukia,154,127704,963208,87848,362516,1354525,303465,63758,553978
Udalguri,55,97463,533033,72761,324401,890019,276571,36863,458727
West Karbi Anglong,22,18886,75619,15623,58710,124879,53556,18281,95877
