District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,34,1691,2957.11,3,13.07,0,0,729,1204.27,0,0,511,1601.41,16,33.95,1986,2692.97,5,18.19,109,130.53,5050,8651.50
Baksa,35,1608,1828.46,,,0,0,85,178.02,8,0.51,276,1042.44,26,15.84,2015,4001.77,5,18.26,128,593.62,4151,7678.92
Barpeta,93,7373,10590.06,62,137.85,1,2.3,1646,4991.50,19,56.16,540,1575.70,65,50.44,8651,12589.46,18,63.5,1077,6879.99,19452,36936.96
Biswanath,62,3061,3878.12,,,0,0,164,424.55,0,0,963,2936.71,2,5.98,5346,7503.02,3,13.72,381,4788.78,9920,19550.88
Bongaigaon,66,4596,11439.53,17,34.36,0,0,799,2112.53,11,0.9,201,632.61,25,15.38,6474,7535.59,43,351.67,509,1887.94,12675,24010.51
Cachar,169,7396,9236.84,75,159.29,1,7.83,1837,3505.44,4,0.01,626,1418.93,79,118.63,11935,13574.28,70,930.57,1628,4301.13,23651,33252.95
Charaideo,37,2333,2247.99,0,0,0,0,51,89.85,0,0,214,774.05,0,0,3116,4030.46,65,165.85,139,821.27,5918,8129.47
Chirang,40,3034,4009.59,,,0,0,62,184.00,0,0,152,373.57,5,14.1,3423,4745.78,10,40.09,312,318.66,6998,9685.79
Darrang,70,4311,6337.02,27,58.56,2,17.91,1002,3335.42,5,0.02,629,1054.10,20,26.55,8599,10961.58,32,129.41,659,5578.80,15286,27499.37
Dhemaji,50,3304,4307.30,,,0,0,755,2174.46,0,0,712,1728.72,6,13.85,4429,7456.47,43,64.13,305,860.64,9554,16605.57
Dhubri,89,4138,8502.04,49,103.34,0,0,482,998.44,13,31.5,410,709.61,11,6.53,7997,12101.65,10,53,689,2150.98,13799,24657.09
Dibrugarh,187,14344,14393.12,37,60.88,5,10.8,1222,2723.37,8,9.11,1305,4905.95,4,7.22,13545,14113.97,49,2190.45,1221,18943.92,31740,57358.79
Dima Hasao,33,204,205.11,,,0,0,12,22.35,29,6.83,127,195.41,5,3.5,377,1012.24,2,6.5,64,197.02,820,1648.96
Goalpara,72,6313,8814.83,2,3.89,0,0,496,1133.95,8,14.46,456,1170.39,4,6.2,4470,6637.95,11,22.98,586,2823.57,12346,20628.22
Golaghat,126,7683,7930.09,5,10.59,1,0.3,573,1995.38,4,9,948,3334.99,23,68.24,12433,15901.40,176,676.59,1002,11618.86,22848,41545.44
Hailakandi,48,3374,2217.90,0,0,2,1.71,291,334.07,9,6.34,263,505.20,10,5.52,2602,3766.22,35,1057.46,647,740.85,7233,8635.27
Hojai,65,3662,4388.50,,,0,0,799,1474.36,1,3.97,247,588.36,1,2.5,3535,5238.00,19,46.9,571,1517.30,8835,13259.89
Jorhat,141,7148,6331.19,25,60.87,0,0,458,1377.55,7,9.71,514,1647.34,44,30.62,11384,12971.40,52,545.94,1172,26603.46,20804,49578.08
Kamrup Metro,175,9927,13958.43,25,52.67,1,0.28,1389,3174.24,18,1.04,759,2511.48,36,44.69,22638,24137.50,82,316.71,1561,6624.51,36436,50821.55
Karbi Anglong,65,4678,2761.99,7,9.63,0,0,288,527.86,1,4,577,1178.01,20,48.37,3099,6154.56,9,13.03,97,418.95,8776,11116.40
Kokrajhar,58,4641,8630.77,44,89.92,4,22.32,638,983.18,2,5,463,719.53,56,74.12,7626,11185.87,21,89.58,368,888.20,13863,22688.49
Lakhimpur,91,10856,9950.57,1,2.88,8,17.9,1066,3658.33,7,16.85,873,2416.55,18,17.16,7170,10670.17,95,438.84,636,4359.17,20730,31548.42
Majuli,16,1027,1803.23,,,0,0,,,0,0,52,166.51,5,3.41,1099,1250.24,17,18,6,21.50,2206,3262.89
Morigaon,70,7262,7724.88,2,3.61,0,0,515,2208.49,1,1.6,759,938.40,79,95.79,5333,7229.55,46,137.91,436,1458.25,14433,19798.48
Nagaon,153,11659,12991.05,27,57.46,0,0,2192,6641.08,12,16.76,702,2332.08,62,205.35,15121,22878.41,37,119.67,1188,4365.33,31000,49607.19
Nalbari,86,5253,7814.89,11,24.50,0,0,1255,3284.02,12,1.41,757,2196.33,160,112.64,6435,10214.11,40,173.86,681,3639.41,14604,27461.17
Sivasagar,102,4935,5943.24,4,7.33,0,0,992,1915.44,4,0.02,594,1005.15,11,33.93,8620,9355.24,164,652.49,660,7150.34,15984,26063.18
Sonitpur,132,5117,6786.03,12,24.98,0,0,1353,3771.68,1,0,598,1527.74,38,81.59,11247,14043.72,26,171.16,979,7484.45,19371,33891.35
South Salmara,14,218,411.90,,,0,0,,,0,0,4,5.54,0,0,232,591.86,0,0,5,62.36,459,1071.66
Tamulpur,21,644,1929.45,0,0,0,0,20,17.12,0,0,123,327.32,0,0,1597,2864.31,0,0,50,34.76,2434,5172.96
Tinsukia,153,7726,8123.12,20,15.83,5,6.72,939,2268.05,11,10.07,513,1649.83,9,15.45,6316,9906.11,32,861.03,1209,22721.81,16780,45578.02
Udalguri,55,3591,3242.89,0,0,0,0,159,179.82,0,0,246,515.63,3,6.29,4401,8075.82,2,4.1,294,622.71,8696,12647.26
West Karbi Anglong,22,2095,872.13,0,0,0,0,0,0,0,0,204,714.20,0,0,561,1886.28,0,0,3,10.04,2863,3482.65
