District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt
Bajali,34,3020,1932.74,1724,766.49,4,4.79,206,140.68,4954,2844.70
Baksa,35,3004,1682.39,971,739.04,0,0,61,38.19,4036,2459.62
Barpeta,93,19156,11907.17,3954,2230.21,2,1.39,485,391.86,23597,14530.63
Biswanath,62,9439,5802.07,2365,870.38,0,0,438,173.41,12242,6845.86
Bongaigaon,66,3853,1787.16,1647,1062.83,0,0,196,90.44,5696,2940.43
Cachar,169,24133,12425.01,3649,2067.68,3,49.47,358,795.56,28143,15337.72
Charaideo,37,1653,1067.29,917,439.50,1,0.66,77,22.87,2648,1530.32
Chirang,40,7752,4436.41,1357,688.94,0,0,35,22.36,9144,5147.71
Darrang,70,11868,7498.55,5774,2607.71,2,4.67,318,177.73,17962,10288.66
Dhemaji,50,10343,7329.43,3550,1144.69,1,0.11,494,176.95,14388,8651.18
Dhubri,89,17722,8904.02,5502,1944.51,1,1.45,322,163.18,23547,11013.16
Dibrugarh,187,25786,15623.96,5672,3280.04,30,26.91,635,638.41,32123,19569.32
Dima Hasao,33,885,459.32,588,166.68,0,0,39,20.34,1512,646.34
Goalpara,72,9442,4386.75,2810,1920.28,8,1.81,172,97.92,12432,6406.76
Golaghat,126,21281,10226.94,4679,2250.33,1,1.07,460,295.46,26421,12773.80
Hailakandi,48,8916,3787.15,1751,1030.94,1,0.16,108,86.20,10776,4904.45
Hojai,65,7725,4187.99,1499,720.03,3,98.68,375,230.02,9602,5236.72
Jorhat,141,18879,8247.80,3310,1477.46,5,7.72,318,982.14,22512,10715.12
Kamrup Metro,175,32013,18272.86,7584,2740.60,6,6.37,764,396.48,40367,21416.31
Karbi Anglong,65,6840,4080.54,3564,1307.47,0,0,134,134.38,10538,5522.39
Kokrajhar,58,10917,6522.61,1766,974.48,2,0,94,54.86,12779,7551.95
Lakhimpur,91,24542,14697.41,6851,2340.15,68,13.65,917,352.40,32378,17403.61
Majuli,16,1638,774.94,1666,833.33,0,0,195,35.49,3499,1643.76
Morigaon,70,14721,7601.78,6228,2920.76,5,4.06,409,206.93,21363,10733.53
Nagaon,153,36827,17419.18,11732,3541.71,27,66.47,939,1003.35,49525,22030.71
Nalbari,86,12970,6205.71,6254,2166.02,7,6.94,365,264.36,19596,8643.03
Sivasagar,102,8451,3764.34,3453,1714.49,1,13.62,288,719.58,12193,6212.03
Sonitpur,132,10688,6585.51,9716,3074.35,12,18.68,521,815.39,20937,10493.93
South Salmara,14,1473,443.53,241,243.80,0,0,1,4.46,1715,691.79
Tamulpur,21,2886,1591.40,2361,608.97,0,0,111,25.92,5358,2226.29
Tinsukia,153,15979,10467.85,3661,2160.10,5,3.85,488,878.76,20133,13510.56
Udalguri,55,19001,12207.00,8616,3773.79,0,0,275,77.83,27892,16058.62
West Karbi Anglong,22,2718,1045.90,711,323.14,1,0,0,0,3430,1369.04
