District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,34,1292.73,83,0.08,0,0.00,429,358.55,0,0.00
Baksa,35,1298.03,164,59.58,0,0.00,544,457.11,0,0.00
Barpeta,93,7704.49,1788,1902.32,0,0.00,2768,2790.49,0,0.00
Biswanath,62,2555.01,64,30.89,0,0.00,520,393.04,0,0.00
Bongaigaon,66,3644.61,831,840.02,13,0.13,555,371.85,0,0.00
Cachar,169,13483.89,2532,1752.13,22,0.22,1675,2453.26,0,0.00
Charaideo,37,1869.64,20,11.32,0,0.00,1657,959.85,0,0.00
Chirang,40,2557.40,466,497.1,0,0.00,1522,1412.07,0,0.00
Darrang,70,4146.61,279,214.31,0,0.00,1125,980.01,0,0.00
Dhemaji,50,7072.32,322,261.91,4,0.04,585,442.01,0,0.00
Dhubri,89,5760.47,543,536.17,0,0.00,902,822.21,0,0.00
Dibrugarh,187,12599.49,7024,7743.85,0,0.00,1572,1295.96,0,0.00
Dima Hasao,33,166.88,25,16.75,0,0.00,52,80.78,0,0.00
Goalpara,72,3952.79,332,256.96,0,0.00,784,536.14,0,0.00
Golaghat,126,9223.65,1304,1315.18,0,0.00,992,1324.57,0,0.00
Hailakandi,48,2811.85,727,392.64,0,0.00,302,581.54,0,0.00
Hojai,65,6181.86,106,56.95,0,0.00,208,316.98,0,0.00
Jorhat,141,6338.40,1435,1187.16,0,0.00,1634,1715.55,0,0.00
Kamrup Metro,175,8910.52,834,582.67,0,0.00,697,387.22,0,0.00
Karbi Anglong,65,2384.06,519,586.47,0,0.00,662,1223.89,0,0.00
Kokrajhar,58,3107.15,658,609.24,0,0.00,637,400.10,0,0.00
Lakhimpur,91,12693.64,2789,2892.56,0,0.00,1075,969.63,0,0.00
Majuli,16,924.71,2,2.26,0,0.00,186,154.56,0,0.00
Morigaon,70,10008.19,1017,841.09,0,0.00,1080,1062.82,0,0.00
Nagaon,153,14277.99,3899,3996.66,0,0.00,5360,5021.51,0,0.00
Nalbari,86,4103.20,382,326.05,0,0.00,1532,1356.12,0,0.00
Sivasagar,102,4752.51,2032,1414.03,0,0.00,2206,1459.64,0,0.00
Sonitpur,132,5822.48,983,978.82,0,0.00,1715,1476.05,0,0.00
South Salmara,14,99.00,0,0,0,0.00,3,2.01,0,0.00
Tamulpur,21,408.21,11,4.95,0,0.00,146,104.86,0,0.00
Tinsukia,153,10560.40,2523,2610.54,0,0.00,1473,1258.97,0,0.00
Udalguri,55,3216.56,804,878.9,0,0.00,1333,1038.54,0,0.00
West Karbi Anglong,22,1222.94,8,0.01,0,0.00,638,767.41,0,0.00
