district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt.
Bajali,34,18,100.02,"8,296","8,081.70",2,1.90,2,12.77,0,0,231,47.41,"8,549","8,243.80"
Baksa,35,74,175.21,"3,129","5,242.80",14,59.78,4,4.74,0,0,63,127.22,"3,284","5,609.75"
Barpeta,93,186,715.44,"72,183","115,281.85",32,49.83,12,44.89,10,10,988,561.42,"73,411","116,663.43"
Biswanath,62,387,549.16,"7,159","10,265.78",410,570.79,14,63.07,12,27.44,104,140.02,"8,086","11,616.26"
Bongaigaon,66,"1,129","2,587.46","24,885","44,508.91",640,382.29,35,162.90,44,9.65,141,332.02,"26,874","47,983.23"
Cachar,169,"2,161","5,402.01","73,662","108,956.42",65,225.14,66,260.50,4,8.9,132,"3,082.37","76,090","117,935.34"
Charaideo,37,142,160.79,"2,662","4,294.03",68,203.68,37,157.51,3,11.62,33,16.70,"2,945","4,844.33"
Chirang,40,"1,680","1,696.35","6,846","8,916.09",35,34.81,9,22.53,6,5.09,47,10.63,"8,623","10,685.50"
Darrang,70,284,598.29,"46,241","58,340.28",858,"1,313.25",14,69.14,2,3.54,"1,036",675.16,"48,435","60,999.66"
Dhemaji,50,130,458.40,594,"1,281.30",25,125.16,20,92.71,8,15.04,51,37.43,828,"2,010.04"
Dhubri,89,"1,050",952.33,"64,025","85,678.37",10,19.68,27,147.82,33,62.27,57,638.46,"65,202","87,498.93"
Dibrugarh,187,"1,227","3,290.42","10,246","23,328.30",211,742.37,277,"1,586.65",9,11.11,191,986.17,"12,161","29,945.02"
Dima Hasao,33,"3,317","10,620.68",360,"1,326.56",9,26.15,5,18.68,0,0,-,-,"3,691","11,992.07"
Goalpara,72,"3,241","2,575.19","32,228","53,546.77",11,17.49,15,45.94,18,28.6,747,300.17,"36,260","56,514.16"
Golaghat,126,"1,307","1,666.85","11,917","17,053.23",246,276.81,73,339.25,4,2.33,210,270.72,"13,757","19,609.19"
Hailakandi,48,249,465.36,"26,416","38,043.06",2,5.72,7,1.40,3,19,59,18.51,"26,736","38,553.05"
Hojai,65,327,827.89,"21,486","34,723.19",20,83.05,162,329.44,13,97.23,303,102.27,"22,311","36,163.07"
Jorhat,141,857,"2,717.88","8,925","19,836.71",407,906.70,236,"1,303.66",55,418.26,178,"1,394.38","10,658","26,577.59"
Kamrup,175,943,"1,602.90","59,852","81,814.47",230,395.08,287,490.05,407,2114.62,"1,485","2,011.51","63,204","88,428.63"
Kamrup Metro,467,"2,613","20,072.95","35,812","150,898.73",727,"3,330.89",731,"6,528.02",466,2039.17,920,"29,547.91","41,269","212,417.67"
Karbi Anglong,65,"2,546","6,107.12","1,511","2,608.53",88,353.73,78,267.96,49,353.98,23,388.81,"4,295","10,080.13"
Kokrajhar,58,"4,101","4,522.76","16,171","25,873.34",23,94.73,369,421.02,110,701.43,116,91.36,"20,890","31,704.64"
Lakhimpur,91,"1,005","2,213.45","21,289","28,957.23",773,"1,046.54",80,154.50,27,57.86,"1,221","1,283.56","24,395","33,713.14"
Majuli,16,13,45.00,95,255.04,8,36.56,73,79.21,50,248.73,-,-,239,664.54
Morigaon,70,146,360.29,"29,024","31,615.34",31,46.35,224,326.75,46,322.16,153,155.35,"29,624","32,826.24"
Nagaon,153,895,"1,304.94","105,630","136,772.06",56,66.80,239,926.37,69,413.61,386,673.54,"107,275","140,157.32"
Nalbari,86,86,282.86,"24,795","39,600.14",28,85.53,353,431.13,149,863.33,301,"1,249.68","25,712","42,512.67"
Sivasagar,102,290,706.97,"14,111","29,598.89",296,506.03,116,238.75,65,253.73,194,279.12,"15,072","31,583.49"
Sonitpur,132,"1,500","3,861.95","28,864","36,706.11","1,213","3,558.38",541,"1,028.86",233,1478.94,700,"3,230.21","33,051","49,864.45"
South Salmara,14,13,83.17,"4,007","10,862.03",2,1.64,6,25.33,0,0,-,-,"4,028","10,972.17"
Sribhumi,95,485,697.17,"31,088","49,859.06",15,71.75,89,173.36,62,431.35,68,244.40,"31,807","51,477.09"
Tamulpur,21,69,224.21,"1,571","2,733.68",2,0.87,5,10.85,8,12.5,43,13.22,"1,698","2,995.33"
Tinsukia,153,"1,268","4,324.35","5,271","11,528.81",617,"3,004.52",219,"1,830.50",85,549.77,160,"1,952.68","7,620","23,190.63"
Udalguri,55,"4,793","8,931.21","6,221","14,455.93",498,739.12,659,977.58,166,1078.36,196,113.04,"12,533","26,295.24"
West Karbi Anglong,22,501,"1,327.50",47,207.41,2,6.42,5,19.52,1,0.4,0,0,556,"1,561.25"
