District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,34,"146,608",47341,"79,533","114,387","193,920","23,553","7,167","94,596","29,314","100,289"
Baksa,35,"307,391",-,"113,195","194,133","307,328","24,475","7,695","148,648","55,197","158,939"
Barpeta,93,"1,117,632","374,452","684,926","878,519","1,563,445","186,675","33,171","849,393","266,093","713,485"
Biswanath,62,"447,255","51,056","197,623","300,659","498,282","56,439","18,491","250,476","92,758","212,133"
Bongaigaon,66,"272,526","176,261","212,045","301,137","513,182","60,484","14,956","331,336","93,394","230,811"
Cachar,169,"929,944","222,461","501,385","650,970","1,152,355","139,276","38,777","754,396","300,252","534,695"
Charaideo,37,"300,899","36,105","131,810","205,175","336,985","40,701","9,355","183,110","74,945","136,682"
Chirang,40,"377,718","14,958","151,424","241,153","392,577","21,633","10,913","251,942","98,088","170,368"
Darrang,70,"713,948","269,099","423,498","559,507","983,005","122,743","19,306","500,523","173,254","432,138"
Dhemaji,50,"597,804","182,623","329,302","450,980","780,282","87,878","16,504","474,854","128,588","251,465"
Dhubri,89,"1,510,156","356,399","805,478","1,060,491","1,865,969","314,004","30,589","932,455","327,842","883,409"
Dibrugarh,187,"525,495","192,020","280,278","441,623","721,901","90,020","29,776","492,424","211,688","263,931"
Dima Hasao,33,"53,101","9,805","28,773","36,319","65,092","3,240","4,057","31,519","15,198","27,196"
Goalpara,72,"608,728","280,614","369,847","521,891","891,738","93,417","17,779","495,348","190,442","457,803"
Golaghat,126,"585,399","184,500","319,324","467,330","786,654","100,595","24,697","488,646","191,880","378,077"
Hailakandi,48,"392,309","176,023","251,092","327,544","578,636","80,507","16,071","317,618","126,327","277,779"
Hojai,65,"402,033","340,903","309,282","433,557","742,839","84,159","18,628","604,170","216,194","380,132"
Jorhat,141,"308,900","224,458","204,135","329,178","533,313","87,245","16,679","361,782","132,317","247,643"
Kamrup Metro,175,"1,012,434","106,844","467,897","651,045","1,118,942","117,219","33,011","740,902","332,432","502,654"
Karbi Anglong,65,"227,955","45,249","120,652","178,979","299,631","17,583","9,851","90,119","35,873","120,371"
Kokrajhar,58,"626,991","96,078","323,503","436,054","759,557","79,467","20,092","365,599","89,939","356,302"
Lakhimpur,91,"601,097","195,968","345,194","482,376","827,570","97,554","21,618","562,487","161,909","332,799"
Majuli,16,"125,325","30,428","66,328","89,409","155,737","23,022","2,899","99,178","41,004","73,145"
Morigaon,70,"772,335","157,000","390,220","538,731","928,951","156,667","15,196","635,094","256,662","436,117"
Nagaon,153,"1,423,939","636,587","880,215","1,180,147","2,060,362","291,328","41,370","1,155,536","366,270","1,041,738"
Nalbari,86,"443,637","72,497","221,982","321,564","543,546","57,112","16,676","235,912","97,442","281,445"
Sivasagar,102,"260,156","91,129","147,063","220,070","367,133","40,282","13,238","283,892","113,774","166,873"
Sonitpur,132,"552,730","263,032","362,989","549,202","912,191","124,399","29,191","452,637","160,172","403,530"
South Salmara,14,"259,330","23,700","110,827","172,152","282,979","37,763","3,628","106,585","10,741","127,293"
Tamulpur,21,"269,332",-,"106,475","162,728","269,203","17,427","8,248","167,744","62,375","127,397"
Tinsukia,153,"443,302","381,811","317,922","506,972","824,894","114,528","29,393","516,154","190,175","307,258"
Udalguri,55,"693,371","116,887","329,170","480,992","810,162","92,937","21,047","369,639","127,838","323,893"
West Karbi Anglong,22,"129,739",0,"53,991","75,739","129,730","7,909","4,364","40,754","11,570","57,850"
