district,Total Branch,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Bajali,34,"4,309",927.64,"1,592",426.68,"6,590","5,708.77",940,512.29,495,"2,762.72",19,79.19,"11,394","9,399.13","2,551","1,018.16",10.83
Baksa,35,"1,759",382.84,482,136.88,"4,559","4,957.47",648,798.38,331,"1,908.69",25,105.27,"6,649","7,249.00","1,155","1,040.53",14.35
Barpeta,93,"22,522","5,156.49","5,378",864.32,"23,060","22,754.12","2,044","2,560.50","2,092","10,808.45",131,609.49,"47,674","38,719.06","7,553","4,034.31",10.42
Biswanath,62,"8,949","1,816.66","2,438",401.80,"11,473","9,324.52",881,808.33,588,"3,603.20",46,238.09,"21,010","14,744.38","3,365","1,448.22",9.82
Bongaigaon,66,"16,731","3,194.92","3,845",382.76,"11,385","10,534.57",691,747.13,"1,226","5,954.07",64,356.77,"29,342","19,683.56","4,600","1,486.66",7.55
Cachar,169,"53,740","10,724.45","10,045","1,634.03","57,491","45,236.30","3,767","3,680.06","2,991","14,560.70",228,"1,273.18","114,222","70,521.45","14,040","6,587.27",9.34
Charaideo,37,"7,307","1,355.45","1,265",226.38,"6,176","6,204.48",427,547.60,563,"3,016.65",27,131.91,"14,046","10,576.58","1,719",905.89,8.57
Chirang,40,"7,690","1,591.66","1,443",237.58,"7,888","7,426.22",971,"1,083.26",335,"2,020.51",44,219.40,"15,913","11,038.39","2,458","1,540.24",13.95
Darrang,70,"19,305","3,784.60","6,346",881.51,"16,037","15,622.35","1,556","1,996.65","1,421","8,276.58",207,"1,146.94","36,763","27,683.53","8,109","4,025.10",14.54
Dhemaji,50,"9,692","2,166.61","2,228",419.05,"8,701","9,632.21","1,191","1,402.40","1,057","5,485.27",86,373.50,"19,450","17,284.09","3,505","2,194.95",12.70
Dhubri,89,"21,156","3,968.86","7,032","1,156.26","21,040","18,784.75","2,443","1,877.40","1,180","6,709.07",119,446.13,"43,376","29,462.68","9,594","3,479.79",11.81
Dibrugarh,187,"28,874","5,535.03","7,175","1,054.77","32,898","30,401.01","2,724","3,353.87","2,889","16,449.22",362,"1,916.02","64,661","52,385.26","10,261","6,324.66",12.07
Dima Hasao,33,"1,340",331.47,328,64.31,"1,627","2,329.30",182,273.67,240,"1,528.52",17,94.72,"3,207","4,189.29",527,432.70,10.33
Goalpara,72,"15,429","3,380.75","3,428",649.69,"14,341","13,429.66","1,171","1,124.58","1,063","6,283.83",68,379.75,"30,833","23,094.24","4,667","2,154.02",9.33
Golaghat,126,"20,953","4,059.32","4,253",667.72,"28,861","22,848.06","2,208","1,837.82","1,810","8,232.24",126,520.74,"51,624","35,139.62","6,587","3,026.28",8.61
Hailakandi,48,"7,629","1,651.08","1,319",248.52,"11,406","9,967.17","1,180","1,058.97",679,"3,474.42",60,265.80,"19,714","15,092.67","2,559","1,573.29",10.42
Hojai,65,"11,696","2,413.23","2,774",464.55,"14,378","13,820.83","1,593","1,704.75","1,797","9,641.90",234,"1,115.39","27,871","25,875.96","4,601","3,284.69",12.69
Jorhat,141,"20,146","3,940.57","5,283",565.48,"25,917","21,850.36","1,967","1,820.56","1,767","9,373.37",179,846.01,"47,830","35,164.30","7,429","3,232.05",9.19
Kamrup,175,"41,808","9,235.74","11,816","1,463.69","43,339","35,316.21","3,629","2,963.46","2,431","13,137.75",260,"1,234.46","87,578","57,689.70","15,705","5,661.61",9.81
Kamrup Metro,467,"25,890","6,136.44","9,700","1,718.05","35,668","42,197.83","6,815","5,088.18","7,259","41,676.08","1,064","5,362.22","68,817","90,010.35","17,579","12,168.45",13.52
Karbi Anglong,65,"5,591","1,427.77",712,121.21,"6,577","7,198.58",356,418.62,467,"3,034.13",47,255.46,"12,635","11,660.48","1,115",795.29,6.82
Kokrajhar,58,"15,911","3,460.54","1,361",222.67,"12,719","11,517.24","1,115","1,314.52",781,"4,295.59",36,164.84,"29,411","19,273.37","2,512","1,702.03",8.83
Lakhimpur,91,"16,271","3,576.13","5,637","1,171.73","20,552","19,426.01","2,783","2,820.65","1,826","9,142.83",237,"1,153.85","38,649","32,144.97","8,657","5,146.23",16.01
Majuli,16,"3,167",586.71,446,48.01,"1,142","1,574.75",167,185.17,279,"1,379.71",37,92.39,"4,588","3,541.17",650,325.57,9.19
Morigaon,70,"9,077","1,940.35","2,157",478.02,"15,679","15,494.71","2,444","2,957.91","1,674","7,660.31",256,"1,298.06","26,430","25,095.37","4,857","4,733.99",18.86
Nagaon,153,"32,955","6,805.29","9,243","1,439.53","40,963","35,488.63","4,411","4,258.24","3,165","16,977.22",482,"2,525.17","77,083","59,271.14","14,136","8,222.94",13.87
Nalbari,86,"18,803","3,633.37","5,850",798.83,"17,644","15,719.10","2,442","1,930.11","1,078","6,443.69",81,403.69,"37,525","25,796.16","8,373","3,132.63",12.14
Sivasagar,102,"14,660","2,990.87","2,727",383.89,"22,090","20,224.97","1,603","1,751.56","2,120","10,097.29",136,598.53,"38,870","33,313.13","4,466","2,733.98",8.21
Sonitpur,132,"24,320","5,162.74","6,474",935.26,"30,834","25,888.05","2,802","2,680.60","2,327","12,934.98",298,"1,700.71","57,481","43,985.77","9,574","5,316.57",12.09
South Salmara,14,293,93.80,72,28.63,882,"1,316.16",221,273.19,117,671.78,5,23.60,"1,292","2,081.74",298,325.42,15.63
Sribhumi,95,"21,089","4,409.32","4,103",847.37,"24,244","18,872.40","1,988","1,907.70","1,522","7,956.17",140,872.89,"46,855","31,237.89","6,231","3,627.96",11.61
Tamulpur,21,"1,798",375.85,547,102.61,"4,225","3,902.70",283,425.51,125,678.57,4,25.13,"6,148","4,957.12",834,553.25,11.16
Tinsukia,153,"21,037","3,944.08","4,661",590.04,"22,092","23,313.68","2,296","2,722.30","3,153","18,707.00",283,"1,556.96","46,282","45,964.76","7,240","4,869.30",10.59
Udalguri,55,"8,691","2,275.01","1,076",278.27,"7,545","7,935.28","1,556","1,999.45",471,"2,631.87",36,160.98,"16,707","12,842.16","2,668","2,438.70",18.99
