District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,OS No.,of which girl student OS No.,OS amt,of which girl student OS Amt
Bajali,34,19,8,53.76,14.12,48,26,76.21,29.29,115,45,367.93,126.36
Baksa,35,7,4,21.08,12.61,28,10,42.92,17.35,72,30,277.93,137.53
Barpeta,93,77,47,258.08,112.24,152,86,229.96,142.26,455,208,"1,741.34",753.34
Biswanath,62,55,35,273.56,180.93,116,72,197.82,102.50,245,137,885.81,451.54
Bongaigaon,66,37,18,291.73,124.99,71,34,293.10,126.75,198,80,"1,001.93",425.67
Cachar,169,212,58,638.00,155.50,610,137,716.28,227.47,"1,380",296,"4,043.20",992.66
Charaideo,37,27,15,131.34,74.91,43,21,75.20,36.62,97,44,310.51,151.64
Chirang,40,22,11,81.94,45.33,41,17,85.90,43.34,83,25,321.85,97.05
Darrang,70,40,22,137.51,55.25,124,59,181.25,109.59,426,204,"1,541.90",749.88
Dhemaji,50,39,22,127.24,77.26,92,48,178.45,105.55,212,105,722.34,380.84
Dhubri,89,43,21,117.79,54.69,84,40,132.53,68.35,219,67,850.75,251.29
Dibrugarh,187,151,118,819.67,523.10,362,231,797.41,483.89,"1,043",517,"4,287.40","2,045.62"
Dima Hasao,33,6,3,46.71,3.31,15,8,36.04,9.65,43,21,183.54,87.25
Goalpara,72,21,12,170.49,73.61,61,37,125.97,60.46,172,78,765.20,286.88
Golaghat,126,56,30,195.59,110.34,180,82,301.35,125.19,447,204,"1,815.85",764.75
Hailakandi,48,6,2,9.71,3.25,32,9,30.24,10.03,94,29,266.86,97.77
Hojai,65,36,14,74.67,34.70,71,31,108.74,51.76,183,67,719.56,245.74
Jorhat,141,94,47,464.98,258.16,354,182,731.32,378.33,"1,000",479,"4,517.37","2,293.30"
Kamrup Metro,175,296,135,"1,177.64",554.07,843,346,"1,567.13",673.20,"1,687",639,"6,686.67","2,583.34"
Karbi Anglong,65,13,4,74.96,54.26,32,11,51.19,25.40,114,45,339.62,156.01
Kokrajhar,58,38,16,160.58,35.18,78,39,153.79,54.50,174,65,718.72,229.16
Lakhimpur,91,69,40,159.86,98.83,169,82,238.37,128.40,442,209,"1,422.33",592.21
Majuli,16,9,4,12.99,5.55,19,6,18.88,7.78,38,8,93.51,15.54
Morigaon,70,29,16,71.51,42.78,80,38,99.95,49.66,176,71,640.85,235.18
Nagaon,153,83,42,572.52,347.12,174,83,483.74,291.01,440,181,"2,000.58",935.38
Nalbari,86,65,30,238.35,93.29,161,83,278.72,114.37,451,194,"1,624.24",697.54
Sivasagar,102,90,50,525.42,241.16,183,93,480.84,237.94,427,211,"1,825.85",851.67
Sonitpur,132,110,79,554.92,180.41,264,153,570.23,239.80,671,307,"3,192.47","1,384.48"
South Salmara,14,4,1,5.01,1.77,13,3,15.65,4.15,23,5,74.86,14.37
Tamulpur,21,29,20,43.39,31.52,63,44,84.78,64.61,95,59,260.41,174.37
Tinsukia,153,86,38,336.06,153.50,223,103,436.22,204.60,706,282,"2,844.73","1,128.29"
Udalguri,55,48,25,205.42,78.42,132,85,222.70,128.32,383,253,"1,301.48",803.29
West Karbi Anglong,22,2,0,1.57,0,5,1,3.75,1.08,16,4,65.22,16.81
