district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bajali,34,75,50.38,267,"1,125.99",289,201.11,797,"3,230.31","2,995","7,326.36",76,61.21,0.84
Baksa,35,69,12.45,375,"1,576.68",637,217.92,"1,009","4,078.63","4,231","10,790.66",226,146.83,1.36
Barpeta,93,467,305.27,"1,279","5,151.24","3,706","1,634.35","3,777","14,066.57","11,665","25,331.26",792,474.79,1.87
Biswanath,62,110,96.72,715,"2,792.31","2,398",557.10,"3,576","12,786.89","8,611","20,008.64",817,310.99,1.55
Bongaigaon,66,383,224.44,573,"2,156.76","1,632",582.56,"1,631","6,433.14","5,566","13,912.00",142,97.30,0.70
Cachar,169,308,121.97,955,"2,645.42","2,029","1,049.31","3,214","8,810.59","9,179","18,172.76",510,204.86,1.13
Charaideo,37,224,61.25,260,"1,197.25",553,121.12,863,"3,565.02","4,468","11,345.20",85,51.60,0.45
Chirang,40,33,7.22,200,566.35,"1,114",175.72,"1,047","3,160.73","3,099","7,855.91",219,89.34,1.14
Darrang,70,461,421.99,932,"3,576.40","2,283",894.10,"2,767","10,209.98","8,883","19,250.37",560,507.09,2.63
Dhemaji,50,274,203.40,943,"3,675.01","3,309",626.53,"3,520","12,147.16","8,197","21,479.02",475,188.62,0.88
Dhubri,89,209,171.06,779,"2,012.20","4,966","1,701.50","3,311","7,674.92","8,702","15,365.16",725,322.78,2.10
Dibrugarh,187,233,161.15,783,"3,252.59","3,477","1,202.06","3,974","13,905.90","9,013","24,962.42",364,177.46,0.71
Dima Hasao,33,49,1.50,160,366.33,323,44.29,416,971.69,"1,518","3,286.77",66,31.46,0.96
Goalpara,72,102,32.96,491,"2,031.81","1,069",323.64,"1,723","6,457.93","7,123","16,949.87",692,331.68,1.96
Golaghat,126,373,242.55,806,"3,219.14","3,242","1,106.78","3,628","13,582.86","10,791","30,199.80",200,136.01,0.45
Hailakandi,48,27,8.23,275,615.77,"1,260",734.34,"1,160","2,713.25","3,694","6,467.48",381,144.97,2.24
Hojai,65,282,242.27,658,"1,865.99","2,354",639.41,"2,384","6,738.75","5,799","12,255.10",173,122.84,1.00
Jorhat,141,348,326.40,593,"2,517.55","2,097","1,063.67","2,371","9,014.32","8,091","21,515.95",85,52.15,0.24
Kamrup,175,276,193.69,"1,065","4,347.87","2,837","1,224.86","5,008","18,443.57","11,853","30,437.83",936,693.02,2.28
Kamrup Metro,467,170,149.71,618,"2,398.53","1,632",403.16,"1,855","7,360.00","5,343","12,331.25",283,278.14,2.26
Karbi Anglong,65,103,9.62,556,"2,461.92",436,36.10,"1,479","5,709.36","7,800","23,785.00",209,58.76,0.25
Kokrajhar,58,577,274.49,428,"1,564.88","3,940",970.42,"1,586","5,463.10","4,599","10,032.14",225,82.62,0.82
Lakhimpur,91,141,157.38,"1,177","4,329.04","2,919","1,098.85","4,248","14,159.78","11,344","26,024.78",661,185.33,0.71
Majuli,16,13,16.13,184,868.41,138,23.75,479,"2,038.21","2,211","5,023.81",90,42.09,0.84
Morigaon,70,166,217.17,883,"2,882.28","1,632",488.10,"3,199","10,130.10","8,871","17,880.43","1,596",747.60,4.18
Nagaon,153,"1,178",365.97,"1,863","7,070.07","6,361",997.93,"5,779","20,862.57","16,473","39,132.25",516,375.68,0.96
Nalbari,86,212,445.73,"1,047","4,940.05","1,356",881.90,"3,055","13,127.85","9,789","24,724.21",560,318.68,1.29
Sivasagar,102,343,229.86,407,"1,552.38","1,919",718.29,"1,349","4,690.26","6,228","14,700.94",146,121.61,0.83
Sonitpur,132,"1,013",461.20,991,"4,143.81","3,296","1,197.87","2,985","12,025.14","9,820","23,482.68",921,357.48,1.52
South Salmara,14,120,40.65,61,158.61,421,62.92,182,486.84,"1,054","2,071.96",160,48.78,2.35
Sribhumi,95,58,13.76,346,860.39,912,602.15,"1,469","3,481.14","5,166","9,502.30",647,239.35,2.52
Tamulpur,21,55,48.28,245,963.51,744,263.66,638,"2,386.64","2,520","6,829.83",59,30.84,0.45
Tinsukia,153,336,219.13,744,"3,223.76","2,198","1,060.41","2,324","9,162.16","8,112","23,027.17",403,203.24,0.88
Udalguri,55,751,192.95,574,"2,322.19","2,697",621.82,"1,347","4,994.54","4,921","10,879.58",462,323.12,2.97
West Karbi Anglong,22,63,3.30,238,978.60,389,13.69,613,"2,309.68","3,083","7,431.67",293,60.42,0.81
