district,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bajali,34,0,0.00,0,0.00,0,1,3.00,10,1,3.00,10,1,3.00,198,541.68,9,5.46,1.01
Baksa,35,0,0.00,0,0.00,0,1,0.15,1,0,0.00,0,1,0.15,66,206.05,14,8.87,4.30
Barpeta,93,27,49.10,17,39.00,85,10,21.00,136,24,53.00,205,54,109.10,1133,2381.33,213,57.21,2.40
Biswanath,62,0,0.00,14,51.00,140,26,82.00,339,33,110.00,418,40,133.00,112,233.59,2,0.79,0.34
Bongaigaon,66,7,18.50,6,24.00,51,13,43.00,101,15,41.00,118,26,85.50,137,234.33,24,12.55,5.36
Cachar,169,4,7.00,54,145.81,468,114,335.69,555,153,477.65,891,172,488.50,542,987.19,62,28.33,2.87
Charaideo,37,3,4.07,0,0.00,0,1,1.00,1,2,2.00,2,4,5.07,23,32.59,6,4.62,14.18
Chirang,40,0,0.00,0,0.00,0,0,0.00,0,10,26.50,0,0,0.00,69,105.93,5,3.00,2.83
Darrang,70,0,0.00,0,0.00,0,41,144.62,51,43,146.82,61,41,144.62,346,833.32,28,21.65,2.60
Dhemaji,50,0,0.00,1,4.00,8,78,330.86,103,94,365.86,244,79,334.86,238,541.55,43,58.61,10.82
Dhubri,89,0,0.00,1,3.00,5,24,45.69,168,29,51.25,253,25,48.69,487,497.15,198,122.09,24.56
Dibrugarh,187,102,198.50,0,0.00,0,75,213.09,1115,69,192.59,1138,177,411.59,743,1970.91,92,87.31,4.43
Dima Hasao,33,1,0.03,16,53.00,160,16,53.00,160,22,73.00,220,33,106.03,78,147.48,18,19.43,13.17
Goalpara,72,1,2.00,12,32.00,110,13,35.16,112,25,72.00,180,26,69.16,183,209.27,104,85.09,40.66
Golaghat,126,0,0.00,1,5.00,10,18,59.40,47,33,111.40,242,19,64.40,233,543.54,21,10.01,1.84
Hailakandi,48,2,3.80,2,4.50,11,26,75.00,214,25,64.55,265,30,83.30,413,608.51,80,50.97,8.38
Hojai,65,0,0.00,0,0.00,0,0,0.00,0,7,22.00,40,0,0.00,368,674.77,61,32.86,4.87
Jorhat,141,0,0.00,8,15.22,32,30,103.15,48,81,261.25,328,38,118.37,907,2213.39,20,12.85,0.58
Kamrup Metro,175,2,0.00,4,11.41,60,27,89.9,53,34,109.95,148,33,101.31,423,"1,022.94",28,28.39,2.78
Karbi Anglong,65,0,0.00,3,17.06,46,3,17.00,30,18,63.00,166,6,34.06,71,131.95,1,0.00,0.00
Kokrajhar,58,0,0.00,7,5.36,11,4,10.26,21,6,18.00,379,11,15.62,70,105.45,9,8.09,7.67
Lakhimpur,91,0,0.00,1,10.00,10,42,103.71,240,93,317.71,638,43,113.71,405,641.39,153,66.28,10.33
Majuli,16,0,0.00,0,0.24,0,0,0.00,0,0,0.00,28,0,0.24,25,26.03,12,6.45,24.78
Morigaon,70,0,0.00,2,11.03,20,2,11.00,20,3,14.00,35,4,22.03,626,675.67,363,221.82,32.83
Nagaon,153,4,5.90,7,30.78,172,27,65.10,93,25,91.09,146,38,101.78,791,1872.16,32,23.49,1.25
Nalbari,86,2,4.01,3,0.49,34,8,6.04,12,11,53.75,99,13,10.54,238,598.00,15,11.48,1.92
Sivasagar,102,1,0.00,15,60.77,221,16,30.00,185,17,54.00,264,32,90.77,260,437.89,24,25.76,5.88
Sonitpur,132,0,0.02,0,1.20,179,68,162.85,350,67,242.85,804,68,164.07,446,1091.15,8,8.45,0.77
South Salmara,14,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,9.92,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,0,32,124.35,32,32,127.35,41,32,124.35,38,119.99,0,0.00,0.00
Tinsukia,153,64,9.30,1,3.08,5,53,169.93,82,112,370.83,643,118,182.31,1580,"4,316.04",73,43.07,1.00
Udalguri,55,0,0.01,0,0.85,357,19,42.16,13,13,39.70,710,19,43.02,81,190.38,4,3.04,1.60
West Karbi Anglong,22,0,0.00,1,9.00,5,0,0.00,0,0,0.00,0,1,9.00,63,216.69,0,0.00,0.00
