District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Bajali,34,5,95.25,2,7.88,0,0.00,7,103.13,13,209.47,2,14.45,6.90
Baksa,35,2,59.00,0,0.00,0,0.00,2,59.00,10,154.78,1,9.63,6.22
Barpeta,93,17,264.74,8,121.58,1,9.99,26,396.31,55,777.96,8,104.05,13.37
Biswanath,62,5,40.02,1,27.00,0,0.00,6,67.02,18,204.49,2,17.25,8.44
Bongaigaon,66,8,61.21,1,18.00,1,10.00,10,89.21,56,466.32,11,100.51,21.55
Cachar,169,18,288.08,1,11.89,1,7.00,20,306.97,79,1182.52,6,52.55,4.44
Charaideo,37,5,48.30,1,10.10,1,10.10,7,68.50,17,253.59,3,56.45,22.26
Chirang,40,2,60.00,2,68.00,1,0.00,5,128.00,26,382.52,0,0.01,0.00
Darrang,70,7,146.72,1,10.00,1,12.18,9,168.90,35,480.59,14,140.59,29.25
Dhemaji,50,1,0.00,0,0.00,5,21.87,6,21.87,16,257.08,0,0.06,0.02
Dhubri,89,11,148.75,2,23.63,0,0.00,13,172.38,34,628.13,0,0.05,0.01
Dibrugarh,187,41,536.00,5,88.56,6,38.05,52,662.61,164,2369.35,23,324.35,13.69
Dima Hasao,33,3,33.50,0,0.00,1,15.00,4,48.50,7,89.65,1,7.07,7.89
Goalpara,72,4,66.97,0,0.00,0,0.00,4,66.97,33,340.64,15,75.62,22.20
Golaghat,126,10,220.62,2,30.21,1,90.00,13,340.83,56,891.52,6,125.79,14.11
Hailakandi,48,6,123.24,1,15.00,0,0.00,7,138.24,14,188.39,1,11.02,5.85
Hojai,65,3,61.02,5,120.00,1,49.00,9,230.02,69,845.91,25,103.38,12.22
Jorhat,141,23,539.81,4,157.00,1,50.00,28,746.81,104,2087.83,9,79.95,3.83
Kamrup Metro,175,18,205.73,0,0.00,2,20.70,20,226.43,118,1373.78,9,113.31,8.25
Karbi Anglong,65,5,99.81,5,105.11,10,151.54,20,356.46,54,931.24,9,122.51,13.16
Kokrajhar,58,10,197.01,54,324.00,41,51.72,105,572.73,32,638.36,3,16.78,2.63
Lakhimpur,91,7,104.83,1,14.40,9,66.92,17,186.15,53,728.33,9,67.10,9.21
Majuli,16,2,16.75,0,0.00,3,26.06,5,42.81,12,117.69,0,0.00,0.00
Morigaon,70,5,47.75,3,24.24,3,43.20,11,115.19,47,652.19,14,99.57,15.27
Nagaon,153,29,451.46,5,94.27,0,0.00,34,545.73,105,1312.40,18,154.54,11.78
Nalbari,86,22,259.47,34,217.00,17,2.10,73,478.57,51,734.38,5,45.52,6.20
Sivasagar,102,19,317.94,2,11.20,1,10.10,22,339.24,64,986.86,7,68.87,6.98
Sonitpur,132,26,556.28,11,71.92,2,0.02,39,628.22,125,1847.27,18,234.19,12.68
South Salmara,14,1,0.00,0,0.00,0,0.00,1,0.00,2,61.96,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,1,65.00,1,65.00,4,167.72,0,0.00,0.00
Tinsukia,153,21,304.05,5,77.55,1,18.00,27,399.60,116,2070.72,10,88.43,4.27
Udalguri,55,7,4.18,13,91.10,16,1.92,36,97.20,17,422.47,4,114.18,27.03
West Karbi Anglong,22,2,35.53,0,0.00,1,12.00,3,47.53,8,101.97,1,11.44,11.22
