District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Bajali,34,0,0,112,305.55,1645,8948.42,0,0,17,8.14,3091,10092.50,4865,19354.61
Baksa,35,0,0,67,200.05,568,5708.97,0,0,31,9.73,1099,2502.80,1765,8421.55
Barpeta,93,0,0,413,1315.15,2672,22796.62,0,0,315,181.69,15512,5832.67,18912,30126.13
Biswanath,62,0,0,203,616.04,1462,10793.79,0,0,0,0,8523,7244.90,10188,18654.73
Bongaigaon,66,0,0,191,764.12,1907,16289.08,2,102.93,87,60.14,11566,4595.06,13753,21811.33
Cachar,169,0,0,1344,3471.65,3771,30122.38,3,5.08,22,13.62,53877,20195.37,59017,53808.10
Charaideo,37,0,0,81,213.98,399,3108.96,0,0,27,24.80,4408,3915.24,4915,7262.98
Chirang,40,0,0,67,232.06,623,5506.52,0,0,101,37.86,5969,2282.99,6760,8059.43
Darrang,70,0,0,403,1326.18,1686,14881.70,0,0,27,14.52,8973,4671.26,11089,20893.66
Dhemaji,50,0,0,207,633.84,1701,14168.73,0,0,23,20.54,6557,3263.81,8488,18086.92
Dhubri,89,0,0,254,793.24,2029,16267.75,1,0.36,205,162.72,17776,7552.65,20265,24776.72
Dibrugarh,187,0,0,962,3090.14,4629,40060.84,1,2.07,24,33.2,17299,8009.08,22915,51195.33
Dima Hasao,33,0,0,44,124.97,366,3343.82,0,0,4,5.2,61,742.90,475,4216.89
Goalpara,72,0,0,179,647.88,1385,11115.38,7,0.38,298,203.07,13504,7152.74,15373,19119.45
Golaghat,126,0,0,446,1812.12,2390,18542.01,0,0,14,16.94,16069,8031.31,18919,28402.38
Hailakandi,48,0,0,112,261.81,896,6250.85,0,0,16,7.51,8672,3418.59,9696,9938.76
Hojai,65,0,0,174,631.76,1169,7524.79,0,-,34,35.3,8225,5934.91,9602,14126.76
Jorhat,141,0,0,937,3427.31,4682,41146.23,1,31.85,43,58.58,15299,6739.04,20962,51403.01
Kamrup Metro,175,0,0,1699,6416.26,7184,38862.03,0,-,16,16.75,27855,15191.72,36754,60486.76
Karbi Anglong,65,0,0,111,282.73,2028,19756.90,0,0,2,3.02,3718,1681.06,5859,21723.71
Kokrajhar,58,0,0,260,626.89,1145,10733.08,0,0,11,9.04,12354,4323.43,13770,15692.44
Lakhimpur,91,0,0,425,1364.21,3508,28186.59,2,0.13,127,125.06,9926,12634.88,13988,42310.87
Majuli,16,0,0,33,61.81,321,2475.94,0,0,3,0.83,827,629.36,1184,3167.94
Morigaon,70,0,0,179,594.79,1777,14493.29,0,0,100,116.1,6483,4123.27,8539,19327.45
Nagaon,153,0,0,418,1418.94,3996,32864.92,4,128.81,75,94.15,22348,48321.78,26841,82828.60
Nalbari,86,0,0,439,1385.09,2517,24060.24,2,29.03,10,7.17,11854,4640.63,14822,30122.16
Sivasagar,102,0,0,417,1375.01,2782,21370.84,1,2.10,12,10.92,11325,11738.41,14537,34497.28
Sonitpur,132,0,0,661,2426.53,3925,33840.53,0,-,11,17.67,19768,16178.13,24365,52462.86
South Salmara,14,0,0,48,151.07,284,2533.77,0,-,6,4.34,390,665.31,728,3354.49
Tamulpur,21,0,0,103,253.79,396,3596.63,0,0,8,1.54,1488,728.34,1995,4580.30
Tinsukia,153,0,0,665,2461.94,2833,23095.50,1,-,22,28.25,14548,12747.82,18069,38333.51
Udalguri,55,0,0,440,1344.48,1770,16574.03,0,0,1,2.48,7612,3680.28,9823,21601.27
West Karbi Anglong,22,0,0,16,65.22,571,5382.04,0,0,5,0.39,4,3.12,596,5450.77
