district,Total Branch,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Bajali,34,8,"26,381","14,446","115,548","7,722"
Baksa,35,10,"55,445","26,861","152,595","5,088"
Barpeta,93,37,"236,469","111,101","745,579","21,589"
Biswanath,62,11,"83,904","74,372","175,381","8,987"
Bongaigaon,66,16,"79,225","41,276","203,960","8,116"
Cachar,169,148,"191,606","73,877","456,250","13,556"
Charaideo,37,4,"54,758","10,155","67,616","4,704"
Chirang,40,13,"97,028","49,843","239,630","7,236"
Darrang,70,46,"130,202","45,211","357,267","20,134"
Dhemaji,50,17,"106,586","87,493","188,336","9,577"
Dhubri,89,68,"193,824","94,619","534,064","9,334"
Dibrugarh,187,89,"174,120","122,033","432,419","27,350"
Dima Hasao,33,6,"32,894","4,291","38,340",205
Goalpara,72,24,"147,527","47,750","471,983","12,399"
Golaghat,126,52,"133,525","84,112","267,942","23,348"
Hailakandi,48,14,"91,879","33,442","263,449","7,409"
Hojai,65,22,"136,490","53,043","284,233","6,445"
Jorhat,141,130,"100,982","53,352","293,288","19,295"
Kamrup Metro,175,42,"284,142","110,274","611,540","36,483"
Karbi Anglong,65,12,"35,968","17,630","104,704","5,331"
Kokrajhar,58,22,"80,781","54,290","363,375","9,756"
Lakhimpur,91,12,"125,637","99,625","239,890","17,202"
Majuli,16,2,"21,832","6,230","46,309","1,909"
Morigaon,70,33,"179,965","27,773","262,895","14,023"
Nagaon,153,426,"202,884","100,440","779,445","30,625"
Nalbari,86,15,"91,851","37,644","339,695","16,718"
Sivasagar,102,80,"84,946","45,863","201,969","9,693"
Sonitpur,132,172,"102,266","62,254","498,466","15,602"
South Salmara,14,8,"10,481","9,631","117,777",373
Tamulpur,21,8,"61,538","26,746","130,039","2,224"
Tinsukia,153,106,"135,406","67,968","484,785","18,857"
Udalguri,55,29,"124,597","61,946","370,340","13,225"
West Karbi Anglong,22,5,"12,930","6,122","49,786",601
