District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bajali,34,"8,045","8,889.19","15,299","11,786.99",6,7.37,383,419.73,"23,733","21,103.28"
Baksa,35,"10,254","10,362.19","7,299","9,768.05",2,8.64,345,897.24,"17,900","21,036.12"
Barpeta,93,"39,189","41,962.48","36,654","36,228.00",10,"1,076.74","2,453","8,902.58","78,306","88,169.80"
Biswanath,62,"23,620","22,002.54","17,084","20,208.95",9,939.19,"1,377","8,536.65","42,090","51,687.33"
Bongaigaon,66,"15,619","22,184.32","19,079","17,784.00",6,339.60,"1,411","4,071.17","36,115","44,379.09"
Cachar,169,"49,671","36,115.15","39,168","30,030.67",29,"3,686.04","3,939","10,798.18","92,807","80,630.04"
Charaideo,37,"11,300","9,106.28","9,623","11,470.63",5,189.68,422,"2,972.41","21,350","23,739.00"
Chirang,40,"16,668","16,458.21","8,110","7,531.36",7,330.26,648,504.84,"25,433","24,824.67"
Darrang,70,"28,443","29,925.99","35,303","28,215.89",10,278.54,"1,697","7,429.48","65,453","65,849.90"
Dhemaji,50,"25,581","24,888.74","16,162","18,759.32",9,78.38,"1,383","1,693.05","43,135","45,419.49"
Dhubri,89,"31,945","27,960.57","21,968","17,216.27",6,102.33,"1,392","2,515.73","55,311","47,794.90"
Dibrugarh,187,"58,906","53,984.49","47,462","35,771.54",23,"5,041.01","2,845","35,104.77","109,236","129,901.81"
Dima Hasao,33,"1,463",853.68,"2,055","3,418.28",0,0,232,510.70,"3,750","4,782.66"
Goalpara,72,"26,727","26,390.42","16,496","15,615.46",18,469.19,"1,499","3,604.99","44,740","46,080.06"
Golaghat,126,"51,941","40,950.08","44,630","37,065.31",20,240.89,"2,633","17,729.07","99,224","95,985.35"
Hailakandi,48,"17,082","11,644.47","9,151","8,951.75",12,121.54,"1,442","1,212.83","27,687","21,930.59"
Hojai,65,"21,658","18,480.44","12,381","11,509.98",26,399.88,"1,797","3,891.52","35,862","34,281.82"
Jorhat,141,"42,110","29,251.67","37,442","30,000.81",51,"5,137.98","2,626","33,210.12","82,229","97,600.58"
Kamrup Metro,175,"63,072","59,957.60","75,144","48,713.32",18,742.28,"3,796","9,594.70","142,030","119,007.90"
Karbi Anglong,65,"28,854","18,282.08","16,711","28,431.84",2,37.55,182,780.98,"45,749","47,532.45"
Kokrajhar,58,"26,630","30,523.27","16,567","14,132.25",13,602.82,753,"1,163.97","43,963","46,422.31"
Lakhimpur,91,"56,690","46,653.14","35,925","33,184.61",74,48.36,"2,526","5,794.27","95,215","85,680.38"
Majuli,16,"6,977","5,996.68","4,571","3,416.01",3,1.47,156,157.43,"11,707","9,571.59"
Morigaon,70,"38,021","29,837.41","22,310","22,000.93",18,494.51,"1,399","2,502.91","61,748","54,835.76"
Nagaon,153,"72,191","60,711.39","65,868","50,030.51",47,686.83,"3,364","9,226.02","141,470","120,654.75"
Nalbari,86,"26,809","24,854.82","33,256","26,945.81",21,375.51,"1,747","5,150.51","61,833","57,326.65"
Sivasagar,102,"25,325","19,268.48","30,058","22,519.85",11,275.88,"1,949","12,695.54","57,343","54,759.75"
Sonitpur,132,"26,728","31,105.95","40,010","31,078.68",27,"1,047.11","2,431","9,988.81","69,196","73,220.55"
South Salmara,14,"2,499","1,725.34",897,"1,503.94",-,-,5,64.78,"3,401","3,294.06"
Tamulpur,21,"5,960","6,769.91","6,220","7,381.39",0,0,174,69.88,"12,354","14,221.18"
Tinsukia,153,"38,667","41,985.66","26,463","29,601.32",38,"1,795.94","2,728","38,202.64","67,896","111,585.56"
Udalguri,55,"31,468","28,238.34","24,417","19,381.94",5,507.00,775,838.25,"56,665","48,965.53"
West Karbi Anglong,22,"10,240","5,379.29","5,061","8,449.57",1,0,6,20.17,"15,308","13,849.03"
