District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Total Non Prio Sec NPA No.,Total Non Prio Sec NPA Amt
Bajali,34,5,3.05,0,0.00,3,0.87,144,127.28,1184,478.08,1336,609.28
Baksa,35,3,13.38,0,0.00,8,36.01,174,166.31,1269,1091.83,1454,1307.53
Barpeta,93,9,24.56,0,0.00,27,122.22,647,537.86,8757,3841.35,9440,4525.99
Biswanath,62,2,1.46,0,0.00,4,26.01,268,386.08,9242,2553.35,9516,2966.90
Bongaigaon,66,7,5.99,0,0.00,15,138.07,393,486.02,5025,2403.39,5440,3033.47
Cachar,169,9,37.11,0,0.00,30,557.17,564,767.21,12297,6167.16,12900,7528.65
Charaideo,37,0,0.00,0,0.00,0,0,69,80.98,1693,447.39,1762,528.37
Chirang,40,4,0.19,0,0.00,1,23.25,106,76.50,1050,291.93,1161,391.87
Darrang,70,2,1.88,0,0.00,9,127.61,470,323.40,8516,2578.10,8997,3030.99
Dhemaji,50,0,0.00,0,0.00,6,25.82,222,308.66,5025,1706.00,5253,2040.48
Dhubri,89,2,2.76,0,0.00,7,32.49,495,450.58,10122,2641.39,10626,3127.22
Dibrugarh,187,4,2.31,2,34.76,30,497.3,921,959.46,8518,5739.46,9475,7233.29
Dima Hasao,33,0,0.00,0,0.00,1,26.72,75,159.95,1488,637.15,1564,823.82
Goalpara,72,2,6.27,1,23.23,5,205.74,289,316.89,3254,2964.57,3551,3516.70
Golaghat,126,8,33.84,0,0.00,12,114.77,367,244.45,6437,2614.67,6824,3007.73
Hailakandi,48,318,131.06,0,0.00,8,29.03,247,245.86,2345,1236.74,2918,1642.69
Hojai,65,3,25.96,0,0.00,6,89.24,304,359.73,4055,1607.07,4368,2082.00
Jorhat,141,5,6.60,1,36.11,50,683.99,667,529.93,4358,3701.76,5081,4958.39
Kamrup Metro,175,1,1.15,0,0.00,25,500.43,710,808.96,9554,5034.94,10290,6345.48
Karbi Anglong,65,1,1.07,0,0.00,2,34.44,303,491.29,4665,1744.64,4971,2271.44
Kokrajhar,58,8,4.76,0,0.00,4,73.88,288,220.76,2798,1570.75,3098,1870.15
Lakhimpur,91,1,0.19,0,0.00,8,53.53,436,438.09,7056,2830.09,7501,3321.90
Majuli,16,0,0.00,0,0.00,2,25.23,45,26.71,1643,395.29,1690,447.23
Morigaon,70,6,15.70,0,0.00,14,101.65,298,408.35,3590,1381.92,3908,1907.62
Nagaon,153,13,45.28,1,1.66,36,477.72,666,663.34,12543,6363.78,13259,7551.78
Nalbari,86,1,14.69,0,0.00,19,119.49,482,504.04,7935,3192.77,8437,3830.99
Sivasagar,102,10,17.07,0,0.00,32,422.53,507,588.94,2529,2161.78,3078,3190.32
Sonitpur,132,4,48.66,0,0.00,23,359.24,620,608.36,7811,4337.74,8458,5354.00
South Salmara,14,0,0.00,0,0.00,1,0.41,135,129.81,295,341.73,431,471.95
Tamulpur,21,0,0.00,0,0.00,0,0,77,112.80,1827,512.05,1904,624.85
Tinsukia,153,3,18.49,0,0.00,20,337.69,570,530.66,5646,4218.03,6239,5104.87
Udalguri,55,0,0.00,0,0.00,12,148.34,207,201.06,1680,1194.96,1899,1544.36
West Karbi Anglong,22,0,0.00,0,0.00,0,0,31,45.60,102,112.68,133,158.28
