district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bajali,34,"1,599","8,440.52",951,"8,241.22",112,"1,640.60",5,37.50,0,0,5,37.50
Baksa,35,565,"5,704.75",454,"4,001.43",845,"10,227.63",-,-,0,0,-,-
Barpeta,93,"2,505","21,030.48","1,998","20,117.39",651,"7,081.09",12,155.36,0,0,12,155.36
Biswanath,62,"1,402","10,303.82","1,304","10,367.09",682,"7,235.32",11,138.20,0,0,11,138.20
Bongaigaon,66,"1,840","16,055.29","2,629","29,072.67",335,"4,142.15",46,485.18,0,0,46,836.54
Cachar,169,"3,588","29,570.57","3,309","34,809.57",523,"6,650.88",66,729.80,1,2.51,69,829.97
Charaideo,37,323,"2,452.79",369,"3,149.93",140,"1,557.43",0,0,0,0,0,0
Chirang,40,595,"5,185.46",760,"5,992.16",628,"8,272.61",2,15.97,0,0,2,15.97
Darrang,70,"1,579","15,016.80","1,782","13,708.80",373,"4,900.77",11,107.87,0,0,11,107.87
Dhemaji,50,"1,653","13,851.80","2,032","11,434.53",745,"9,008.58",17,125.47,0,0,17,125.47
Dhubri,89,"1,863","14,834.00","1,999","13,681.42",509,"5,699.24",44,332.89,0,0,44,332.89
Dibrugarh,187,"4,423","39,601.15","5,691","67,446.30","1,942","22,436.40",94,8147.88,1,13.5,94,"8,090.32"
Dima Hasao,33,390,"3,959.47",200,"2,160.19",79,653.66,1,6.24,0,0,1,6.24
Goalpara,72,"1,332","10,695.60","1,074","6,349.40",282,"3,029.21",8,55.74,0,0,8,55.74
Golaghat,126,"2,363","20,143.80","3,027","26,983.09",582,"8,249.38",6,37.89,0,0,6,37.89
Hailakandi,48,936,"6,818.04",696,"4,422.09",25,121.71,11,79.55,0,0,11,79.55
Hojai,65,"1,149","7,335.55",834,"8,032.65",91,844.69,23,216.28,0,0,23,216.28
Jorhat,141,"4,644","41,680.54","7,815","74,183.12","1,022","12,073.01",72,979.82,4,88.97,83,"1,079.77"
Kamrup,175,"7,136","42,413.28","4,924","52,378.04","2,669","35,543.93",19,202.07,0,0,19,202.07
Kamrup Metro,467,"20,738","236,932.80","30,944","560,053.11","2,985","51,935.81",792,"7,930.10",18,313.84,811,"8,105.09"
Karbi Anglong,65,"2,031","19,859.98",718,"4,381.57","1,058","10,500.93",-,-,0,0,-,-
Kokrajhar,58,"1,134","11,036.73","1,509","17,688.99",521,"7,878.80",3,25.28,0,0,4,125.44
Lakhimpur,91,"3,361","27,622.33","3,022","29,348.30",834,"10,342.36",19,95.50,0,0,19,95.50
Majuli,16,324,"2,481.34",221,"1,997.74",173,"2,237.68",-,-,0,0,-,-
Morigaon,70,"1,762","14,587.44",906,"8,174.66",626,"5,196.85",38,192.96,0,0,47,273.14
Nagaon,153,"4,018","33,613.49","4,280","43,619.75","1,014","11,805.23",35,347.21,0,0,35,347.21
Nalbari,86,"2,404","23,392.41","3,128","27,746.01",791,"10,378.68",11,140.14,0,0,11,140.14
Sivasagar,102,"2,749","22,472.51","3,154","28,885.30",645,"7,270.21",34,482.61,0,0,34,482.61
Sonitpur,132,"3,591","32,061.96","4,864","56,451.19","1,020","13,454.15",74,668.40,2,35,79,762.33
South Salmara,14,279,"2,528.68",272,482.22,138,"1,309.35",-,-,0,0,-,-
Sribhumi,95,"1,261","6,917.58",716,"7,848.89",214,"1,901.36",8,89.7,0,0,8,89.7
Tamulpur,21,390,"3,467.70",283,"1,169.92",125,"1,118.62",0,0,0,0,0,0
Tinsukia,153,"2,796","24,099.83","3,191","39,235.15",593,"6,252.84",44,279.61,0,0,47,309.22
Udalguri,55,"1,767","16,535.97","2,061","6,867.00",524,"6,475.44",3,15.04,0,0,3,15.04
West Karbi Anglong,22,571,"5,382.03",82,141.31,538,"5,433.27",0,0,0,0,0,0
