district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bajali,34,"3,327","8,341.78",13,19.35,21,21.38,198,541.68,9,5.46,260,922.56,86,144.36,"2,995","7,326.36",76,61.21,13,209.47,2,14.45
Baksa,35,"5,005","13,580.23",66,164.01,214,421.25,66,206.05,14,8.87,588,969.44,360,478.57,"4,231","10,790.66",226,146.83,10,154.78,1,9.63
Barpeta,93,"11,009","26,778.53",61,178.26,388,274.02,"1,133","2,381.33",213,57.21,"1,359","3,288.19",590,890.23,"11,665","25,331.26",792,474.79,55,777.96,8,104.05
Biswanath,62,"8,624","22,276.02",210,467.79,116,147.58,112,233.59,2,0.79,306,895.97,107,158.36,"8,611","20,008.64",817,310.99,18,204.49,2,17.25
Bongaigaon,66,"5,901","14,936.07",100,224.82,47,47.00,137,234.33,24,12.55,571,"1,479.09",241,359.27,"5,566","13,912.00",142,97.30,56,466.32,11,100.51
Cachar,169,"9,157","20,694.79",112,331.61,138,130.95,542,987.19,62,28.33,"1,081","3,101.48",422,663.92,"9,179","18,172.76",510,204.86,79,"1,182.52",6,52.55
Charaideo,37,"4,470","11,539.28",61,72.74,57,29.16,23,32.59,6,4.62,164,408.55,93,188.16,"4,468","11,345.20",85,51.60,17,253.59,3,56.45
Chirang,40,"4,579","11,973.99",210,510.75,145,107.38,69,105.93,5,3,"1,138","1,441.72",883,897.09,"3,099","7,855.91",219,89.34,26,382.52,0,0.01
Darrang,70,"8,013","20,468.86",72,212.66,121,124.15,346,833.32,28,21.65,550,"1,092.75",275,399.35,"8,883","19,250.37",560,507.09,35,480.59,14,140.59
Dhemaji,50,"8,343","22,318.30",53,95.20,114,56.16,238,541.55,43,58.61,946,"2,468.19",368,640.35,"8,197","21,479.02",475,188.62,16,257.08,-,0.06
Dhubri,89,"9,967","19,286.70",120,285.84,405,236.87,487,497.15,198,122.09,"1,418","2,262.86",703,768.95,"8,702","15,365.16",725,322.78,34,628.13,0,0.05
Dibrugarh,187,"10,014","29,284.36",134,365.68,235,118.52,743,"1,970.91",92,87.31,"1,304","3,850.29",564,"1,075.22","9,013","24,962.42",364,177.46,164,"2,369.35",23,324.35
Dima Hasao,33,"1,370","3,095.05",80,167.12,20,23.68,78,147.48,18,19.43,243,555.81,71,116.92,"1,518","3,286.77",66,31.46,7,89.65,1,7.07
Goalpara,72,"7,930","21,706.18",248,624.72,119,74.86,183,209.27,104,85.09,671,"1,022.11",429,522.09,"7,123","16,949.87",692,331.68,33,340.64,15,75.62
Golaghat,126,"11,945","35,316.26",279,562.71,112,106.03,233,543.54,21,10.01,675,"1,551.50",331,604.22,"10,791","30,199.80",200,136.01,56,891.52,6,125.79
Hailakandi,48,"3,961","7,749.03",328,523.32,239,194.47,413,608.51,80,50.97,654,"1,810.07",236,428.54,"3,694","6,467.48",381,144.97,14,188.39,1,11.02
Hojai,65,"5,978","13,428.11",126,157.01,42,39.23,368,674.77,61,32.86,352,937.45,107,185.79,"5,799","12,255.10",173,122.84,69,845.91,25,103.38
Jorhat,141,"8,895","24,669.37",188,319.22,52,69.27,907,"2,213.39",20,12.85,511,"1,272.39",213,331.18,"8,091","21,515.95",85,52.15,104,"2,087.83",9,79.95
Kamrup,175,"14,835","40,613.32",414,"1,061.87",402,311.88,423,"1,022.94",28,28.39,"1,362","3,013.16",578,769.13,"11,853","30,437.83",936,693.02,118,"1,373.78",9,113.31
Kamrup Metro,467,"3,438","8,854.66",44,47.88,136,117.30,"1,133","2,342.47",105,95.29,"1,132","4,265.68",338,628.13,"5,343","12,331.25",283,278.14,549,"10,023.98",75,739.82
Karbi Anglong,65,"7,111","22,415.17",52,53.69,71,40.48,71,131.95,1,-,435,618.45,228,201.41,"7,800","23,785.00",209,58.76,54,931.24,9,122.51
Kokrajhar,58,"6,520","15,417.47",369,441.55,122,158.28,70,105.45,9,8.09,"1,638","2,265.52","1,176","1,320.46","4,599","10,032.14",225,82.62,32,638.36,3,16.78
Lakhimpur,91,"11,486","28,433.49",310,530.84,149,118.00,405,641.39,153,66.28,"1,100","3,288.62",528,945.31,"11,344","26,024.78",661,185.33,53,728.33,9,67.10
Majuli,16,"2,313","5,306.61",39,55.14,41,40.68,25,26.03,12,6.45,180,417.44,43,63.70,"2,211","5,023.81",90,42.09,12,117.69,-,-
Morigaon,70,"7,424","17,077.54",112,215.61,299,198.27,626,675.67,363,221.82,719,"1,391.16",471,672.16,"8,871","17,880.43","1,596",747.60,47,652.19,14,99.57
Nagaon,153,"18,022","46,304.98",447,694.91,281,213.66,791,1872.16,32,23.49,"1,219","3,970.19",589,946.27,"16,473","39,132.25",516,375.68,105,"1,312.40",18,154.54
Nalbari,86,"8,797","24,452.89",204,441.91,164,143.89,238,598.00,15,11.48,843,"2,027.82",385,607.43,"9,789","24,724.21",560,318.68,51,734.38,5,45.52
Sivasagar,102,"6,730","16,450.96",120,194.73,78,53.13,260,437.89,24,25.76,745,"2,503.43",250,470.30,"6,228","14,700.94",146,121.61,64,986.86,7,68.87
Sonitpur,132,"9,851","26,838.65",226,414.66,281,138.37,446,"1,091.15",8,8.45,"1,128","2,832.40",398,573.57,"9,820","23,482.68",921,357.48,125,"1,847.27",18,234.19
South Salmara,14,"1,132","2,346.14",36,49.43,148,40.52,4,9.92,-,-,347,410.18,283,286.06,"1,054","2,071.96",160,48.78,2,61.96,-,-
Sribhumi,95,"4,746","9,969.38",159,213.35,151,127.18,278,438.77,89,45.45,560,"1,474.52",250,465.25,"5,166","9,502.30",647,239.35,36,773.64,9,91.9
Tamulpur,21,"3,412","10,150.50",37,66.74,22,24.11,38,119.99,0,0,195,342.60,116,153.51,"2,520","6,829.83",59,30.84,4,167.72,0,0
Tinsukia,153,"9,123","28,651.17",174,258.43,195,143.85,"1,580","4,316.04",73,43.07,"1,308","3,788.14",494,985.89,"8,112","23,027.17",403,203.24,116,"2,070.72",10,88.43
Udalguri,55,"7,675","18,119.25",251,406.75,123,199.08,81,190.38,4,3.04,"1,293","2,217.52","1,179","1,859.97","4,921","10,879.58",462,323.12,17,422.47,4,114.18
West Karbi Anglong,22,"2,678","7,176.87",38,47.77,50,23.94,63,216.69,0,0,17,56.22,5,10.28,"3,083","7,431.67",293,60.42,8,101.97,1,11.44
