district,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,34,917,"1,708.53","13,386","11,092.84","6,921","2,186",25,23.14,174,216.70,34,32,3,0.45,45,107.74,21,21
Baksa,35,321,281.86,"9,251","6,377.38","5,045","3,710",11,9.28,79,113.92,20,18,5,1.47,31,42.18,16,14
Barpeta,93,"2,340","5,479.20","40,208","35,867.44","15,378","7,313",205,118.41,612,472.07,17,16,49,23.81,214,175.53,18,17
Biswanath,62,668,"1,436.40","21,803","17,054.93","7,295","5,341",8,8.01,181,189.20,22,18,3,22.56,37,75.95,3,3
Bongaigaon,66,"1,056","3,848.51","13,565","16,722.87","8,034","5,454",7,4.45,103,62.50,24,13,3,4.1,27,48.70,4,2
Cachar,169,"1,704","2,494.74","45,612","24,746.48","23,342","7,510",9,8.41,160,148.11,12,3,48,31.99,381,457.20,73,64
Charaideo,37,292,637.53,"10,101","6,689.38","4,959","4,218",12,10.36,163,160.59,6,6,-,0,15,8.50,2,2
Chirang,40,687,"1,507.73","14,329","11,302.74","7,116","4,035",1,0.88,40,57.54,4,2,3,4.21,12,8.86,1,1
Darrang,70,"2,029","3,870.08","30,399","26,302.35","17,460","7,402",8,1.94,286,338.70,26,20,85,51.21,353,637.54,30,28
Dhemaji,50,751,"2,137.19","25,359","20,131.87","11,516","4,862",14,12.64,400,386.70,227,26,3,5.55,77,95.54,13,13
Dhubri,89,992,"2,504.46","27,611","19,157.72","12,950","5,484",1,2.03,192,211.03,19,19,14,9.32,43,39.29,1,1
Dibrugarh,187,"4,094","9,729.51","57,150","44,341.92","19,606","8,128",18,24.80,204,237.26,51,25,4,4.27,51,62.24,10,8
Dima Hasao,33,43,55.62,"1,453",543.61,283,109,13,3.81,112,82.25,44,35,3,1.71,25,12.00,6,6
Goalpara,72,"1,167","2,676.67","23,403","17,544.62","12,618","8,703",7,5.72,196,161.83,15,12,7,3.69,27,18.67,6,4
Golaghat,126,"2,246","4,045.19","50,802","34,053.51","15,903","7,501",10,9.78,257,174.13,20,14,4,11.51,35,25.20,2,2
Hailakandi,48,"1,339",620.39,"15,898","7,403.68","8,720","4,284",37,22.20,108,102.63,29,23,13,10.49,46,37.21,8,4
Hojai,65,849,"1,742.79","18,950","12,491.04","9,606","2,520",25,15.22,103,57.20,3,3,10,9.02,48,34.92,-,-
Jorhat,141,"1,960","3,247.38","39,170","24,143.71","11,612","4,440",14,23.90,205,185.00,87,36,8,9.7,73,77.23,6,3
Kamrup Metro,175,"3,256","4,814.87","59,291","44,413.86","29,586","18,032",96,75.50,300,352.16,85,55,18,45.28,556,443.19,21,21
Karbi Anglong,65,830,"1,412.04","29,230","18,013.63","4,696","1,400",12,13.91,204,171.89,6,4,11,12.46,85,88.62,2,2
Kokrajhar,58,"1,383","3,271.83","23,437","22,239.33","8,576","7,519",12,25.93,158,223.67,-,-,123,124.77,"4,422","2,894.39",28,28
Lakhimpur,91,"2,717","5,943.71","56,680","42,741.56","22,805","10,078",20,15.78,238,180.08,27,18,21,48.21,104,176.46,3,1
Majuli,16,231,443.70,"5,411","2,775.60","1,533","1,130",0,0.19,21,14.77,-,-,2,0.21,92,27.04,-,-
Morigaon,70,"1,751","2,615.64","35,590","24,723.08","18,019","9,078",39,32.38,451,465.30,164,160,45,15.14,767,859.81,85,85
Nagaon,153,"4,088","10,025.51","71,972","53,135.28","26,142","10,663",80,62.32,499,414.99,46,34,95,124.49,"1,151",823.13,116,105
Nalbari,86,"1,623","3,204.36","31,472","22,655.97","15,665","7,417",49,22.11,633,473.33,133,123,14,11.22,286,168.32,19,16
Sivasagar,102,"1,129","2,973.95","24,240","14,963.59","8,178","3,902",53,47.59,449,372.30,33,13,3,3.66,599,302.56,79,79
Sonitpur,132,"1,808","3,565.34","26,917","23,377.41","14,262","8,251",23,28.83,300,396.52,74,67,9,13.93,396,365.34,37,36
South Salmara,14,18,19.15,"2,023",868.30,318,310,1,1.57,8,11.51,-,-,-,-,28,31.86,2,2
Tamulpur,21,120,469.78,"5,125","4,677.22","1,932","1,068",0,0,19,51.65,0,0,4,3.8,10,8.85,1,1
Tinsukia,153,"2,857","6,060.86","38,362","33,241.04","15,130","5,324",140,114.04,355,451.25,54,51,17,27.76,301,237.94,22,20
Udalguri,55,900,"1,687.29","29,489","20,840.45","11,531","8,108",1,2.2,106,115.48,5,3,10,9.62,"2,855","2,114.59",358,358
West Karbi Anglong,22,517,282.53,"10,161","5,024.67",293,86,0,0,14,8.71,0,0,-,0,8,1.26,0,0
