District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bajali,34,22,48.45,1339,2753.93,1,0.78,2,9.8,0,0,5,2.9,1369,2815.86
Baksa,35,25,50.48,2167,2222.58,9,30.65,2,2.08,0,0,3,79.25,2206,2385.04
Barpeta,93,1017,926.51,19177,38397.04,9,9.98,8,27.17,0,0,8,311.03,20219,39671.73
Biswanath,62,137,185.35,3751,7383.93,8,22.39,7,5.74,4,4.6,5,60.29,3912,7662.30
Bongaigaon,66,276,1191.55,8615,16815.86,236,179.12,21,126.23,2,0.75,14,90.96,9164,18404.47
Cachar,169,705,1675.88,17727,33742.40,20,33.35,17,71.58,0,0,25,1374.06,18494,36897.27
Charaideo,37,39,25.08,1397,1640.37,11,54.83,17,103.02,0,0,5,3.09,1469,1826.39
Chirang,40,285,473.57,1055,2616.97,11,18.72,6,12.71,1,0.4,,,1358,3122.37
Darrang,70,158,336.55,13076,21821.36,,0,2,45.5,1,3,8,204.19,13245,22410.60
Dhemaji,50,35,199.71,2641,2289.41,11,17.01,7,21.6,0,0,2,0.80,2696,2528.53
Dhubri,89,77,176.65,15613,29949.12,7,11.15,5,34,1,19.7,6,590.85,15709,30781.47
Dibrugarh,187,466,1167.18,6593,10724.61,62,151.67,93,828.06,2,5.55,39,880,7255,13757.07
Dima Hasao,33,1054,4065.56,615,966.04,1,0.2,1,9.00,0,0,2,1.14,1673,5041.94
Goalpara,72,965,922.80,7876,17566.22,6,12.35,9,30.76,0,0,9,121.41,8865,18653.54
Golaghat,126,548,763.01,4200,6532.41,74,99.85,32,132.17,0,0,19,271.39,4873,7798.83
Hailakandi,48,109,149.38,5683,10097.29,8,3.35,1,0.34,0,0,4,4.10,5805,10254.46
Hojai,65,77,200.92,5024,10044.75,8,14.29,23,145.98,1,7,4,58.54,5137,10471.48
Jorhat,141,220,940.44,2727,6709.51,167,430.28,49,447.34,2,14,37,1214.38,3202,9755.95
Kamrup Metro,175,401,591.00,14603,26823.66,65,68.1,14,68.49,0,0,27,732.70,15110,28283.95
Karbi Anglong,65,795,2284.87,3364,2951.43,17,48.29,2,10.50,0,0,8,45.98,4186,5341.07
Kokrajhar,58,726,1720.01,4695,10350.69,3,24.53,6,34.03,0,0,3,6.9,5433,12136.16
Lakhimpur,91,741,987.97,8851,12352.13,13,71.82,14,35.20,1,0.89,5,281.99,9625,13730.00
Majuli,16,42,47.41,67,85.13,2,1,0,0,0,0,1,0.3,112,133.84
Morigaon,70,40,120.52,6037,7425.16,5,2.37,1,0.50,0,0,2,4.96,6085,7553.51
Nagaon,153,313,583.28,29017,50756.62,25,39.91,43,174.14,2,1,15,557.88,29415,52112.83
Nalbari,86,72,87.33,10567,16644.83,4,14.01,2,4.40,0,0,11,696.59,10656,17447.16
Sivasagar,102,92,387.39,2710,9413.93,98,195.4,12,17.96,0,0,8,150.79,2920,10165.47
Sonitpur,132,505,1245.09,9641,15392.81,86,1048.97,31,249.15,2,2.9,13,305.65,10278,18244.57
South Salmara,14,4,28.42,951,3078.08,2,2.4,3,3.74,0,0,,,960,3112.64
Tamulpur,21,17,76.12,1276,1212.32,1,0.5,1,0.01,0,0,0,0,1295,1288.95
Tinsukia,153,341,1777.43,3171,4368.69,141,971.1,49,254.84,0,0,31,1456.66,3733,8828.72
Udalguri,55,625,2079.43,1155,3286.26,3,20.2,6,4.95,0,0,4,6.30,1793,5397.14
West Karbi Anglong,22,214,467.72,7,39.83,1,5.24,3,1.72,0,0,0,0,225,514.51
