District,Total Branch,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Bajali,34,21318,22352.04,5411,7917.29
Baksa,35,9925,15630.34,2794,5083.13
Barpeta,93,66812,75097.70,25144,29710.49
Biswanath,62,34420,34475.09,11056,13520.44
Bongaigaon,66,45279,61180.51,16993,22615.25
Cachar,169,138164,122140.84,56685,51940.23
Charaideo,37,17955,23339.93,6216,7580.25
Chirang,40,20897,20513.69,7775,7623.31
Darrang,70,55245,50618.48,17113,21192.95
Dhemaji,50,35252,50732.50,10444,18451.95
Dhubri,89,55530,45042.54,19883,18941.06
Dibrugarh,187,108538,159186.10,42158,55265.66
Dima Hasao,33,7314,20714.84,2442,6943.65
Goalpara,72,43476,42139.08,15192,16569.89
Golaghat,126,79043,81568.74,29807,32175.34
Hailakandi,48,22580,22433.17,9584,8766.38
Hojai,65,34301,34260.16,12580,13540.24
Jorhat,141,83520,126050.95,29544,42499.15
Kamrup Metro,175,130786,142230.26,46607,54157.27
Karbi Anglong,65,33477,61930.59,10296,17373.20
Kokrajhar,58,40820,47583.39,17219,19646.75
Lakhimpur,91,72131,90063.16,20409,33552.27
Majuli,16,6386,9305.15,1529,2972.16
Morigaon,70,41218,41032.65,13485,16817.97
Nagaon,153,120092,145533.79,40984,56300.22
Nalbari,86,56249,69805.66,17358,25075.36
Sivasagar,102,66982,98307.92,23359,33465.01
Sonitpur,132,81383,110572.64,27376,38204.27
South Salmara,14,1556,2524.23,248,601.40
Tamulpur,21,8591,9742.53,2504,3256.32
Tinsukia,153,66961,101039.76,23106,35172.40
Udalguri,55,28906,37990.16,8501,11884.05
West Karbi Anglong,22,6866,11600.48,1663,3117.13
