District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bajali,34,"3,985","12,325.18",76,"4,073.92",9,324.13,462,364.38,"4,532","17,087.61"
Baksa,35,"4,972","9,644.37",100,"2,813.16",3,182.04,352,91.26,"5,427","12,730.83"
Barpeta,93,"15,757","56,583.87",518,"18,394.98",34,"3,378.98","1,346",285.88,"17,655","78,643.71"
Biswanath,62,"8,071","23,483.17",110,"3,814.10",9,223.63,"1,544",491.08,"9,734","28,011.98"
Bongaigaon,66,"11,346","41,284.43",399,"18,229.92",37,"4,128.25",743,249.35,"12,525","63,891.95"
Cachar,169,"26,814","92,752.07","1,148","43,655.81",160,"18,550.11","1,105",426.56,"29,227","155,384.55"
Charaideo,37,"5,174","14,361.73",119,"2,171.14",9,43.46,162,54.07,"5,464","16,630.40"
Chirang,40,"6,863","15,609.80",90,"2,854.16",26,"1,216.80",411,78.05,"7,390","19,758.81"
Darrang,70,"11,591","40,102.88",350,"13,227.86",17,290.81,"1,471",323.49,"13,429","53,945.04"
Dhemaji,50,"9,550","25,609.62",185,"5,966.67",19,217.98,"3,008",971.79,"12,762","32,766.06"
Dhubri,89,"13,499","36,549.94",296,"11,753.06",17,"2,359.29",244,78.53,"14,056","50,740.82"
Dibrugarh,187,"27,264","127,270.98","1,465","57,710.54",213,"17,299.60","1,516",626.05,"30,458","202,907.17"
Dima Hasao,33,"4,490","8,219.34",33,646.44,7,77.17,7,5.86,"4,537","8,948.81"
Goalpara,72,"11,951","33,047.05",248,"8,495.47",10,189.21,"1,243",273.45,"13,452","42,005.18"
Golaghat,126,"16,848","46,525.82",720,"17,407.66",14,399.26,"1,184",400.16,"18,766","64,732.90"
Hailakandi,48,"6,953","15,622.43",157,"3,477.32",9,672.97,257,122.38,"7,376","19,895.10"
Hojai,65,"11,054","38,126.83",492,"9,652.89",12,"1,204.29","1,102",327.48,"12,660","49,311.49"
Jorhat,141,"18,767","89,117.92","1,126","46,916.12",140,15953.33,"1,168",475.49,"21,201","152,462.86"
Kamrup Metro,175,"22,007","75,878.23",767,"28,090.88",105,"4,836.59","3,385",825.13,"26,264","109,630.83"
Karbi Anglong,65,"10,296","20,456.36",108,"3,673.70",4,6.11,233,51.01,"10,641","24,187.18"
Kokrajhar,58,"9,803","25,292.11",142,"6,587.19",6,331.79,733,376.91,"10,684","32,588.00"
Lakhimpur,91,"17,237","47,149.16",823,"17,444.44",73,"5,544.89","6,157","1,897.29","24,290","72,035.78"
Majuli,16,"1,835","4,681.73",128,525.28,4,21.85,455,152.42,"2,422","5,381.28"
Morigaon,70,"10,900","25,306.51",587,"4,213.75",22,227.38,"1,057",359.97,"12,566","30,107.61"
Nagaon,153,"27,504","97,044.04","1,144","37,175.37",149,10639.92,"1,299",716.00,"30,096","145,575.33"
Nalbari,86,"13,086","39,816.95",309,"13,807.24",26,"1,288.16",839,279.20,"14,260","55,191.55"
Sivasagar,102,"16,545","60,719.98",698,"29,776.77",37,"5,928.61","1,110",345.39,"18,390","96,770.75"
Sonitpur,132,"20,137","82,865.81",689,"35,479.48",107,"4,691.80","1,420",546.84,"22,353","123,583.93"
South Salmara,14,"1,898","4,915.60",24,448.12,-,-,-,-,"1,922","5,363.72"
Tamulpur,21,"3,282","5,322.37",7,257.95,2,36.98,516,132.93,"3,807","5,750.23"
Tinsukia,153,"23,838","125,752.87","1,221","50,097.47",80,"9,866.31","1,092",491.14,"26,231","186,207.79"
Udalguri,55,"9,985","22,168.69",60,"2,914.18",1,0.88,968,214.62,"11,014","25,298.37"
West Karbi Anglong,22,"1,853","1,883.59",4,27.68,4,51.82,7,1.46,"1,868","1,964.55"
