district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisatio n No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,34,262,341.15,-,-,481,545.93,"4,392","2,297.71",315,206.78,381,253.42,0,0,0,0,824,"1,389.35","6,655","5,034.34"
Baksa,35,171,167.54,4,3.25,167,236.29,184,217.63,461,156.12,176,79.26,0,0,0,0,"1,195","3,192.70","2,358","4,052.79"
Barpeta,93,"1,190",785.99,-,-,"1,439","1,253.87","4,296","5,179.44",962,582.24,"1,395",608.34,1,5.83,2,346.47,"2,839","9,555.83","12,124","18,318.01"
Biswanath,62,637,426.76,1,10.67,41,85.85,229,259.86,"1,489",508.78,373,131.27,0,0,0,0,"1,336","5,677.98","4,106","7,101.17"
Bongaigaon,66,119,94.89,1,1.23,"1,126",668.84,"1,459","1,987.23",630,753.16,150,89.72,2,96.65,1,11.15,"2,778","3,346.44","6,266","7,049.31"
Cachar,169,"1,345",671.47,4,2.20,"1,432","1,842.52","2,712","2,930.27","1,935","1,591.62","4,739","2,554.14",8,59.51,1,1.39,"4,067","6,490.07","16,243","16,143.19"
Charaideo,37,204,195.76,-,-,58,77.15,14,14.29,"1,191",489.05,12,9.39,1,0.65,1,1.37,464,999.75,"1,945","1,787.41"
Chirang,40,"1,051",603.55,1,0.43,166,129.34,5,11.17,244,209.55,448,133.08,0,0,0,0,"1,555","3,234.19","3,470","4,321.31"
Darrang,70,576,439.37,8,4.78,732,"1,212.85","3,805","3,064.40","1,612",703.28,794,690.72,2,91.09,1,10.25,"2,085","7,314.74","9,615","13,531.48"
Dhemaji,50,684,528.20,1,0.28,72,147.39,"1,181","2,172.16","1,033",537.93,154,69.90,0,0,0,0,"1,404","4,030.20","4,529","7,486.06"
Dhubri,89,439,308.76,6,3.11,608,311.21,"1,007",611.29,"1,250",336.54,460,171.14,0,0,6,6.22,"2,191","4,065.30","5,967","5,813.57"
Dibrugarh,187,"4,392","2,728.51",1,4.04,803,993.64,"2,235","2,604.44","7,758","2,521.99",472,261.57,1,2.11,11,189.49,"6,454","22,142.91","22,127","31,448.70"
Dima Hasao,33,42,45.33,0,0,22,23.90,24,145.73,8,16.85,2,1.30,0,0,0,0,70,146.73,168,379.84
Goalpara,72,549,236.31,21,12.85,302,205.00,665,923.13,"1,084",534.88,"1,149",276.67,6,0.95,0,0,"2,360","5,770.25","6,136","7,960.04"
