district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bajali,34,"1,545",571.05,"2,215","2,926.41",154,"1,169.50","3,914","4,666.96"
Baksa,35,792,265.45,"1,336","1,860.36",120,730.19,"2,248","2,856.00"
Barpeta,93,"12,033","4,261.57","8,876","10,577.85",579,"4,063.63","21,488","18,903.05"
Biswanath,62,"4,639","1,626.08","4,632","4,983.69",184,"1,422.57","9,455","8,032.34"
Bongaigaon,66,"6,819","2,474.58","4,823","6,053.13",317,"2,139.83","11,959","10,667.54"
Cachar,169,"26,332","8,706.85","25,468","27,078.48",826,"5,752.76","52,626","41,538.09"
Charaideo,37,"2,847",862.24,"2,193","2,791.87",182,"1,273.54","5,222","4,927.65"
Chirang,40,"3,930","1,339.65","3,101","3,789.27",129,880.64,"7,160","6,009.56"
Darrang,70,"7,596","2,660.37","6,435","7,989.51",457,"3,426.20","14,488","14,076.08"
Dhemaji,50,"4,247","1,507.33","3,123","4,118.70",319,"2,233.69","7,689","7,859.72"
Dhubri,89,"10,351","3,743.25","8,894","11,170.01",461,"3,334.65","19,706","18,247.91"
Dibrugarh,187,"13,953","4,224.74","12,505","14,563.13",896,"6,820.20","27,354","25,608.07"
Dima Hasao,33,588,173.85,353,760.32,93,652.63,"1,034","1,586.80"
Goalpara,72,"7,212","2,500.48","5,418","6,266.93",366,"2,604.24","12,996","11,371.65"
Golaghat,126,"10,142","3,207.40","10,952","11,479.38",482,"3,254.94","21,576","17,941.72"
Hailakandi,48,"4,308","1,456.64","4,483","4,840.15",215,"1,426.37","9,006","7,723.16"
Hojai,65,"5,989","2,036.25","5,520","7,321.21",455,"3,415.41","11,964","12,772.87"
Jorhat,141,"9,665","3,004.18","10,490","11,404.48",532,"3,714.44","20,687","18,123.10"
Kamrup,175,"16,358","5,791.61","18,237","20,839.22",803,"5,419.47","35,398","32,050.30"
Kamrup Metro,467,"9,390","3,546.19","13,118","21,104.04","2,224","16,486.39","24,732","41,136.62"
Karbi Anglong,65,"3,297","1,191.51","2,230","3,250.65",258,"1,932.24","5,785","6,374.40"
Kokrajhar,58,"7,893","2,937.67","6,045","6,511.95",289,"2,057.00","14,227","11,506.62"
Lakhimpur,91,"6,545","2,334.36","7,279","8,783.81",567,"3,838.21","14,391","14,956.38"
Majuli,16,866,292.66,256,536.45,67,463.89,"1,189","1,293.00"
Morigaon,70,"4,895","1,806.08","6,007","7,392.50",348,"2,504.71","11,250","11,703.29"
Nagaon,153,"15,300","5,417.34","16,941","19,393.05",908,"6,414.53","33,149","31,224.92"
Nalbari,86,"6,911","2,474.97","6,286","7,299.86",356,"2,515.70","13,553","12,290.53"
Sivasagar,102,"7,345","2,290.82","8,366","9,842.01",665,"4,534.78","16,376","16,667.61"
Sonitpur,132,"10,501","4,003.43","12,006","13,804.04",740,"5,171.35","23,247","22,978.82"
South Salmara,14,41,18.46,240,569.81,37,290.55,318,878.82
Sribhumi,95,"10,341","3,467.99","11,098","11,356.88",458,"3,195.68","21,897","18,020.55"
Tamulpur,21,839,288.04,"1,478","1,724.49",39,277.54,"2,356","2,290.07"
Tinsukia,153,"8,620","2,723.05","7,544","10,813.53",955,"6,900.14","17,119","20,436.72"
Udalguri,55,"3,550","1,318.09","2,607","3,454.28",187,"1,380.80","6,344","6,153.17"
West Karbi Anglong,22,247,62.19,133,291.51,37,302.58,417,656.28
