District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bajali,34,"1,177","4,742.96","3,327","8,341.78",13,19.35,21,21.38,0.26
Baksa,35,"1,636","6,511.69","5,005","13,580.23",66,164.01,214,421.25,3.10
Barpeta,93,"4,636","18,086.33","11,009","26,778.53",61,178.26,388,274.02,1.02
Biswanath,62,"3,441","11,686.87","8,624","22,276.02",210,467.79,116,147.58,0.66
Bongaigaon,66,"2,343","9,022.97","5,901","14,936.07",100,224.82,47,47.00,0.31
Cachar,169,"3,761","12,468.39","9,157","20,694.79",112,331.61,138,130.95,0.63
Charaideo,37,"1,184","4,683.28","4,470","11,539.28",61,72.74,57,29.16,0.25
Chirang,40,"1,963","5,127.74","4,579","11,973.99",210,510.75,145,107.38,0.90
Darrang,70,"3,470","12,844.31","8,013","20,468.86",72,212.66,121,124.15,0.61
Dhemaji,50,"3,579","12,650.05","8,343","22,318.30",53,95.20,114,56.16,0.25
Dhubri,89,"4,891","13,053.47","9,967","19,286.70",120,285.84,405,236.87,1.23
Dibrugarh,187,"4,741","17,150.61","10,014","29,284.36",134,365.68,235,118.52,0.40
Dima Hasao,33,396,959.96,"1,370","3,095.05",80,167.12,20,23.68,0.77
Goalpara,72,"2,686","10,621.62","7,930","21,706.18",248,624.72,119,74.86,0.34
Golaghat,126,"4,791","17,997.53","11,945","35,316.26",279,562.71,112,106.03,0.30
Hailakandi,48,"1,529","4,352.17","3,961","7,749.03",328,523.32,239,194.47,2.51
Hojai,65,"2,511","8,837.30","5,978","13,428.11",126,157.01,42,39.23,0.29
Jorhat,141,"3,220","11,954.56","8,895","24,669.37",188,319.22,52,69.27,0.28
Kamrup Metro,175,"6,021","23,924.03","14,835","40,613.32",414,"1,061.87",402,311.88,0.77
Karbi Anglong,65,"1,524","5,812.08","7,111","22,415.17",52,53.69,71,40.48,0.18
Kokrajhar,58,"3,559","10,754.90","6,520","15,417.47",369,441.55,122,158.28,1.03
Lakhimpur,91,"4,972","17,102.38","11,486","28,433.49",310,530.84,149,118.00,0.42
Majuli,16,661,"2,817.16","2,313","5,306.61",39,55.14,41,40.68,0.77
Morigaon,70,"2,877","11,760.11","7,424","17,077.54",112,215.61,299,198.27,1.16
Nagaon,153,"7,634","29,666.73","18,022","46,304.98",447,694.91,281,213.66,0.46
Nalbari,86,"3,389","14,719.79","8,797","24,452.89",204,441.91,164,143.89,0.59
Sivasagar,102,"2,454","8,573.42","6,730","16,450.96",120,194.73,78,53.13,0.32
Sonitpur,132,"4,140","16,552.12","9,851","26,838.65",226,414.66,281,138.37,0.52
South Salmara,14,349,"1,000.99","1,132","2,346.14",36,49.43,148,40.52,1.73
Tamulpur,21,"1,310","5,207.43","3,412","10,150.50",37,66.74,22,24.11,0.24
Tinsukia,153,"3,745","15,679.18","9,123","28,651.17",174,258.43,195,143.85,0.50
Udalguri,55,"3,363","11,829.89","7,675","18,119.25",251,406.75,123,199.08,1.10
West Karbi Anglong,22,729,"2,651.25","2,678","7,176.87",38,47.77,50,23.94,0.33
