District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Bajali,34,"24,250","29,820.22","5,050","8,651.50",29.01,"20,463","21,039.79","1,691","2,957.11",14.05,"2,424","14,642.74","1,087","11,301.67",77.18,"1,233","4,394.21","1,567","1,914.53",43.57,"27,907","48,857.17","7,704","21,867.70",44.76
Baksa,35,"92,318","42,544.00","4,151","7,678.92",18.05,"32,403","24,980.00","1,608","1,828.46",7.32,"5,199","22,326.00","1,054","7,231.77",32.39,"11,301","4,942.00",434,962.80,19.48,"108,818","69,812.00","5,639","15,873.49",22.74
Barpeta,93,"64,445","75,759.05","19,452","36,936.96",48.76,"50,231","47,148.38","7,373","10,590.06",22.46,"8,217","62,783.96","4,728","53,602.02",85.38,"3,125","13,422.41","9,620","8,457.13",63.01,"75,787","151,965.42","33,800","98,996.11",65.14
Biswanath,62,"12,956","21,512.00","9,920","19,550.88",90.88,"2,185","2,125.00","3,061","3,878.12",182.50,"6,359","30,270.00","2,434","16,777.66",55.43,"3,090","14,564.00","3,647","3,543.06",24.33,"22,405","66,346.00","16,001","39,871.60",60.10
Bongaigaon,66,"54,170","62,422.45","12,675","24,010.51",38.46,"30,531","30,757.48","4,596","11,439.53",37.19,"8,008","45,000.00","3,903","42,388.84",94.20,"3,047","15,000.00","4,573","4,484.43",29.90,"65,225","122,422.45","21,151","70,883.78",57.90
Cachar,169,"50,859","44,173.78","23,651","33,252.95",75.28,"27,423","26,401.00","7,396","9,236.84",34.99,"22,156","121,415.82","10,449","102,513.73",84.43,"11,362","31,616.39","28,770","16,703.00",52.83,"84,377","197,205.99","62,870","152,469.68",77.31
Charaideo,37,"19,283","26,327.00","5,918","8,129.47",30.88,"12,692","12,989.00","2,333","2,247.99",17.31,"2,334","13,678.00","1,613","9,388.77",68.64,"1,180","4,841.00","1,620","1,128.52",23.31,"22,797","44,846.00","9,151","18,646.76",41.58
Chirang,40,"35,946","38,970.51","6,998","9,685.79",24.85,"21,694","25,798.30","3,034","4,009.59",15.54,"2,360","22,000.00","1,961","11,182.13",50.83,"2,534","4,500.00","2,821","2,619.48",58.21,"40,840","65,470.51","11,780","23,487.40",35.87
Darrang,70,"27,495","22,412.30","15,286","27,499.37",122.70,"17,481","12,216.59","4,311","6,337.02",51.87,"28,212","51,404.47","3,403","31,392.17",61.07,"2,443","5,630.10","4,770","5,302.85",94.19,"58,150","79,446.87","23,459","64,194.39",80.80
Dhemaji,50,"37,625","49,098.04","9,554","16,605.57",33.82,"29,349","34,574.35","3,304","4,307.30",12.46,"3,098","22,649.00","3,238","18,909.48",83.49,"1,483","4,925.28","2,937","4,047.67",82.18,"42,206","76,672.32","15,729","39,562.72",51.60
Dhubri,89,"75,569","94,973.08","13,799","24,657.09",25.96,"21,823","20,874.40","4,138","8,502.04",40.73,"5,740","31,964.15","4,199","39,189.54",122.60,"5,541","15,944.49","10,074","8,551.27",53.63,"86,850","142,881.72","28,072","72,397.90",50.67
Dibrugarh,187,"40,954","84,554.11","31,740","57,358.79",67.84,"24,401","37,602.00","14,344","14,393.12",38.28,"11,607","157,924.63","9,699","205,881.62",130.37,"3,648","73,073.88","9,195","10,544.06",14.43,"56,209","315,552.62","50,634","273,784.47",86.76
Dima Hasao,33,"21,489","23,330.83",820,"1,648.96",7.07,"13,122","13,690.36",204,205.11,1.50,"4,674","7,662.89","1,651","3,786.91",49.42,"1,221","2,372.12",77,286.13,12.06,"27,384","33,365.84","2,548","5,722.00",17.15
Goalpara,72,"35,194","30,715.48","12,346","20,628.22",67.16,"24,911","21,331.96","6,313","8,814.83",41.32,"9,987","26,527.63","2,889","23,932.96",90.22,"5,809","11,740.08","6,398","5,437.44",46.32,"50,990","68,983.19","21,633","49,998.62",72.48
Golaghat,126,"46,670","54,158.00","22,848","41,545.44",76.71,"25,000","26,860.00","7,683","7,930.09",29.52,"1,555","40,036.00","4,708","33,869.21",84.60,"5,903","17,354.00","8,533","5,827.78",33.58,"54,128","111,548.00","36,089","81,242.43",72.83
Hailakandi,48,"16,596","18,212.00","7,233","8,635.27",47.42,"11,633","11,199.00","3,374","2,217.90",19.80,"7,433","20,924.00","2,169","11,250.31",53.77,"10,919","18,985.70","5,294","3,114.41",16.40,"34,948","58,121.70","14,696","22,999.99",39.57
Hojai,65,"21,457","26,244.60","8,835","13,259.89",50.52,"16,270","19,269.33","3,662","4,388.50",22.77,"4,633","27,836.72","3,802","31,059.36",111.58,"2,798","6,468.00","4,669","3,288.93",50.85,"28,888","60,549.32","17,306","47,608.18",78.63
Jorhat,141,"119,055","109,258.00","20,804","49,578.08",45.38,"89,003","74,064.00","7,148","6,331.19",8.55,"19,648","132,325.00","6,186","92,611.56",69.99,"6,152","12,017.00","8,519","9,480.23",78.89,"144,855","253,600.00","35,509","151,669.87",59.81
Kamrup Metro,175,"109,272","74,574.35","36,436","50,821.55",68.15,"73,592","37,292.92","9,927","13,958.43",37.43,"49,902","81,968.99","6,689","75,738.87",92.40,"5,764","19,563.36","15,445","17,077.53",87.29,"164,938","176,106.70","58,570","143,637.95",81.56
Karbi Anglong,65,"75,148","81,002.79","8,776","11,116.40",13.72,"58,504","55,476.20","4,678","2,761.99",4.98,"3,049","13,857.18","3,638","14,524.37",104.81,"4,526","15,943.09","1,954","1,578.57",9.90,"82,723","110,803.06","14,368","27,219.34",24.57
