District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,34,447,684.99,"6,259","2,386.79"
Baksa,35,109,199.20,777,617.84
Barpeta,93,"2,244",970.15,"7,973","2,610.17"
Biswanath,62,882,377.73,"3,667","1,136.07"
Bongaigaon,66,"2,806","1,734.14","10,849","3,663.74"
Cachar,169,"5,337","2,441.27","16,195","5,356.80"
Charaideo,37,"1,243",492.38,"5,231","1,760.06"
Chirang,40,"1,002",579.36,"3,688","1,288.96"
Darrang,70,"3,022","1,571.58","10,523","3,180.15"
Dhemaji,50,"2,128",866.21,"6,213","1,577.40"
Dhubri,89,385,701.72,"2,698","2,025.64"
Dibrugarh,187,"1,542",669.23,"7,887","2,640.39"
Dima Hasao,33,101,243.30,692,691.31
Goalpara,72,"2,145","1,207.16","9,031","3,388.95"
Golaghat,126,"1,299","1,313.67","12,788","4,556.72"
Hailakandi,48,101,167.50,975,668.22
Hojai,65,"1,250",772.74,"3,680","1,498.77"
Jorhat,141,472,894.91,"18,047","5,219.60"
Kamrup Metro,175,"6,423","3,974.13","34,726","9,175.84"
Karbi Anglong,65,"2,520","2,530.25","7,143","5,744.18"
Kokrajhar,58,"2,509","1,566.99","8,552","3,380.05"
Lakhimpur,91,"1,670",789.95,"8,595","2,597.13"
Majuli,16,823,283.64,"2,778",526.52
Morigaon,70,106,185.81,"1,874",812.09
Nagaon,153,"2,462","1,369.57","20,141","4,920.19"
Nalbari,86,"2,684","1,333.92","15,745","4,260.21"
Sivasagar,102,738,433.89,"4,298","1,974.07"
Sonitpur,132,"3,576","1,798.38","16,846","4,312.99"
South Salmara,14,-,-,79,73.09
Tamulpur,21,42,87.22,"1,001",534.54
Tinsukia,153,"2,489","1,015.05","10,245","2,922.64"
Udalguri,55,"1,863",865.82,"7,123","2,319.58"
West Karbi Anglong,22,121,253.90,"1,235","1,061.84"
