District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Bajali,34,0,0.00,47,54.66,509,1197.87,0,0,9,6.8,1002,655.20,1567,1914.53,5683,9727.45
Baksa,35,0,0.00,28,39.12,46,363.60,0,0,25,7.92,335,552.16,434,962.80,3839,8305.81
Barpeta,93,0,0.00,174,257.32,628,2537.80,1,50.3,61,90.21,8756,5521.50,9620,8457.13,28461,45785.01
Biswanath,62,0,0.00,113,161.63,157,488.60,0,0,0,0,3377,2892.83,3647,3543.06,11907,18953.09
Bongaigaon,66,0,0.00,93,126.92,340,1725.03,1,5.66,21,34.11,4118,2592.71,4573,4484.43,17927,30146.21
Cachar,169,0,0.00,635,683.55,766,3441.15,1,3,10,15.98,27358,12559.32,28770,16703.00,49877,48128.07
Charaideo,37,0,0.00,42,68.11,37,165.44,0,0,10,18.68,1531,876.29,1620,1128.52,6450,7910.22
Chirang,40,0,0.00,38,61.22,105,408.22,0,0,20,30.3,2658,2119.74,2821,2619.48,7992,11633.17
Darrang,70,0,0.00,158,194.17,268,1886.91,0,0,2,2.61,4342,3219.16,4770,5302.85,19376,32764.88
Dhemaji,50,0,0.00,89,127.75,237,1190.04,0,0,11,18.45,2600,2711.43,2937,4047.67,11611,22312.94
Dhubri,89,0,0.00,83,119.32,368,1092.23,0,0,43,67.92,9580,7271.80,10074,8551.27,23074,33206.48
Dibrugarh,187,0,0.00,377,1161.03,773,4213.35,14,0,14,24.73,8017,5144.95,9195,10544.06,38867,49866.32
Dima Hasao,33,0,0.00,36,17.74,37,263.19,0,0,4,5.2,,,77,286.13,2075,4402.00
Goalpara,72,0,0.00,79,111.58,338,1132.48,0,0,10,14.58,5971,4178.8,6398,5437.44,16004,23786.05
Golaghat,126,0,0.00,206,273.01,325,1539.67,0,0,14,22.04,7988,3993.06,8533,5827.78,27276,33845.72
Hailakandi,48,0,0.00,54,32.38,159,478.18,0,0,2,3.12,5079,2600.73,5294,3114.41,12090,10897.59
Hojai,65,0,0.00,70,90.11,341,709.10,0,0,29,40.81,4229,2448.91,4669,3288.93,12994,17615.49
Jorhat,141,0,0.00,369,1063.92,929,4242.91,0,0,41,72.87,7180,4100.53,8519,9480.23,27407,31212.05
Kamrup Metro,175,0,0.00,892,1662.75,2073,6673.46,0,0,6,13.01,12474,8728.31,15445,17077.53,42542,52994.62
Karbi Anglong,65,0,0.00,53,40.61,98,444.33,0,0.00,2,3.06,1801,1090.57,1954,1578.57,9202,14201.26
Kokrajhar,58,0,0.00,99,140.89,187,1450.87,0,0,3,4.49,6101,4862.78,6390,6459.03,19966,31729.70
Lakhimpur,91,0,0.00,184,301.49,568,2442.94,2,0.13,74,117.19,4212,2927.24,5040,5788.99,24187,35510.79
Majuli,16,0,0.00,19,18.88,43,208.84,0,0,1,1.75,190,845.78,253,1075.25,2332,5319.81
Morigaon,70,0,0.00,106,111.95,109,664.01,0,0,86,117.45,3308,1911.90,3609,2805.31,16659,20024.93
Nagaon,153,0,0.00,168,305.35,747,2820.22,4,128.81,65,96.62,11008,6037.46,11992,9388.46,42025,60067.06
Nalbari,86,0,0.00,175,234.48,331,3069.92,0,0,6,6.45,6237,4019.31,6749,7330.16,19542,33860.48
Sivasagar,102,0,0.00,195,361.01,494,2389.92,1,2.1,8,11.66,4724,3029.84,5422,5794.53,19658,25850.44
Sonitpur,132,0,0.00,305,703.55,819,3673.82,0,0,11,20.47,8997,9253.41,10132,13651.25,25427,39735.43
South Salmara,14,0,0.00,13,15.65,29,90.77,0,0,0,0,106,519.79,148,626.21,831,2592.03
Tamulpur,21,0,0.00,62,77.58,66,257.37,0,0,0,0,564,721.29,692,1056.24,2809,6592.59
Tinsukia,153,0,0.00,261,730.21,419,2567.13,1,13.65,13,25.98,5579,3494.34,6273,6831.31,22727,34571.77
Udalguri,55,0,0.00,132,163.06,424,761.09,0,0,1,2.47,2146,1843.98,2703,2770.60,11821,16843.54
West Karbi Anglong,22,0,0.00,5,3.75,45,95.11,0,0,0,0,0,0,50,98.86,1978,3733.33
