district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bajali,34,"17,873,215","278,951.63",177,48.06,"3,184",349.34,"208,468","599,273.36","229,214","11,607.98","101,750","2,578.70"
Baksa,35,"17,638,786","515,828.92",297,671.18,39,2.23,"183,484","30,211.57","170,429","9,040.71","62,043","1,590.46"
Barpeta,93,"80,111,708","1,790,462.43","1,534","9,223.14","10,308",808.22,"793,179","2,251,846.82","490,852","29,766.52","183,553","4,695.69"
Biswanath,62,"38,241,762","612,381.39",340,"2,126.98","3,658",418.69,"513,607","973,532.13","453,163","25,808.28","128,307","2,929.96"
Bongaigaon,66,"40,364,544","947,927.97",546,"3,948.68","11,966",863.95,"413,948","2,168,723.37","542,689","31,697.54","189,536","4,896.82"
Cachar,169,"90,665,790","2,749,654.44","1,141","5,045.62","57,430","1,546.20","1,151,559","1,780,831.55","1,269,938","75,080.82","438,831","11,215.38"
Charaideo,37,"20,095,324","222,933.52",631,779.21,"1,697",155.26,"303,845","306,052.51","221,982","8,497.86","56,592","1,644.29"
Chirang,40,"20,627,267","331,656.48",325,10.68,"2,033",204.16,"184,222","407,231.76","136,501","7,026.88","148,607","3,658.97"
Darrang,70,"44,068,479","1,044,239.77","1,053","9,499.80","11,451","1,049.84","476,739","2,467,627.00","445,784","24,285.66","103,657","2,767.34"
Dhemaji,50,"45,752,843","542,419.22",679,"5,043.83","3,196",424.55,"399,013","1,125,101.30","316,718","18,975.83","93,328","2,427.21"
Dhubri,89,"66,765,485","1,043,230.42","1,451","9,423.68","14,353",599.77,"889,800","1,415,405.55","380,435","22,410.66","125,635","4,217.54"
Dibrugarh,187,"96,010,252","2,333,310.44","1,086",868.52,"27,729","1,065.40","1,159,288","1,770,870.81","2,132,767","101,480.06","661,272","15,276.95"
Dima Hasao,33,"16,356,409","1,565,600.84",60,118.09,"1,010",96.71,"88,915","374,218.35","169,914","14,569.56","36,783","1,343.00"
Goalpara,72,"43,212,716","1,238,781.24","1,457","17,491.27","6,484",575.62,"547,304","1,765,446.63","314,148","25,359.21","90,448","2,770.00"
Golaghat,126,"71,721,249","1,117,873.96",377,10.00,"27,076",635.44,"891,254","880,430.73","1,127,722","49,514.41","263,378","6,727.15"
Hailakandi,48,"30,252,400","801,213.45",767,"2,868.49","1,926",144.61,"313,697","338,331.14","243,613","17,373.81","48,589","1,503.58"
Hojai,65,"58,297,530","876,407.12",752,16.62,"7,305",671.84,"515,456","1,183,123.78","523,280","27,881.12","83,478","2,500.59"
Jorhat,141,"68,450,237","1,752,688.50","1,682",342.39,"94,561","2,017.70","864,905","1,057,163.75","1,457,861","62,451.52","620,418","14,007.06"
Kamrup,175,"83,397,945","2,022,919.81",997,"7,600.49","38,736","1,782.67","683,121","2,730,266.49","1,044,096","69,822.01","353,501","10,146.03"
Kamrup Metro,467,"262,135,403","887,803,319.02","2,266","4,463.92","424,427","10,077.02","4,828,158","513,314,632.79","7,081,239","248,116,433.02","2,471,754","60,900.85"
Karbi Anglong,65,"38,990,688","850,635.37",80,10.67,"2,545",154.52,"363,000","364,234.31","317,428","21,359.71","122,260","3,280.16"
Kokrajhar,58,"36,713,290","641,577.32",773,"3,530.58","4,222",494.51,"315,804","1,479,495.95","264,226","19,089.99","177,081","5,231.81"
Lakhimpur,91,"71,327,254","1,095,713.49",707,"5,043.05","7,270",573.06,"922,006","1,362,290.36","651,601","37,930.81","138,445","3,602.79"
Majuli,16,"8,677,254","92,564.28",146,348.50,"1,372",147.61,"108,806","164,498.88","135,436","6,313.27","18,115",457.09
Morigaon,70,"39,456,682","1,225,641.20",792,"4,452.89","15,374",458.73,"539,052","572,753.28","507,484","32,454.26","86,713","2,102.86"
Nagaon,153,"94,190,744","2,060,095.99","2,843","8,094.34","35,723","1,144.54","1,321,868","2,063,545.31","956,200","53,755.01","340,062","9,235.56"
Nalbari,86,"37,555,157","1,445,001.55",443,"4,285.73","9,611",517.85,"411,878","784,636.38","432,239","28,815.79","189,916","4,741.48"
Sivasagar,102,"59,070,481","1,162,245.05",479,"1,225.34","75,451",983.98,"690,263","538,441.68","978,433","41,589.19","391,702","9,774.64"
Sonitpur,132,"71,683,517","1,383,790.71",666,"2,740.57","58,504","1,383.20","918,059","2,314,136.10","997,326","61,998.49","623,236","12,547.01"
South Salmara,14,"8,784,466","187,056.94",691,"11,386.72","1,992",386.42,"66,452","487,354.24","20,190","1,434.87","6,710",324.20
Sribhumi,95,"57,453,045","1,493,177.76",760,"2,555.59","19,403",728.92,"780,038","1,511,416.41","573,585","35,839.00","112,575","3,347.30"
Tamulpur,21,"14,659,936","182,529.77",332,"1,886.56","1,395",160.83,"75,649","132,357.55","66,327","3,232.21","58,383","1,412.74"
Tinsukia,153,"69,381,654","1,629,516.68","3,906","2,112.67","27,578","1,115.88","914,469","1,684,600.21","1,263,706","66,343.97","319,671","7,177.74"
Udalguri,55,"36,489,066","625,768.58","1,396","2,704.34","5,854",393.00,"299,710","706,988.38","194,313","15,374.69","105,923","2,530.67"
West Karbi Anglong,22,"13,950,012","137,959.63",830,9.68,0,0,"94,504","4,309.97","55,676","2,133.27","23,013",687.06
